Player,Player-additional,Ht.
Johan Quezada,quezajo01,6-9
Johan Quezada,quezajo01,6-9
Michel Báez,baezmi01,6-8
Michel Báez,baezmi01,6-8
Michel Báez,baezmi01,6-8
Félix Bautista,bautife01,6-8
Félix Bautista,bautife01,6-8
Tayron Guerrero,guerrta01,6-8
Tayron Guerrero,guerrta01,6-8
Tayron Guerrero,guerrta01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Graeme Lloyd,lloydgr01,6-8
Angel Perdomo,perdoan01,6-8
Angel Perdomo,perdoan01,6-8
Angel Perdomo,perdoan01,6-8
Eury Pérez,perezeu02,6-8
Phil Stockman,stockph01,6-8
Phil Stockman,stockph01,6-8
Stefan Wever,weverst01,6-8
Domingo Acevedo,acevedo01,6-7
Domingo Acevedo,acevedo01,6-7
Domingo Acevedo,acevedo01,6-7
Elvis Araújo,araujel01,6-7
Elvis Araújo,araujel01,6-7
Derek Aucoin,aucoide01,6-7
Phillippe Aumont,aumonph01,6-7
Phillippe Aumont,aumonph01,6-7
Phillippe Aumont,aumonph01,6-7
Phillippe Aumont,aumonph01,6-7
Daniel Cabrera,cabreda01,6-7
Daniel Cabrera,cabreda01,6-7
Daniel Cabrera,cabreda01,6-7
Daniel Cabrera,cabreda01,6-7
Daniel Cabrera,cabreda01,6-7
Daniel Cabrera,cabreda01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Miguel Castro,castrmi01,6-7
Oneil Cruz,cruzon01,6-7
Oneil Cruz,cruzon01,6-7
Oneil Cruz,cruzon01,6-7
Oneil Cruz,cruzon01,6-7
Steven Cruz,cruzst01,6-7
Franklyn Germán,germafr01,6-7
Franklyn Germán,germafr01,6-7
Franklyn Germán,germafr01,6-7
Franklyn Germán,germafr01,6-7
Franklyn Germán,germafr01,6-7
Franklyn Germán,germafr01,6-7
Joel Guzmán,guzmajo03,6-7
Joel Guzmán,guzmajo03,6-7
Peter Hoy,hoype01,6-7
Trystan Magnuson,magnutr01,6-7
Jeff McCurry,mccurje01,6-7
Jeff McCurry,mccurje01,6-7
Jeff McCurry,mccurje01,6-7
Jeff McCurry,mccurje01,6-7
Jeff McCurry,mccurje01,6-7
Steven Moya,moyast01,6-7
Steven Moya,moyast01,6-7
Steven Moya,moyast01,6-7
Bobby Muñoz,munozbo01,6-7
Bobby Muñoz,munozbo01,6-7
Bobby Muñoz,munozbo01,6-7
Bobby Muñoz,munozbo01,6-7
Bobby Muñoz,munozbo01,6-7
Bobby Muñoz,munozbo01,6-7
Bobby Muñoz,munozbo01,6-7
Dave Pavlas,pavlada01,6-7
Dave Pavlas,pavlada01,6-7
Dave Pavlas,pavlada01,6-7
Dave Pavlas,pavlada01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Pineda,pinedmi01,6-7
Michael Ynoa,ynoami01,6-7
Michael Ynoa,ynoami01,6-7
Pedro Beato,beatope01,6-6
Pedro Beato,beatope01,6-6
Pedro Beato,beatope01,6-6
Pedro Beato,beatope01,6-6
Pedro Beato,beatope01,6-6
Francis Beltrán,beltrfr01,6-6
Francis Beltrán,beltrfr01,6-6
Francis Beltrán,beltrfr01,6-6
José Castillo,castijo03,6-6
José Castillo,castijo03,6-6
José Castillo,castijo03,6-6
José Castillo,castijo03,6-6
Carlos Estévez,estevca01,6-6
Carlos Estévez,estevca01,6-6
Carlos Estévez,estevca01,6-6
Carlos Estévez,estevca01,6-6
Carlos Estévez,estevca01,6-6
Carlos Estévez,estevca01,6-6
Carlos Estévez,estevca01,6-6
Carlos Estévez,estevca01,6-6
Julian Fernández,fernaju02,6-6
Shintaro Fujinami,fujinsh01,6-6
Roberto Gómez,gomezro01,6-6
Roberto Gómez,gomezro01,6-6
Óscar Henríquez,henrios01,6-6
Óscar Henríquez,henrios01,6-6
Óscar Henríquez,henrios01,6-6
Mark Hutton,huttoma01,6-6
Mark Hutton,huttoma01,6-6
Mark Hutton,huttoma01,6-6
Mark Hutton,huttoma01,6-6
Mark Hutton,huttoma01,6-6
Franklyn Kilome,kilomfr01,6-6
Chris Leroux,lerouch01,6-6
Chris Leroux,lerouch01,6-6
Chris Leroux,lerouch01,6-6
Chris Leroux,lerouch01,6-6
Chris Leroux,lerouch01,6-6
Chris Leroux,lerouch01,6-6
Adam Loewen,loewead01,6-6
Adam Loewen,loewead01,6-6
Adam Loewen,loewead01,6-6
Adam Loewen,loewead01,6-6
Adam Loewen,loewead01,6-6
Adam Loewen,loewead01,6-6
Luis Martínez,martilu01,6-6
José Martínez,martijo08,6-6
José Martínez,martijo08,6-6
José Martínez,martijo08,6-6
José Martínez,martijo08,6-6
José Martínez,martijo08,6-6
Justin Masterson,masteju01,6-6
Justin Masterson,masteju01,6-6
Justin Masterson,masteju01,6-6
Justin Masterson,masteju01,6-6
Justin Masterson,masteju01,6-6
Justin Masterson,masteju01,6-6
Justin Masterson,masteju01,6-6
Justin Masterson,masteju01,6-6
Tom Mastny,mastnto01,6-6
Tom Mastny,mastnto01,6-6
Tom Mastny,mastnto01,6-6
J.C. Mejía,mejiaje02,6-6
J.C. Mejía,mejiaje02,6-6
J.C. Mejía,mejiaje02,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
Guillermo Mota,motagu01,6-6
David Paulino,paulida01,6-6
David Paulino,paulida01,6-6
David Paulino,paulida01,6-6
David Paulino,paulida01,6-6
Ben Rivera,riverbe01,6-6
Ben Rivera,riverbe01,6-6
Ben Rivera,riverbe01,6-6
Jefry Rodríguez,rodrije01,6-6
Jefry Rodríguez,rodrije01,6-6
Jefry Rodríguez,rodrije01,6-6
Humberto Sánchez,sanchhu01,6-6
