Player,Player-additional,Wt.
Jumbo Díaz,diazju03,315.0
Jumbo Díaz,diazju03,315.0
Jumbo Díaz,diazju03,315.0
Jumbo Díaz,diazju03,315.0
Félix Bautista,bautife01,285.0
Félix Bautista,bautife01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Bartolo Colon,colonba01,285.0
Max Castillo,castima03,280.0
Max Castillo,castima03,280.0
José Ceda,cedajo01,280.0
José Ceda,cedajo01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Michael Pineda,pinedmi01,280.0
Renyel Pinto,pintore01,280.0
Renyel Pinto,pintore01,280.0
Renyel Pinto,pintore01,280.0
Renyel Pinto,pintore01,280.0
Renyel Pinto,pintore01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Silva,silvaca01,280.0
Carlos Estévez,estevca01,277.0
Carlos Estévez,estevca01,277.0
Carlos Estévez,estevca01,277.0
Carlos Estévez,estevca01,277.0
Carlos Estévez,estevca01,277.0
Carlos Estévez,estevca01,277.0
Carlos Estévez,estevca01,277.0
Carlos Estévez,estevca01,277.0
Joe Jiménez,jimenjo02,277.0
Joe Jiménez,jimenjo02,277.0
Joe Jiménez,jimenjo02,277.0
Joe Jiménez,jimenjo02,277.0
Joe Jiménez,jimenjo02,277.0
Joe Jiménez,jimenjo02,277.0
Joe Jiménez,jimenjo02,277.0
Joe Jiménez,jimenjo02,277.0
Elvis Araújo,araujel01,275.0
Elvis Araújo,araujel01,275.0
Bruce Rondón,rondobr01,275.0
Bruce Rondón,rondobr01,275.0
Bruce Rondón,rondobr01,275.0
Bruce Rondón,rondobr01,275.0
Bruce Rondón,rondobr01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Carlos Zambrano,zambrca01,275.0
Miguel Sanó,sanomi01,272.0
Jonathan Albaladejo,albaljo01,270.0
Jonathan Albaladejo,albaljo01,270.0
Jonathan Albaladejo,albaljo01,270.0
Jonathan Albaladejo,albaljo01,270.0
Jonathan Albaladejo,albaljo01,270.0
Alberto Baldonado,baldoal01,270.0
Roberto Hernández,carmofa01,270.0
Roberto Hernández,carmofa01,270.0
