Rk,Player,Season,Wt.,Ht.,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,Player-additional
1,Pat Onstad,2011,214,6-3,43,ca CAN,D.C. United,us Major League Soccer,3,270,3.0,3,0,,0,0,0,0,0,0,0,GK,da23a96c
2,Pat Onstad,2010,214,6-3,42,ca CAN,Dynamo,us Major League Soccer,23,2070,23.0,23,0,0,0,0,0,0,0,0,0,GK,da23a96c
3,Preki,2005,179,5-10,41,us USA,KC Wizards,us Major League Soccer,16,478,5.3,4,12,0,2,1,3,2,0,0,0,FWMF,3d6d73e3
4,Kasey Keller,2011,194,6-2,41,us USA,Seattle,us Major League Soccer,34,3060,34.0,34,0,,0,0,0,0,0,0,0,GK,5b5bcd83
5,Marcus Hahnemann,2014,218,6-3,41,us USA,Seattle,us Major League Soccer,0,,,0,0,27,,,,,,,,GK,c6be3102
6,Pat Onstad,2009,214,6-3,41,ca CAN,Dynamo,us Major League Soccer,30,2700,30.0,30,0,0,0,0,0,0,0,0,0,GK,da23a96c
7,Carlos Valderrama,2002,163,5-6,40,co COL,Rapids,us Major League Soccer,27,2479,27.5,27,0,0,1,7,8,1,0,0,0,MF,2592bae1
8,Preki,2004,179,5-10,40,us USA,KC Wizards,us Major League Soccer,2,90,1.0,1,1,0,0,0,0,0,0,0,0,FWMF,3d6d73e3
9,Kasey Keller,2010,194,6-2,40,us USA,Seattle,us Major League Soccer,30,2655,29.5,30,0,0,0,0,0,0,0,0,0,GK,5b5bcd83
10,Claudio Suárez,2009,165,5-10,40,mx MEX,Chivas USA,us Major League Soccer,5,111,1.2,1,4,0,0,0,0,0,0,0,0,DF,96ce3dbd
11,Marcus Hahnemann,2013,218,6-3,40,us USA,Seattle,us Major League Soccer,4,360,4.0,4,0,,0,0,0,0,0,0,0,GK,c6be3102
12,Pat Onstad,2008,214,6-3,40,ca CAN,Dynamo,us Major League Soccer,24,2098,23.3,24,0,0,0,0,0,0,0,0,0,GK,da23a96c
13,Carlos Valderrama,2001,163,5-6,39,co COL,2 Teams,us Major League Soccer,24,2142,23.8,24,0,0,1,9,10,0,1,2,1,MF,2592bae1
14,Preki,2003,179,5-10,39,us USA,KC Wizards,us Major League Soccer,30,2678,29.8,30,0,0,12,12,24,7,5,6,1,FWMF,3d6d73e3
15,Kasey Keller,2009,194,6-2,39,us USA,Seattle,us Major League Soccer,29,2549,28.3,29,0,0,0,0,0,0,0,0,0,GK,5b5bcd83
16,Kei Kamara,2024,174,6-2,39,sl SLE,LAFC,us Major League Soccer,8,226,2.5,2,6,0,0,1,1,0,0,0,0,FW,6e3f3809
17,Claudio Suárez,2008,165,5-10,39,mx MEX,Chivas USA,us Major League Soccer,14,1080,12.0,13,1,0,0,0,0,0,0,0,0,DF,96ce3dbd
18,Tim Howard,2019,209,6-3,39,us USA,Rapids,us Major League Soccer,25,2159,24.0,25,0,0,0,0,0,0,0,0,0,GK,c444465e
19,Faryd Mondragón,2011,207,6-3,39,co COL,Philadelphia,us Major League Soccer,27,2385,26.5,27,0,,0,0,0,0,0,0,0,GK,cbd99275
20,Nick Rimando,2019,185,5-10,39,us USA,RSL,us Major League Soccer,29,2610,29.0,29,0,0,0,0,0,0,0,0,0,GK,cf975d73
