Player,Player-additional,Ht.
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Manute Bol,bolma01,7-7
Gheorghe Mureșan,muresgh01,7-7
Gheorghe Mureșan,muresgh01,7-7
Gheorghe Mureșan,muresgh01,7-7
Gheorghe Mureșan,muresgh01,7-7
Gheorghe Mureșan,muresgh01,7-7
Gheorghe Mureșan,muresgh01,7-7
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Shawn Bradley,bradlsh01,7-6
Tacko Fall,fallta01,7-6
Tacko Fall,fallta01,7-6
Tacko Fall,fallta01,7-6
Yao Ming,mingya01,7-6
Yao Ming,mingya01,7-6
Yao Ming,mingya01,7-6
Yao Ming,mingya01,7-6
Yao Ming,mingya01,7-6
Yao Ming,mingya01,7-6
Yao Ming,mingya01,7-6
Yao Ming,mingya01,7-6
Sim Bhullar,bhullsi01,7-5
Pavel Podkolzin,podkopa01,7-5
Pavel Podkolzin,podkopa01,7-5
Slavko Vraneš,vranesl01,7-5
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Boban Marjanović,marjabo01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Rik Smits,smitsri01,7-4
Victor Wembanyama,wembavi01,7-4
Bol Bol,bolbo01,7-3
Bol Bol,bolbo01,7-3
Bol Bol,bolbo01,7-3
Bol Bol,bolbo01,7-3
Bol Bol,bolbo01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
Zydrunas Ilgauskas,ilgauzy01,7-3
