Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Brad Wing,P,Melbourne,2014,2023,0,0,0,8,66,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,,,0,,WingBr00
2,Adam Gotsis,DT,Melbourne,2016,2023,0,0,3,27,121,,,,0,,,,,,,0,,,,0,,GotsAd00
3,Cameron Johnston,P,Geelong,2018,2023,0,0,1,16,95,,,,0,,,,,1.0,-23.0,0,0.0,,,0,,JohnCa02
4,Arryn Siposs,P,Melbourne,2021,2023,0,0,1,2,32,,,,0,,,,,,,0,,,,0,,SipoAr01
5,Daniel Faalele,T,Melbourne,2022,2023,0,0,0,3,32,,,,0,,,,,,,0,,,,0,,FaalDa00
6,Jordan Berry,P,Melbourne,2015,2021,0,0,0,12,108,,,,0,,,,,3.0,-11.0,0,0.0,,,0,,BerrJo00
7,Lac Edwards,P,Hastings,2016,2021,0,0,0,10,74,1.0,1.0,31.0,0,31.0,0.0,0.0,0.0,1.0,0.0,0,0.0,,,0,,EdwaLa01
8,Mat McBriar,P,Melbourne,2004,2014,0,2,0,18,141,1.0,2.0,30.0,0,30.0,0.0,0.0,0.0,2.0,0.0,0,0.0,,,0,,McBrMa20
9,Saverio Rocca,P,Melbourne,2007,2013,0,0,0,10,112,,,,0,,,,,,,0,,,,0,,RoccSa20
10,Ben Graham,P,Geelong,2005,2012,0,0,0,13,99,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,,,0,,GrahBe20
11,Chris Bryan,P,Melbourne,2010,2010,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,BryaCh01
12,Colin Ridgway,P,Melbourne,1965,1965,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,RidgCo20
