Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Chuba Hubbard,RB,Edmonton,2021,2023,0,0,0,14,49,,,,0,,,,,505.0,1980.0,12,35.0,78.0,578.0,1,45.0,HubbCh01
2,Deane Leonard,DB,Calgary,2022,2023,0,0,0,2,28,,,,0,,,,,,,0,,,,0,,LeonDe00
3,Carter O'Donnell,OL,Red Deer,2023,2023,0,0,0,2,5,,,,0,,,,,,,0,,,,0,,ODonCa00
4,Nate Burleson,WR,Calgary,2003,2013,0,0,9,45,135,,,,0,,,,,40.0,257.0,0,25.0,457.0,5630.0,39,68.0,BurlNa00
5,Daniel Federkeil,T,Medicine Hat,2006,2009,0,0,0,5,28,,,,0,,,,,,,0,,,,0,,FedeDa20
6,Mark Rypien,QB,Calgary,1988,2001,0,2,5,54,104,1466.0,2613.0,18473.0,115,82.0,88.0,97.0,664.0,127.0,166.0,8,19.0,0.0,0.0,0,0.0,RypiMa00
7,Hank Ilesic,P,Edmonton,1989,1989,0,0,0,2,14,,,,0,,,,,,,0,,,,0,,IlesHa20
8,Jeff Spek,TE,Calgary,1986,1986,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,SpekJe20
9,Roy Gerela,K,Sarrail,1969,1979,0,2,0,24,145,,,,0,,,,,,,0,,,,0,,GereRo20
10,Brian Fryer,WR,Edmonton,1976,1976,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,FryeBr20
11,Wayne Stewart,TE,Cochrane,1969,1974,0,0,1,4,52,,,,0,,,,,,,0,,27.0,355.0,2,29.0,StewWa00
12,Ed Ryan,E,Banff,1948,1948,0,0,0,0,9,,,,0,,,,,,,0,,,,0,,RyanEd20
13,Hector Cyre,T,Riviere Qui Barre,1926,1928,0,0,0,0,13,,,,0,,,,,,,0,,,,0,,CyreHe20
