Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Brent Urban,DE,Mississauga,2015,2023,0,0,2,21,109,,,,0,,,,,,,0,,,,0,,UrbaBr00
2,Eli Ankou,DT,Ottawa,2017,2023,0,0,0,4,34,,,,0,,,,,,,0,,,,0,,AnkoEl00
3,Nathan Shepherd,DT,Ajax,2018,2023,0,0,0,17,90,,,,0,,,,,,,0,,,,0,,ShepNa00
4,N'Keal Harry,WR,Toronto,2019,2023,0,0,1,7,49,,,,0,,,,,7.0,49.0,0,18.0,64.0,714.0,5,49.0,HarrNK00
5,Tevaughn Campbell,DB,Toronto,2020,2023,0,0,0,4,37,,,,0,,,,,,,0,,0.0,0.0,0,0.0,CampTe00
6,Neville Gallimore,DL,Ottawa,2020,2023,0,0,1,9,52,,,,0,,,,,,,0,,,,0,,GallNe00
7,Alaric Jackson,T,Windsor,2021,2023,0,0,0,10,27,,,,0,,,,,,,0,,,,0,,JackAl01
8,Josh Palmer,WR,Toronto,2021,2023,0,0,1,13,43,,,,0,,,,,3.0,16.0,0,6.0,143.0,1703.0,9,79.0,PalmJo00
9,Luiji Vilain,LB,Ottawa,2022,2023,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,VilaLu00
10,Jesse Luketa,LB,Ottawa,2022,2023,0,0,0,1,21,,,,0,,,,,,,0,,,,0,,LukeJe00
11,Chase Brown,RB,,2023,2023,0,0,0,3,12,,,,0,,,,,44.0,179.0,0,31.0,14.0,156.0,1,54.0,BrowCh10
12,Sydney Brown,S,,2023,2023,0,0,0,2,14,,,,0,,,,,,,0,,,,0,,BrowSy00
13,Tavius Robinson,OLB,Guelph,2023,2023,0,0,0,2,17,,,,0,,,,,,,0,,,,0,,RobiTa00
14,Dakoda Shepley,T,Windsor,2020,2022,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,ShepDa01
15,Nikola Kalinic,TE,Toronto,2022,2022,0,0,0,0,7,,,,0,,,,,,,0,,,,0,,KaliNi00
16,Tyrone Crawford,DE,Windsor,2012,2020,0,0,5,34,112,,,,0,,,,,,,0,,,,0,,CrawTy00
17,Luke Willson,TE,Windsor,2013,2020,0,0,2,12,102,,,,0,,,,,,,0,,111.0,1307.0,11,80.0,WillLu00
18,Ryan Hunter,T,North Bay,2019,2019,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,HuntRy00
19,Austin Pasztor,LG,Langton,2012,2018,0,0,3,16,67,,,,0,,,,,,,0,,,,0,,PaszAu00
20,Stefan Charles,DT,Oshawa,2013,2016,0,0,0,7,49,,,,0,,,,,,,0,,,,0,,CharSt00
21,Tevaun Smith,WR,Toronto,2016,2016,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,SmitTe03
22,Colin Cole,DT,Toronto,2004,2015,0,0,3,27,117,,,,0,,,,,,,0,,,,0,,ColeCo20
23,Shaun Suisham,K,Wallaceburg,2005,2014,0,0,0,19,128,,,,0,,,,,2.0,-13.0,0,0.0,,,0,,suishsha01
24,David Foucault,T,LaSalle,2014,2014,0,0,0,1,5,,,,0,,,,,,,0,,,,0,,FoucDa00
25,Austin Collie,WR,Hamilton,2009,2013,0,0,0,18,49,,,,0,,,,,2.0,1.0,0,2.0,179.0,1908.0,16,73.0,CollAu00
26,Cory Greenwood,LB,Kingston,2010,2012,0,0,0,3,48,,,,0,,,,,,,0,,,,0,,GreeCo01
27,O.J. Atogwe,DB,Windsor,2005,2011,0,0,6,34,101,,,,0,,,,,,,0,,,,0,,AtogO.20
28,Brett Romberg,C,Windsor,2006,2011,0,0,1,8,44,,,,0,,,,,,,0,,,,0,,RombBr20
29,Nick Kaczur,T,Brantford,2005,2009,0,0,5,37,68,,,,0,,,,,,,0,,,,0,,KaczNi20
30,Clifton Dawson,RB,Scarborough,2007,2008,0,0,0,1,15,,,,0,,,,,30.0,64.0,1,12.0,2.0,15.0,0,9.0,DawsCl00
31,Mike Vanderjagt,K,Oakville,1998,2006,1,1,0,33,135,,,,0,,,,,,,0,,,,0,,vandemik01
32,Mike Labinjo,MLB,Toronto,2004,2005,0,0,0,1,10,,,,0,,,,,,,0,,,,0,,LabiMi20
33,Steve Christie,K,Oakville,1990,2004,0,0,0,32,229,,,,0,,,,,,,0,,,,0,,chrisste01
34,O.J. Santiago,TE,Whitby,1997,2003,0,0,4,10,78,,,,0,,,,,,,0,,81.0,1041.0,9,62.0,SantO.00
35,Jesse Palmer,QB,Toronto,2002,2003,0,0,0,1,8,63.0,120.0,562.0,3,40.0,4.0,16.0,95.0,5.0,20.0,0,26.0,,,0,,PalmJe00
36,Tony Mandarich,T,Oakville,1989,1998,0,0,4,28,86,,,,0,,,,,,,0,,,,0,,MandTo20
37,Klaus Wilmsmeyer,P,Mississauga,1992,1998,0,0,0,9,94,1.0,1.0,18.0,0,18.0,0.0,0.0,0.0,4.0,0.0,0,10.0,,,0,,WilmKl20
38,Ryan Thelwell,WR,London,1998,1998,0,0,0,2,6,,,,0,,,,,,,0,,16.0,268.0,1,55.0,ThelRy00
39,Tim Tindale,FB,London,1995,1997,0,0,0,1,37,,,,0,,,,,19.0,65.0,0,15.0,5.0,104.0,0,45.0,TindTi00
40,Glen Young,LB,Scarborough,1995,1996,0,0,0,3,22,,,,0,,,,,,,0,,,,0,,YounGl21
41,Ed Philion,DT,Windsor,1994,1995,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,PhilEd20
42,Mike Schad,G,Trenton,1987,1993,0,0,4,26,62,,,,0,,,,,,,0,,,,0,,SchaMi20
43,Jerry Kauric,K,Windsor,1990,1990,0,0,0,2,14,,,,0,,,,,,,0,,1.0,21.0,0,21.0,kaurijer01
44,Dean Dorsey,K,Toronto,1988,1988,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,dorsedea01
45,Dave Sparenberg,G,Talbotville,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,SparDa20
