Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Benjamin St-Juste,DB,Montreal,2021,2023,0,0,1,9,37,,,,0,,,,,,,0,,,,0,,StJuBe00
2,Matthew Bergeron,OL,Montreal,2023,2023,0,0,0,6,17,,,,0,,,,,,,0,,,,0,,BergMa00
3,Sidy Sow,OL,Bromont,2023,2023,0,0,0,4,15,,,,0,,,,,,,0,,,,0,,SowxSi00
4,Laurent Duvernay-Tardif,T,St. Hilaire,2015,2022,0,0,4,29,73,,,,0,,,,,,,0,,,,0,,DuveLa00
5,Antony Auclair,TE,Notre Dame des Pins,2017,2021,0,0,1,0,56,,,,0,,,,,,,0,,15.0,131.0,1,15.0,AuclAn00
6,L.P. Ladouceur,LS,Montreal,2005,2020,0,1,0,12,253,,,,0,,,,,,,0,,,,0,,LadoL.20
7,Mehdi Abdesmad,DE,Montreal,2016,2016,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,AbdeMe00
8,Sam Giguere,WR,Sherbrooke,2009,2009,0,0,0,0,1,,,,0,,,,,,,0,,0.0,0.0,0,0.0,GiguSa00
9,Jean-Phillipe Darche,C,Montreal,2000,2008,0,0,0,14,120,,,,0,,,,,,,0,,,,0,,DarcJe20
10,Alain Kashama,DE,Montreal,2004,2005,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,KashAl20
11,Randy Chevrier,DT,St. Leonard,2001,2001,0,0,0,0,13,,,,0,,,,,,,0,,,,0,,ChevRa20
12,Ian Beckles,G,Montreal,1990,1998,0,0,9,37,126,,,,0,,,,,,,0,,,,0,,BeckIa20
13,Mark Montreuil,DB,Montreal,1995,1997,0,0,0,2,35,,,,0,,,,,,,0,,,,0,,MontMa21
14,Bill Hitchcock,T,Kirkland,1991,1994,0,0,3,14,51,,,,0,,,,,,,0,,,,0,,HitcBi20
15,Tommy Kane,WR,Montreal,1988,1992,0,0,3,17,57,,,,0,,,,,,,0,,142.0,2034.0,9,63.0,KaneTo00
16,Brian Forde,OLB,Montreal,1988,1991,0,0,0,7,64,,,,0,,,,,,,0,,,,0,,FordBr21
17,Justin Cross,T,Montreal,1982,1986,0,0,1,8,44,,,,0,,,,,,,0,,,,0,,CrosJu20
18,Charlie O'Rourke,QB,Montreal,1942,1949,0,0,2,0,58,256.0,506.0,4039.0,39,68.0,51.0,12.0,97.0,96.0,103.0,4,17.0,,,0,,ORouCh20
19,Joe Watt,HB,Montreal,1947,1949,0,0,0,0,26,,,,0,,,,,31.0,61.0,0,10.0,6.0,133.0,2,75.0,WattJo20
20,Paul Duhart,B,Montreal,1944,1945,0,0,0,0,13,7.0,22.0,69.0,0,21.0,2.0,,,68.0,200.0,3,16.0,9.0,176.0,2,32.0,DuhaPa20
21,Bill Rooney,B,Hull,1923,1929,0,0,4,0,47,,,,0,,,,,0.0,0.0,1,0.0,0.0,0.0,2,0.0,RoonBi20
22,Harry Robertson,T,Chambly,1922,1922,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,RobeHa21
