Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Brett Jones,C,Weyburn,2016,2020,0,0,1,10,61,,,,0,,,,,,,0,,,,0,,JoneBr04
2,Jon Ryan,P,Regina,2006,2017,0,0,0,20,191,3.0,4.0,54.0,0,42.0,0.0,0.0,0.0,11.0,0.0,0,26.0,,,0,,RyanJo21
3,Brett Boyko,T,Saskatoon,2017,2017,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,BoykBr01
4,Rueben Mayes,RB,North Battleford,1986,1993,0,2,3,28,76,,,,0,,,,,866.0,3484.0,23,50.0,57.0,401.0,0,66.0,MayeRu00
5,Arnie Weinmeister,DT,Rhein,1948,1953,5,4,6,0,71,,,,0,,,,,,,0,,1.0,16.0,0,16.0,WeinAr00
6,Ray Hare,B,North Battleford,1940,1946,0,1,2,0,51,0.0,1.0,0.0,0,0.0,0.0,,,133.0,542.0,2,47.0,28.0,359.0,1,65.0,HareRa20
7,Cece Hare,B,Glenbush,1941,1946,0,2,2,0,39,,,,0,,,,,22.0,76.0,0,11.0,9.0,173.0,1,66.0,HareCe20
8,Michael Kostiuk,T,Krydor,1941,1945,0,0,0,0,7,,,,0,,,,,,,0,,,,0,,KostMi20
9,Cecil Sturgeon,T,Carnduff,1941,1941,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,SturCe20
10,Lyle Sturgeon,T,Carnduff,1937,1937,0,0,0,0,7,,,,0,,,,,,,0,,,,0,,SturLy20
11,Russ Peterson,TB,Midale,1932,1932,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,PeteRu20
12,Joe Rooney,E,Saskatoon,1923,1928,0,0,6,0,55,,,,0,,,,,,,0,,0.0,0.0,7,0.0,RoonJo20
