Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Jakob Johnson,FB,Stuttgart,2019,2023,0,0,3,0,67,,,,0,,,,,,,0,,19.0,105.0,1,29.0,JohnJa12
2,Devery Hamilton,T,Stuttgart,2022,2022,0,0,0,1,9,,,,0,,,,,,,0,,,,0,,HamiDe00
3,Mike Jenkins,DB,Neuenburg am Rhein,2008,2015,0,1,4,27,101,,,,0,,,,,,,0,,,,0,,JenkMi99
4,Markus Kuhn,DT,Mannheim,2012,2015,0,0,0,6,39,,,,0,,,,,,,0,,,,0,,KuhnMa00
5,Jamar Nesbit,G,Heidelberg,1999,2009,0,0,5,38,153,,,,0,,,,,,,0,,0.0,0.0,0,0.0,NesbJa20
6,Keith Zinger,TE,Heidelberg,2009,2009,0,0,0,0,15,,,,0,,,,,,,0,,0.0,0.0,0,0.0,ZingKe20
7,John Engelberger,DE,Heidelberg,2000,2008,0,0,5,31,139,,,,0,,,,,,,0,,,,0,,EngeJo20
8,Ron George,RLB,Heidelberg,1993,2000,0,0,2,14,124,,,,0,,,,,,,0,,,,0,,GeorRo20
9,John Jurkovic,DT,Friedrichshafen,1991,1999,0,0,7,38,114,,,,0,,,,,,,0,,,,0,,JurkJo20
10,John Alt,T,Stuttgart,1984,1996,0,2,10,68,179,,,,0,,,,,,,0,,,,0,,AltxJo00
11,Ed Reynolds,LILB,Stuttgart,1983,1992,0,0,3,26,135,,,,0,,,,,,,0,,,,0,,ReynEd20
12,James FitzPatrick,T,Heidelberg,1986,1991,0,0,1,10,65,,,,0,,,,,,,0,,,,0,,FitzJa21
13,Mark Adickes,G,Stuttgart,1986,1991,0,0,4,22,77,,,,0,,,,,,,0,,1.0,3.0,1,3.0,AdicMa20
14,Joe Szczecko,DT,Lahr,1966,1969,0,0,3,11,48,,,,0,,,,,,,0,,,,0,,SzczJo20
15,Gerhard Schwedes,HB,Freiburg,1960,1961,0,0,0,0,10,,,,0,,,,,10.0,14.0,0,5.0,1.0,21.0,0,21.0,SchwGe00
