Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Ryan Smith,CB,Augsburg,2016,2022,0,0,0,8,78,,,,0,,,,,,,0,,,,0,,SmitRy00
2,Dominik Eberle,,Nuremberg,2021,2022,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,EberDo01
3,David Bada,DT,Munich,2022,2022,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,BadaDa00
4,Mark Nzeocha,OLB,Neusitz,2015,2021,0,0,0,5,56,,,,0,,,,,,,0,,,,0,,NzeoMa00
5,Vyncint Smith,WR,Bad Windsheim,2018,2021,0,0,0,3,29,,,,0,,,,,3.0,52.0,1,20.0,23.0,329.0,1,37.0,SmitVy00
6,Je'Ron Hamm,TE,Sulzbach-Rosenberg,2015,2016,0,0,0,0,6,,,,0,,,,,,,0,,2.0,13.0,0,7.0,HammJe01
7,Sean Bennett,RB,Wurzburg,1999,2002,0,0,0,1,16,,,,0,,,,,29.0,126.0,1,40.0,9.0,64.0,0,16.0,BennSe00
8,Tony Mayberry,C,Wurzburg,1990,1999,0,3,9,52,160,,,,0,,,,,,,0,,,,0,,MaybTo00
9,Nick Lowery,K,Munich,1978,1996,2,3,0,55,260,,,,0,,,,,,,0,,,,0,,lowernic01
10,Marvin Marshall,WR,Aschaffenburg,1996,1996,0,0,0,0,5,,,,0,,,,,,,0,,2.0,27.0,0,20.0,MarsMa20
11,Anthony McDowell,RB,Augsburg,1992,1994,0,0,2,5,30,,,,0,,,,,37.0,145.0,0,23.0,64.0,477.0,4,51.0,McDoAn00
12,Joel Patten,T,Augsburg,1980,1991,0,0,2,16,56,,,,0,,,,,,,0,,,,0,,PattJo20
13,Bruce Collie,G,Nuremberg,1985,1991,0,0,2,26,91,,,,0,,,,,,,0,,,,0,,CollBr20
14,Gary Walker,C,Hassfurt,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,WalkGa20
15,Alan Reid,RB,Wurzburg,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,ReidAl20
16,Chris Kolodziejski,TE,Augsburg,1984,1984,0,0,0,1,7,,,,0,,,,,,,0,,5.0,59.0,0,22.0,KoloCh20
17,Jeff Nixon,DB,Furstenfeldbruck,1979,1982,0,0,0,12,43,,,,0,,,,,,,0,,,,0,,NixoJe20
18,Jeff Knapple,QB,Wurzburg,1980,1980,0,0,0,0,2,1.0,4.0,15.0,0,15.0,0.0,0.0,0.0,6.0,0.0,0,9.0,,,0,,KnapJe20
19,Zenon Andrusyshyn,P,Gunzburg,1978,1978,0,0,0,3,16,,,,0,,,,,1.0,0.0,0,0.0,,,0,,AndrZe20
20,Ernie Stautner,DT,Cham,1950,1963,1,9,13,25,173,,,,0,,,,,,,0,,,,0,,StauEr00
21,Frank Aschenbrenner,RB,Haibuehl,1949,1949,0,0,0,0,6,,,,0,,,,,8.0,14.0,0,,2.0,-4.0,0,0.0,AschFr20
