Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Jeff Locke,P,Frankfurt,2013,2017,0,0,0,6,69,,,,0,,,,,1.0,-6.0,0,0.0,,,0,,LockJe00
2,Doug Legursky,C,Frankfurt,2009,2015,0,0,2,16,75,,,,0,,,,,,,0,,,,0,,LeguDo00
3,Brandon Ghee,DB,Wiesbaden,2010,2014,0,0,0,2,29,,,,0,,,,,,,0,,,,0,,GheeBr99
4,Mike Sellers,TE,Frankfurt,1998,2011,0,1,4,7,174,,,,0,,,,,50.0,158.0,3,15.0,123.0,1095.0,18,47.0,SellMi00
5,Tony Richardson,FB,Frankfurt,1995,2010,0,3,11,23,234,,,,0,,,,,429.0,1727.0,15,33.0,210.0,1543.0,9,47.0,RichTo00
6,Ray Mickens,DB,Frankfurt,1996,2006,0,0,2,21,146,,,,0,,,,,,,0,,,,0,,MickRa20
7,Siddeeq Shabazz,DB,Frankfurt,2003,2005,0,0,0,2,28,,,,0,,,,,,,0,,,,0,,ShabSi20
8,Jamaar Taylor,WR,Giessen,2004,2005,0,0,0,1,13,,,,0,,,,,1.0,-8.0,0,0.0,6.0,146.0,0,52.0,TaylJa00
9,Kavika Pittman,DE,Frankfurt,1996,2003,0,0,5,34,108,,,,0,,,,,,,0,,,,0,,PittKa20
10,Dorian Boose,DE,Frankfurt,1998,2001,0,0,0,5,44,,,,0,,,,,,,0,,,,0,,BoosDo20
11,Dwayne Missouri,DE,Frankfurt,2001,2001,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,MissDw20
12,Darnell Autry,RB,Wiesbaden,1997,2000,0,0,1,7,24,,,,0,,,,,224.0,653.0,4,17.0,33.0,334.0,1,37.0,AutrDa00
13,Joel Steed,NT,Frankfurt,1992,1999,0,1,7,47,115,,,,0,,,,,,,0,,,,0,,SteeJo00
14,Tony Vinson,RB,Frankfurt,1997,1999,0,0,0,0,16,,,,0,,,,,,,0,,,,0,,VinsTo00
15,Terry Billups,DB,Wiesbaden,1998,1999,0,0,0,1,3,,,,0,,,,,,,0,,,,0,,BillTe20
16,Ken Brown,LB,Wiesbaden,1995,1995,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,BrowKe21
17,William Sims,LB,Frankfurt,1994,1994,0,0,0,0,8,,,,0,,,,,,,0,,,,0,,SimsWi20
18,Gerald McNeil,WR,Frankfurt,1986,1990,0,1,0,6,76,,,,0,,,,,4.0,61.0,0,18.0,29.0,380.0,2,39.0,McNeGe00
19,Dan McMillen,DE,Wiesbaden,1987,1987,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,McMiDa21
20,Mike Kullman,DB,Frankfurt,1987,1987,0,0,0,1,3,,,,0,,,,,,,0,,,,0,,KullMi20
21,Fred Steinfort,K,Wetter,1976,1983,0,0,0,9,64,,,,0,,,,,,,0,,,,0,,steinfre01
