Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Daniel Whelan,P,Enniskerry,2023,2023,0,0,0,1,17,,,,0,,,,,,,0,,,,0,,WhelDa00
2,Neil O'Donoghue,K,Dublin,1977,1985,0,0,0,12,110,,,,0,,,,,,,0,,,,0,,odononei02
3,John Sinnott,T,Wexford,1982,1982,0,0,1,4,9,,,,0,,,,,,,0,,,,0,,SinnJo20
4,Adrian Young,LLB,Dublin,1968,1973,0,0,1,14,52,,,,0,,,,,,,0,,,,0,,YounAd20
5,Tom Graham,G,Omagh,1935,1935,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,GrahTo20
6,Bob Nash,T,Collinstown,1920,1925,1,0,3,0,33,,,,0,,,,,,,0,,,,0,,NashBo20
7,France Fitzgerald,BB,County Kerry,1923,1923,0,0,1,0,7,,,,0,,,,,,,0,,,,0,,FitzFr20
8,Brian McGrath,G,,1922,1922,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,McGrBr20
9,Mickey Fallon,G,Geevagh,1922,1922,0,0,0,0,8,,,,0,,,,,,,0,,,,0,,FallMi20
10,Con O'Brien,T,,1921,1921,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,OBriCo20
11,Birtie Maher,E,County Mayo,1920,1920,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,MaheBi20
