Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Robert Griffin III,QB,Okinawa,2012,2020,0,1,3,36,56,799.0,1268.0,9271.0,43,88.0,30.0,131.0,895.0,307.0,1809.0,10,76.0,0.0,0.0,0,0.0,GrifRo01
2,DaeSean Hamilton,WR,Okinawa,2018,2020,0,0,0,6,46,,,,0,,,,,,,0,,81.0,833.0,5,40.0,HamiDa01
3,Emmett Cleary,T,Tokyo,2016,2017,0,0,0,3,20,,,,0,,,,,,,0,,,,0,,CleaEm01
4,Marcus Thomas,DT,Yokosuka,2007,2011,0,0,2,14,76,,,,0,,,,,,,0,,,,0,,ThomMa99
5,John Jackson,T,Camp Kwe,1988,2001,0,0,11,58,203,,,,0,,,,,,,0,,,,0,,JackJo22
6,Anthony Brown,T,Okinawa,1995,1999,0,0,1,11,52,,,,0,,,,,,,0,,,,0,,BrowAn20
7,Matt Russell,LB,Tokyo,1997,1997,0,0,0,2,14,,,,0,,,,,,,0,,,,0,,RussMa20
8,Guy Bingham,C,Koiaumi Gumma Ken,1980,1993,0,0,1,23,199,,,,0,,,,,,,0,,,,0,,BingGu20
9,J.C. Pearson,DB,,1986,1993,0,0,1,15,103,,,,0,,,,,,,0,,,,0,,PearJ.20
10,John Hagy,DB,Okinawa,1988,1990,0,0,1,5,28,,,,0,,,,,,,0,,,,0,,HagyJo20
11,Dan Clark,LB,Camp Zama,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,ClarDa20
12,John Arnold,WR,Shizuoka,1979,1980,0,0,0,0,17,,,,0,,,,,,,0,,,,0,,ArnoJo20
