Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Gus Edwards,RB,,2018,2023,0,0,0,25,69,,,,0,,,,,699.0,3395.0,26,63.0,30.0,374.0,0,80.0,EdwaGu00
2,Kelvin Harmon,WR,,2019,2019,0,0,1,3,16,1.0,1.0,11.0,0,11.0,0.0,0.0,0.0,,,0,,30.0,365.0,0,30.0,HarmKe00
3,Jehu Chesson,WR,Monrovia,2017,2018,0,0,0,0,24,,,,0,,,,,1.0,-4.0,0,0.0,3.0,25.0,0,10.0,ChesJe00
4,Tamba Hali,DE,Gbanga,2006,2017,0,5,10,75,177,,,,0,,,,,,,0,,,,0,,HaliTa20
5,Sio Moore,OLB,Monrovia,2013,2016,0,0,2,14,46,,,,0,,,,,,,0,,,,0,,MoorSi00
6,Jonathan Massaquoi,DE,Monrovia,2012,2014,0,0,0,6,39,,,,0,,,,,,,0,,,,0,,MassJo00
7,Ashton Youboty,DB,,2006,2011,0,0,0,8,49,,,,0,,,,,,,0,,,,0,,YoubAs20
8,Mansfield Wrotto,G,,2008,2010,0,0,1,6,27,,,,0,,,,,,,0,,,,0,,WrotMa20
9,Jehuu Caulcrick,RB,,2010,2010,0,0,0,0,2,,,,0,,,,,1.0,2.0,0,2.0,,,0,,CaulJe00
10,Thomas Tapeh,FB,Monrovie,2004,2008,0,0,2,2,41,,,,0,,,,,22.0,69.0,0,11.0,27.0,157.0,1,15.0,TapeTh00
11,Bhawoh Jue,DB,Monrovia,2001,2007,0,0,1,14,79,,,,0,,,,,,,0,,,,0,,JuexBh20
