Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Graham Gano,K,Arbroath,2009,2023,0,1,1,30,192,,,,0,,,,,,,0,,,,0,,GanoGr44
2,Jamie Gillan,P,Inverness,2019,2023,0,0,1,7,78,0.0,0.0,0.0,0,0.0,0.0,1.0,11.0,4.0,-5.0,0,0.0,,,0,,GillJa00
3,Lawrence Tynes,K,Greenock,2004,2012,0,0,0,17,129,,,,0,,,,,,,0,,,,0,,tyneslaw01
4,Andrew Peterson,T,Greenock,1995,1995,0,0,0,1,4,,,,0,,,,,,,0,,,,0,,PeteAn21
5,Alex Waits,P,Glasgow,1991,1991,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,WaitAl20
6,Ian Sunter,K,Dundee,1976,1980,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,sunteian01
7,Tom Birney,K,Bellshill,1979,1980,0,0,0,2,13,,,,0,,,,,,,0,,,,0,,birnetom01
8,Chick Lang,T,Fort William,1927,1929,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,LangCh20
9,Arthur Matsu,B,Glasgow,1928,1928,0,0,1,0,6,,,,0,,,,,,,0,,,,0,,MatsAr20
10,James Robertson,B,Aberdeen,1924,1925,0,0,1,0,16,,,,0,,,,,0.0,0.0,1,0.0,0.0,0.0,1,0.0,RobeJa22
