Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Netane Muti,OL,,2020,2023,0,0,0,3,22,,,,0,,,,,,,0,,,,0,,MutiNe00
2,Star Lotulelei,DT,,2013,2021,0,0,7,48,119,,,,0,,,,,,,0,,,,0,,LotuSt00
3,Ma'ake Kemoeatu,DT,,2002,2012,0,0,6,39,136,,,,0,,,,,,,0,,,,0,,KemoMa20
4,Deuce Lutui,G,Hai'api,2006,2012,0,0,5,34,101,,,,0,,,,,,,0,,,,0,,LutuDe20
5,Spencer Folau,T,Nuku'Alofa,1997,2004,0,0,2,25,91,,,,0,,,,,,,0,,,,0,,FolaSp20
6,Alfred Pupunu,TE,,1992,2000,0,0,2,8,103,,,,0,,,,,,,0,,102.0,1000.0,3,41.0,PupuAl00
7,Siupeli Malamala,T,Tofoa,1992,1999,0,0,2,18,62,,,,0,,,,,,,0,,,,0,,MalaSi20
8,Viliami Maumau,DT,Fo'ui,1999,1999,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,MaumVi20
9,Tuineau Alipate,LB,,1994,1995,0,0,0,2,24,,,,0,,,,,,,0,,,,0,,AlipTu20
10,Vai Sikahema,RB,Nuku'Alofa,1986,1993,1,2,0,9,118,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,59.0,217.0,0,27.0,53.0,537.0,1,37.0,SikaVa00
11,Peter Tuipulotu,RB,Nu'ukalofa,1992,1992,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,TuipPe20
12,Tim Manoa,RB,,1987,1991,0,0,1,9,53,,,,0,,,,,236.0,938.0,6,44.0,40.0,308.0,2,32.0,ManoTi00
13,Steve Kaufusi,DE,Nuku'Alofa,1989,1990,0,0,0,2,32,,,,0,,,,,,,0,,,,0,,KaufSt20
14,Stan Mataele,NT,,1987,1987,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,MataSt20
15,Lakei Heimuli,RB,Vava'u,1987,1987,0,0,0,1,3,,,,0,,,,,34.0,128.0,0,12.0,5.0,51.0,1,17.0,HeimLa20
