Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Pat Snyder,LB,,1987,1991,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,SnydPa20
2,Eric Brown,DB,,1989,1989,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,BrowEr22
3,Lynwood Alford,LB,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,AlfoLy20
4,Mel Anderson,WR,,1987,1987,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,AndeMe20
5,John Arp,T,,1987,1987,0,0,0,1,2,,,,0,,,,,,,0,,,,0,,ArpxJo20
6,Milton Barney,WR,,1987,1987,0,0,0,1,3,,,,0,,,,,,,0,,10.0,175.0,2,32.0,BarnMi21
7,Brant Bengen,WR,,1987,1987,0,0,0,0,3,,,,0,,,,,,,0,,2.0,33.0,0,24.0,BengBr20
8,Steve Bradley,QB,,1987,1987,0,0,0,0,1,6.0,18.0,77.0,2,18.0,3.0,3.0,24.0,1.0,-3.0,0,-3.0,,,0,,BradSt20
9,Chris Brown,T,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,BrowCh23
10,Eric Brown,WR,,1987,1987,0,0,0,1,2,,,,0,,,,,,,0,,5.0,69.0,0,23.0,BrowEr20
11,Danny Burmeister,DB,,1987,1987,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,BurmDa20
12,Milt Carthens,T,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,CartMi20
13,Torin Clark,DB,,1987,1987,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,ClarTo20
14,Eric Cobble,RB,,1987,1987,0,0,0,0,3,,,,0,,,,,9.0,23.0,0,12.0,,,0,,CobbEr20
15,Anthony Corvino,G,,1987,1987,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,CorvAn20
16,Eric Coss,C,,1987,1987,0,0,0,2,3,,,,0,,,,,,,0,,,,0,,CossEr20
17,Fred Davis,DB,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,DaviFr21
18,Russell Evans,WR,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,EvanRu20
19,Derrick Foster,RB,,1987,1987,0,0,0,0,3,,,,0,,,,,1.0,9.0,0,9.0,1.0,9.0,0,9.0,FostDe20
20,Alex Green,DB,,1987,1987,0,0,0,1,3,,,,0,,,,,,,0,,,,0,,GreeAl20
21,Stephen Griffin,RB,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,GrifSt20
22,Russell Hairston,DB,,1987,1987,0,0,0,1,3,,,,0,,,,,,,0,,2.0,16.0,1,11.0,HairRu20
23,David Hendley,DB,,1987,1987,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,HendDa20
24,Joe Jackson,LB,,1987,1987,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,JackJo20
25,Daryl Knox,LB,,1987,1987,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,KnoxDa20
26,Bruce Livingston,DB,,1987,1987,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,LiviBr20
27,Kim Mack,DB,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,MackKi20
28,Pete McCartney,T,,1987,1987,0,0,0,1,3,,,,0,,,,,,,0,,,,0,,McCaPe20
29,Bruce McCray,DB,,1987,1987,0,0,0,2,3,,,,0,,,,,,,0,,,,0,,McCrBr20
30,Sean McInerney,DE,,1987,1987,0,0,0,2,3,,,,0,,,,,,,0,,,,0,,McInSe20
31,John McVeigh,LB,,1987,1987,0,0,0,1,3,,,,0,,,,,,,0,,,,0,,McVeJo20
32,Ted Million,G,,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,MillTe21
