Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Brandon Pili,DT,Anchorage,2023,2023,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,PiliBr00
2,Tyree Wilson,DE,Anchorage,2023,2023,0,0,0,2,17,,,,0,,,,,,,0,,,,0,,WilsTy01
3,Zackary Bowman,DB,Anchorage,2008,2015,0,0,1,15,99,,,,0,,,,,,,0,,,,0,,BowmZa20
4,Daryn Colledge,T,Fairbanks,2006,2014,0,0,9,57,141,,,,0,,,,,,,0,,,,0,,CollDa20
5,Reggie Walker,OLB,Fairbanks,2009,2014,0,0,0,7,75,,,,0,,,,,,,0,,,,0,,WalkRe00
6,Chris Kuper,G,Anchorage,2006,2013,0,0,5,35,90,,,,0,,,,,,,0,,0.0,7.0,0,7.0,KupeCh20
7,Steve Smith,WR,Anchorage,2007,2012,0,1,1,23,64,,,,0,,,,,,,0,,245.0,2641.0,12,51.0,SmitSt02
8,David Veikune,DE,Anchorage,2009,2010,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,VeikDa99
9,Travis Hall,DT,Kenai,1995,2005,0,0,6,41,150,,,,0,,,,,,,0,,,,0,,HallTr20
10,Mark Schlereth,G,Anchorage,1989,2000,0,2,8,66,156,,,,0,,,,,,,0,,,,0,,SchlMa00
11,Shane Bonham,DT,Fairbanks,1994,1999,0,0,0,6,76,,,,0,,,,,,,0,,,,0,,BonhSh20
12,Sammy Lilly,DB,Anchorage,1989,1992,0,0,0,2,50,,,,0,,,,,,,0,,,,0,,LillSa20
13,Bob Rozier,DE,Anchorage,1979,1979,0,0,0,2,6,,,,0,,,,,,,0,,,,0,,RoziBo20
14,Phil Sarboe,BB,Fairbanks,1934,1936,0,0,1,0,32,85.0,201.0,1133.0,4,,26.0,,,123.0,243.0,0,,3.0,40.0,0,18.0,SarbPh20
15,George Nix,G,Howkan,1926,1926,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,NixxGe20
