Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Julio Jones,WR,Foley,2011,2023,2,7,9,101,166,,,,0,,,,,24.0,163.0,0,19.0,914.0,13703.0,66,81.0,JoneJu02
2,Carson Tinker,LS,Decatur,2013,2023,0,0,0,5,99,,,,0,,,,,,,0,,,,0,,TinkCa00
3,Jordan Matthews,WR,Madison,2014,2023,0,0,3,23,77,,,,0,,,,,,,0,,274.0,3288.0,22,78.0,MattJo00
4,Nick Williams,DT,Birmingham,2014,2023,0,0,1,22,97,,,,0,,,,,,,0,,,,0,,WillNi01
5,C.J. Mosley,ILB,Theodore,2014,2023,0,5,7,80,129,,,,0,,,,,,,0,,,,0,,MoslC.00
6,Za'Darius Smith,DE,Montgomery,2015,2023,0,3,3,52,123,,,,0,,,,,,,0,,,,0,,SmitZa00
7,Kwon Alexander,OLB,Oxford,2015,2023,0,1,6,42,104,,,,0,,,,,,,0,,,,0,,AlexKw00
8,Bobby McCain,CB,Sylacauga,2015,2023,0,0,6,28,131,,,,0,,,,,,,0,,,,0,,McCaBo01
9,Ameer Abdullah,RB,Homewood,2015,2023,0,0,2,18,125,,,,0,,,,,428.0,1683.0,6,36.0,163.0,1207.0,8,36.0,AbduAm00
10,A.J. McCarron,QB,Mobile,2015,2023,0,0,0,4,19,113.0,179.0,1192.0,6,66.0,3.0,21.0,143.0,22.0,68.0,1,18.0,,,0,,McCaA.00
11,Jameis Winston,QB,Bessemer,2015,2023,0,1,5,60,93,1763.0,2882.0,22104.0,141,72.0,99.0,195.0,1242.0,298.0,1214.0,11,26.0,,,0,,WinsJa00
12,Michael Pierce,DT,Daphne,2016,2023,0,0,2,29,88,,,,0,,,,,,,0,,,,0,,PierMi00
13,James Bradberry,CB,Pleasant Grove,2016,2023,0,1,7,46,125,,,,0,,,,,,,0,,,,0,,BradJa00
14,Rudy Ford,FS,Owens Cross Roads,2017,2023,0,0,0,11,86,,,,0,,,,,,,0,,,,0,,FordRu00
15,Zach Cunningham,OLB,Pinson,2017,2023,0,0,4,36,95,,,,0,,,,,,,0,,,,0,,CunnZa00
16,Nicholas Morrow,MLB,Huntsville,2017,2023,0,0,4,23,94,,,,0,,,,,,,0,,,,0,,MorrNi00
17,Samaje Perine,RB,Jackson,2017,2023,0,0,1,20,93,,,,0,,,,,454.0,1830.0,8,46.0,151.0,1191.0,6,32.0,PeriSa00
18,Jonathan Allen,DT,Anniston,2017,2023,0,2,5,48,101,,,,0,,,,,,,0,,,,0,,AlleJo01
19,Marlon Humphrey,CB,Hoover,2017,2023,1,3,5,49,100,,,,0,,,,,,,0,,,,0,,HumpMa00
20,Siran Neal,CB,Dothan,2018,2023,0,0,0,5,97,,,,0,,,,,,,0,,1.0,13.0,0,13.0,NealSi00
21,Trenton Scott,T,Huntsville,2018,2023,0,0,1,13,71,,,,0,,,,,,,0,,,,0,,ScotTr01
22,Daron Payne,DT,Birmingham,2018,2023,0,1,5,44,98,,,,0,,,,,,,0,,,,0,,PaynDa00
23,Tremon Smith,,Anniston,2018,2023,0,0,0,7,83,,,,0,,,,,1.0,7.0,0,7.0,,,0,,SmitTr04
24,Rashaan Evans,ILB,Auburn,2018,2023,0,0,4,32,85,,,,0,,,,,,,0,,,,0,,EvanRa01
25,Taylor Stallworth,DT,Mobile,2018,2023,0,0,0,5,58,,,,0,,,,,,,0,,,,0,,StalTa00
26,Tae Davis,OLB,Oxford,2018,2023,0,0,0,7,61,,,,0,,,,,,,0,,,,0,,DaviTa00
27,Bradley Bozeman,C,Roanoke,2018,2023,0,0,4,31,96,,,,0,,,,,,,0,,,,0,,BozeBr00
28,Drue Tranquill,OLB,Montgomery,2019,2023,0,0,1,18,63,,,,0,,,,,,,0,,,,0,,TranDr00
29,Mack Wilson,OLB,Montgomery,2019,2023,0,0,2,17,77,,,,0,,,,,,,0,,,,0,,WilsMa03
