Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,J.J. Jansen,C,Phoenix,2009,2023,0,1,0,21,243,,,,0,,,,,,,0,,,,0,,JansJ.00
2,Cameron Jordan,DE,Chandler,2011,2023,1,8,12,103,209,,,,0,,,,,,,0,,,,0,,JordCa00
3,Andrus Peat,T,Mesa,2015,2023,0,3,6,52,111,,,,0,,,,,,,0,,,,0,,PeatAn00
4,Myles Jack,OLB,Scottsdale,2016,2023,0,0,7,42,106,,,,0,,,,,,,0,,,,0,,JackMy00
5,Blake Martinez,ILB,Tucson,2016,2023,0,0,5,38,85,,,,0,,,,,,,0,,,,0,,MartBl01
6,Wes Schweitzer,T,Scottsdale,2017,2023,0,0,3,27,86,,,,0,,,,,,,0,,,,0,,SchwWe00
7,Isaiah Oliver,CB,Phoenix,2018,2023,0,0,2,15,79,,,,0,,,,,,,0,,,,0,,OlivIs00
8,Kyle Allen,QB,Scottsdale,2018,2023,0,0,1,11,30,441.0,704.0,4734.0,26,53.0,21.0,60.0,487.0,65.0,162.0,4,17.0,,,0,,AlleKy00
9,Mark Andrews,TE,Scottsdale,2018,2023,1,3,1,43,87,,,,0,,,,,5.0,8.0,0,4.0,381.0,4857.0,40,74.0,AndrMa00
10,Christian Kirk,WR,Scottsdale,2018,2023,0,0,5,39,85,2.0,4.0,32.0,0,33.0,0.0,0.0,0.0,22.0,159.0,0,28.0,377.0,4797.0,28,80.0,KirkCh01
11,Levi Wallace,CB,Tucson,2018,2023,0,0,5,26,83,,,,0,,,,,,,0,,,,0,,WallLe00
12,Quinn Bailey,T,Gilbert,2019,2023,0,0,0,3,31,,,,0,,,,,,,0,,,,0,,BailQu00
13,Jake Bailey,P,Phoenix,2019,2023,1,1,1,7,75,,,,0,,,,,,,0,,,,0,,BailJa00
14,Byron Murphy,CB,Scottsdale,2019,2023,0,0,3,23,70,,,,0,,,,,,,0,,,,0,,MurpBy00
15,Demetrius Flannigan-Fowles,DB,Tucson,2020,2023,0,0,0,6,61,,,,0,,,,,,,0,,,,0,,FlanDe00
16,Roy Lopez,DT,Tempe,2021,2023,0,0,2,15,47,,,,0,,,,,,,0,,,,0,,LopeRo00
17,Mitchell Fraboni,LS,Phoenix,2022,2023,0,0,0,1,21,,,,0,,,,,,,0,,,,0,,FrabMi00
18,Isaiah Pola-Mao,S,Phoenix,2022,2023,0,0,0,2,27,,,,0,,,,,,,0,,,,0,,PolaIs00
19,Rashid Shaheed,WR,Phoenix,2022,2023,1,1,0,12,27,,,,0,,,,,11.0,94.0,1,44.0,74.0,1207.0,7,68.0,ShahRa00
20,Jalen Harris,DL,Gilbert,2023,2023,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,HarrJa04
