Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Frankie Luvu,OLB,Tafuna,2018,2023,0,0,1,20,88,,,,0,,,,,,,0,,,,0,,LuvuFr00
2,Daniel Ekuale,DL,Pago Pago,2019,2023,0,0,0,5,41,,,,0,,,,,,,0,,,,0,,EkuaDa00
3,Penei Sewell,T,Malaeimi,2021,2023,1,2,2,36,50,,,,0,,,,,,,0,,1.0,9.0,0,9.0,SewePe00
4,Nephi Sewell,LB,,2022,2023,0,0,0,1,20,,,,0,,,,,,,0,,,,0,,SeweNe00
5,Noah Sewell,LB,,2023,2023,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,SeweNo00
6,Jeremiah Kolone,G,Pago Pago,2022,2022,0,0,0,1,5,,,,0,,,,,,,0,,,,0,,KoloJe00
7,Domata Peko,DT,Pago Pago,2006,2020,0,0,12,68,214,,,,0,,,,,,,0,,,,0,,PekoDo20
8,Mike Iupati,G,,2010,2020,1,4,10,67,140,,,,0,,,,,,,0,,1.0,10.0,0,10.0,IupaMi20
9,Shalom Luani,SS,Pago Pago,2017,2019,0,0,0,2,31,,,,0,,,,,,,0,,,,0,,LuanSh00
10,Destiny Vaeao,DT,Pago Pago,2016,2018,0,0,0,3,33,,,,0,,,,,,,0,,,,0,,VaeaDe01
11,Ropati Pitoitua,DE,,2009,2015,0,0,3,17,70,,,,0,,,,,,,0,,,,0,,PitoRo00
12,Joey Iosefa,FB,Pago Pago,2015,2015,0,0,0,0,2,,,,0,,,,,15.0,51.0,0,15.0,,,0,,IoseJo00
13,Isaac Sopoaga,DT,Pago Pago,2005,2013,0,0,5,38,139,,,,0,,,,,,,0,,1.0,18.0,0,18.0,SopoIs20
14,Daniel Te'o-Nesheim,DE,Pago Pago,2010,2013,0,0,2,12,39,,,,0,,,,,,,0,,,,0,,Teo-Da99
15,Isaako Aaitui,NT,Pago Pago,2013,2013,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,AaitIs00
16,Reagan Maui'a,RB,,2007,2012,0,0,1,0,39,,,,0,,,,,4.0,5.0,0,3.0,6.0,44.0,0,12.0,MauiRe00
17,Jonathan Fanene,DE,Pago Pago,2005,2011,0,0,1,12,71,,,,0,,,,,,,0,,,,0,,FaneJo20
18,Junior Siavii,DT,Pago Pago,2004,2010,0,0,0,6,56,,,,0,,,,,,,0,,,,0,,SiavJu20
19,Joe Salave'a,DT,Leone,1998,2006,0,0,2,20,100,,,,0,,,,,,,0,,,,0,,SalaJo20
20,Toniu Fonoti,G,,2002,2006,0,0,2,17,40,,,,0,,,,,,,0,,,,0,,FonoTo20
21,Gabe Reid,TE,Pago Pago,2003,2006,0,0,0,0,30,,,,0,,,,,,,0,,7.0,57.0,0,19.0,ReidGa00
22,Junior Ioane,DT,,2001,2005,0,0,0,4,36,,,,0,,,,,,,0,,,,0,,IoanJu20
23,Anton Palepoi,DE,,2002,2005,0,0,0,4,35,,,,0,,,,,,,0,,,,0,,PaleAn20
24,Lauvale Sape,DT,,2003,2005,0,0,0,1,10,,,,0,,,,,,,0,,,,0,,SapeLa20
25,Maa Tanuvasa,DE,Nu'uli,1995,2001,0,0,3,28,82,,,,0,,,,,,,0,,,,0,,TanuMa20
26,Mao Tosi,DT,Manu'a,2000,2001,0,0,1,4,26,,,,0,,,,,,,0,,,,0,,TosiMa20
27,Lonnie Palelei,G,Nu'uuli,1993,1999,0,0,2,12,44,,,,0,,,,,,,0,,,,0,,PaleLo20
28,Spencer Reid,LB,Pago Pago,1998,1999,0,0,0,2,28,,,,0,,,,,,,0,,,,0,,ReidSp20
29,Don Sasa,DT,,1995,1998,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,SasaDo20
30,Pio Sagapolutele,DT,,1991,1997,0,0,2,19,92,,,,0,,,,,,,0,,,,0,,SagaPi20
31,Al Noga,DE,,1988,1994,0,0,4,29,93,,,,0,,,,,,,0,,,,0,,NogaAl20
32,Mosi Tatupu,RB,Pago Pago,1978,1991,0,1,1,20,199,2.0,2.0,30.0,1,15.0,0.0,0.0,0.0,612.0,2415.0,18,55.0,96.0,843.0,2,41.0,TatuMo00
33,Niko Noga,MLB,,1984,1991,0,0,4,26,122,,,,0,,,,,,,0,,,,0,,NogaNi20
34,Navy Tuiasosopo,C,,1987,1987,0,0,0,1,3,,,,0,,,,,,,0,,,,0,,TuiaNa20
35,Pete Noga,LB,,1987,1987,0,0,0,2,3,,,,0,,,,,,,0,,,,0,,NogaPe20
36,George Achica,DT,,1985,1985,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,AchiGe20
37,Jack Thompson,QB,Tutuwila,1979,1984,0,0,1,13,51,449.0,845.0,5315.0,33,80.0,45.0,85.0,695.0,70.0,262.0,6,21.0,,,0,,ThomJa00
38,Wilson Faumuina,DT,,1977,1981,0,0,1,17,74,,,,0,,,,,,,0,,,,0,,FaumWi20
39,Frank Manumaleuga,LB,Laie,1979,1981,0,0,2,14,35,,,,0,,,,,1.0,-3.0,0,0.0,,,0,,ManuFr20
40,Mekeli Ieremia,DT,Niosafutu,1978,1978,0,0,0,1,2,,,,0,,,,,,,0,,,,0,,IereMe20
41,Tuufuli Uperesa,G,,1971,1971,0,0,0,1,2,,,,0,,,,,,,0,,,,0,,UperTu20
