Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Aaron Rodgers,QB,Chico,2005,2023,4,10,14,163,231,5001.0,7661.0,59055.0,475,93.0,105.0,531.0,3606.0,719.0,3466.0,35,35.0,3.0,-11.0,0,0.0,RodgAa00
2,Marcedes Lewis,TE,Long Beach,2006,2023,0,1,15,35,268,,,,0,,,,,,,0,,436.0,5113.0,40,63.0,LewiMa00
3,Nick Folk,K,Los Angeles,2007,2023,0,1,1,32,228,,,,0,,,,,,,0,,,,0,,FolkNi20
4,Matthew Slater,WR,Los Angeles County,2008,2023,2,10,0,0,239,,,,0,,,,,2.0,11.0,0,6.0,1.0,46.0,0,46.0,SlatMa00
5,Tyron Smith,T,Moreno Valley,2011,2023,2,8,10,89,161,,,,0,,,,,,,0,,,,0,,SmitTy00
6,Taiwan Jones,RB,San Francisco,2011,2023,0,0,0,3,139,,,,0,,,,,53.0,223.0,0,19.0,19.0,260.0,1,59.0,JoneTa00
7,Marvin Jones,WR,Los Angeles,2012,2023,0,0,8,53,151,,,,0,,,,,19.0,148.0,0,37.0,547.0,7421.0,58,73.0,JoneMa02
8,Tashaun Gipson,DB,San Bernardino,2012,2023,0,1,10,54,173,,,,0,,,,,,,0,,,,0,,GipsTa00
9,Aaron Brewer,LS,Orange,2012,2023,0,0,0,8,179,,,,0,,,,,,,0,,,,0,,BrewAa00
10,Bryan Anger,P,Camarillo,2012,2023,0,2,1,22,193,1.0,2.0,19.0,0,19.0,0.0,0.0,0.0,3.0,-5.0,0,0.0,,,0,,AngeBr00
11,Bobby Wagner,ILB,Los Angeles,2012,2023,6,9,11,121,185,,,,0,,,,,,,0,,,,0,,WagnBo00
12,Robert Woods,WR,Gardena,2013,2023,0,0,9,58,156,,,,0,,,,,75.0,514.0,5,56.0,663.0,8030.0,38,94.0,WoodRo02
13,David Bakhtiari,T,San Mateo,2013,2023,2,3,9,85,131,,,,0,,,,,,,0,,0.0,0.0,0,0.0,BakhDa00
14,Matt Barkley,QB,Newport Beach,2013,2023,0,0,1,5,20,212.0,363.0,2699.0,11,56.0,22.0,13.0,92.0,26.0,-15.0,0,5.0,1.0,2.0,1,2.0,BarkMa00
15,Zach Ertz,TE,Orange,2013,2023,0,3,7,50,151,,,,0,,,,,1.0,4.0,0,4.0,709.0,7434.0,46,60.0,ErtzZa00
16,Davante Adams,WR,Redwood City,2014,2023,3,6,9,84,150,0.0,0.0,0.0,0,0.0,0.0,1.0,10.0,3.0,-1.0,0,4.0,872.0,10781.0,95,66.0,AdamDa01
17,Joel Bitonio,G,San Pedro,2014,2023,2,6,8,71,144,,,,0,,,,,,,0,,,,0,,BitoJo00
18,Brandin Cooks,WR,Stockton,2014,2023,0,0,9,71,148,,,,0,,,,,55.0,344.0,2,28.0,684.0,9273.0,57,98.0,CookBr00
19,Derek Carr,QB,Fresno,2014,2023,0,4,9,90,159,3576.0,5506.0,39100.0,242,87.0,107.0,295.0,1842.0,310.0,885.0,6,41.0,1.0,-9.0,0,0.0,CarrDe02
20,Charles Leno Jr.,LT,Oakland,2014,2023,0,1,8,53,149,,,,0,,,,,,,0,,,,0,,LenoCh00
21,Jason Verrett,CB,Fairfield,2014,2023,0,1,2,17,41,,,,0,,,,,,,0,,,,0,,VerrJa00
22,Damien Williams,RB,San Diego,2014,2023,0,0,0,18,101,,,,0,,,,,347.0,1440.0,14,91.0,156.0,1221.0,11,58.0,WillDa05
23,Keith Smith,FB,Pomona,2014,2023,0,0,1,8,142,,,,0,,,,,22.0,53.0,0,8.0,38.0,238.0,0,28.0,SmitKe03
24,Daniel Sorensen,S,Riverside,2014,2023,0,0,1,20,130,,,,0,,,,,,,0,,,,0,,SoreDa01
25,Marcus Peters,CB,Oakland,2015,2023,2,3,6,64,116,,,,0,,,,,,,0,,,,0,,PeteMa00
26,Shaq Thompson,OLB,Sacramento,2015,2023,0,0,8,41,119,,,,0,,,,,,,0,,0.0,0.0,0,0.0,ThomSh01
27,Geoff Swaim,TE,Chico,2015,2023,0,0,3,6,100,,,,0,,,,,,,0,,110.0,846.0,6,43.0,SwaiGe00
28,Eric Kendricks,ILB,Clovis,2015,2023,1,1,8,60,132,,,,0,,,,,,,0,,,,0,,KendEr00
29,Jason Myers,K,Chula Vista,2015,2023,0,2,1,24,137,,,,0,,,,,,,0,,,,0,,MyerJa00
30,Hroniss Grasu,C,Northridge,2015,2023,0,0,1,8,33,,,,0,,,,,,,0,,0.0,2.0,0,,GrasHr00
31,Arik Armstead,DE,Sacramento,2015,2023,0,0,5,41,116,,,,0,,,,,,,0,,,,0,,ArmsAr01
32,Frank Clark,DE,Bakersfield,2015,2023,0,3,6,49,128,,,,0,,,,,,,0,,,,0,,ClarFr01
33,Joe Cardona,LS,El Cajon,2015,2023,0,0,0,7,144,,,,0,,,,,,,0,,,,0,,CardJo00
34,Leonard Williams,DT,Bakersfield,2015,2023,0,1,7,56,142,,,,0,,,,,,,0,,,,0,,WillLe02
35,Dwayne Washington,RB,Lakewood,2016,2023,0,0,0,4,96,,,,0,,,,,168.0,592.0,1,31.0,16.0,101.0,0,11.0,WashDw00
36,Jared Goff,QB,Novato,2016,2023,0,3,6,83,117,2657.0,4107.0,30429.0,185,94.0,82.0,217.0,1581.0,241.0,495.0,12,26.0,1.0,5.0,0,5.0,GoffJa00
37,Erik Harris,DB,Los Angeles,2016,2023,0,0,3,15,94,,,,0,,,,,1.0,4.0,0,4.0,,,0,,HarrEr00
38,Austin Hooper,TE,San Mateo,2016,2023,0,2,3,28,122,,,,0,,,,,,,0,,364.0,3702.0,25,88.0,HoopAu00
39,Kevon Seymour,CB,Pasadena,2016,2023,0,0,0,6,64,,,,0,,,,,,,0,,,,0,,SeymKe00
40,Kyle Peko,DT,La Habra,2016,2023,0,0,0,9,42,,,,0,,,,,,,0,,,,0,,PekoKy00
41,Michael Thomas,WR,Los Angeles,2016,2023,2,3,4,60,83,,,,0,,,,,2.0,-8.0,0,1.0,565.0,6569.0,36,72.0,ThomMi05
42,Hassan Ridgeway,DT,Richmond,2016,2023,0,0,0,13,80,,,,0,,,,,,,0,,,,0,,RidgHa00
43,Cory Littleton,LB,Spring Valley,2016,2023,0,1,4,38,120,,,,0,,,,,,,0,,,,0,,LittCo01
44,Stephen Anderson,TE,San Jose,2016,2023,0,0,0,7,81,,,,0,,,,,,,0,,63.0,715.0,3,42.0,AndeSt01
45,Kenny Clark,DT,San Bernadino,2016,2023,0,3,6,54,123,,,,0,,,,,,,0,,,,0,,ClarKe01
46,Jamal Agnew,WR,San Diego,2017,2023,1,1,0,19,82,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,33.0,263.0,1,66.0,77.0,746.0,5,65.0,AgneJa00
47,Michael Davis,,Glendale,2017,2023,0,0,5,23,107,,,,0,,,,,,,0,,,,0,,DaviMi03
48,Darrell Daniels,TE,Pittsburgh,2017,2023,0,0,0,1,64,,,,0,,,,,,,0,,13.0,122.0,1,31.0,DaniDa02
49,Chidobe Awuzie,CB,San Jose,2017,2023,0,0,4,25,86,,,,0,,,,,,,0,,,,0,,AwuzCh00
50,JuJu Smith-Schuster,WR,Long Beach,2017,2023,0,1,4,40,90,,,,0,,,,,4.0,22.0,1,13.0,430.0,5048.0,30,97.0,SmitJu00
51,Rigoberto Sanchez,P,Chico,2017,2023,0,0,0,12,96,,,,0,,,,,,,0,,,,0,,SancRi00
52,Roy Robertson-Harris,DE,Oakland,2017,2023,0,0,3,28,100,,,,0,,,,,,,0,,,,0,,RobeRo00
53,David Quessenberry,T,La Jolla,2017,2023,0,0,2,18,67,,,,0,,,,,,,0,,1.0,1.0,1,1.0,QuesDa00
54,Josh Tupou,DT,Long Beach,2017,2023,0,0,0,13,65,,,,0,,,,,,,0,,,,0,,TupoJo00
55,Jamaal Williams,RB,Rialto,2017,2023,0,0,3,33,103,,,,0,,,,,1021.0,3958.0,31,58.0,178.0,1253.0,8,54.0,WillJa06
56,Marcus Williams,S,Pomona,2017,2023,0,0,6,30,97,,,,0,,,,,,,0,,,,0,,WillMa06
57,Ahkello Witherspoon,CB,Oak Park,2017,2023,0,0,2,20,77,,,,0,,,,,,,0,,,,0,,WithAh00
58,Sidney Jones,CB,Diamond Bar,2017,2023,0,0,2,11,60,,,,0,,,,,,,0,,,,0,,JoneSi00
59,Damontae Kazee,CB,San Bernadino,2017,2023,0,0,3,22,92,,,,0,,,,,,,0,,,,0,,KazeDa00
60,Jeremy McNichols,RB,Long Beach,2017,2023,0,0,0,5,37,,,,0,,,,,90.0,364.0,1,20.0,40.0,295.0,1,27.0,McNiJe00
61,Johnny Mundt,TE,Modesto,2017,2023,0,0,1,2,81,,,,0,,,,,,,0,,46.0,405.0,2,34.0,MundJo00
62,Joe Mixon,RB,Oakley,2017,2023,0,1,4,50,97,,,,0,,,,,1571.0,6412.0,49,51.0,283.0,2139.0,13,67.0,MixoJo00
63,Uchenna Nwosu,OLB,Carson,2018,2023,0,0,2,23,85,,,,0,,,,,,,0,,,,0,,NwosUc00
64,Kolton Miller,T,Redwood City,2018,2023,0,0,5,37,92,,,,0,,,,,,,0,,,,0,,MillKo00
65,Rashaad Penny,RB,Norwalk,2018,2023,0,0,0,13,45,,,,0,,,,,348.0,1951.0,13,62.0,28.0,227.0,1,30.0,PennRa00
66,Jason Sanders,K,Orange,2018,2023,1,0,1,19,99,,,,0,,,,,,,0,,1.0,1.0,1,1.0,SandJa00
67,Equanimeous St. Brown,WR,Placentia,2018,2023,0,0,2,8,60,,,,0,,,,,11.0,80.0,0,41.0,63.0,928.0,2,56.0,St.BEq00
68,D.J. Reed,CB,Bakersfield,2018,2023,0,0,3,20,87,,,,0,,,,,,,0,,,,0,,ReedD.00
69,Corey Bojorquez,P,Bellflower,2018,2023,0,0,1,12,90,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,,,0,,BojoCo00
70,Matt Dickerson,DE,San Francisco,2018,2023,0,0,0,2,36,,,,0,,,,,,,0,,,,0,,DickMa00
71,Josh Allen,QB,Firebaugh,2018,2023,0,3,5,83,94,1989.0,3145.0,22703.0,167,98.0,78.0,175.0,1087.0,657.0,3611.0,53,45.0,1.0,12.0,1,12.0,AlleJo02
72,Jalen Davis,CB,La Mesa,2018,2023,0,0,0,3,55,,,,0,,,,,,,0,,,,0,,DaviJa06
73,Sam Darnold,QB,Capistrano Beach,2018,2023,0,0,4,25,66,1082.0,1811.0,12064.0,63,92.0,56.0,149.0,972.0,209.0,760.0,13,46.0,,,0,,DarnSa00
74,Dane Cruikshank,CB,Los Angeles,2018,2023,0,0,0,4,54,,,,0,,,,,,,0,,1.0,66.0,1,66.0,CruiDa00
75,River Cracraft,WR,Rancho Santa Margarita,2018,2023,0,0,0,2,45,,,,0,,,,,,,0,,25.0,308.0,3,44.0,CracRi00
76,Jason Cabinda,FB,Buena Park,2018,2023,0,0,0,4,56,,,,0,,,,,6.0,27.0,0,21.0,7.0,29.0,1,6.0,CabiJa00
77,Alex Cappa,T,Dublin,2018,2023,0,0,4,36,85,,,,0,,,,,,,0,,,,0,,CappAl00
78,DeAndre Carter,WR,San Jose,2018,2023,0,0,0,11,94,,,,0,,,,,16.0,99.0,0,27.0,108.0,1259.0,6,50.0,CartDe02
79,Rasheem Green,DT,Los Angeles,2018,2023,0,0,2,17,86,,,,0,,,,,,,0,,,,0,,GreeRa01
80,Taron Johnson,CB,Sacramento,2018,2023,0,0,4,30,88,,,,0,,,,,,,0,,,,0,,JohnTa01
81,Ross Dwelley,TE,Sonora,2018,2023,0,0,0,4,84,,,,0,,,,,,,0,,44.0,518.0,5,56.0,DwelRo00
82,Royce Freeman,RB,Imperial,2018,2023,0,0,0,13,79,,,,0,,,,,471.0,1792.0,10,26.0,86.0,532.0,1,28.0,FreeRo00
83,John Franklin-Myers,DE,Los Angeles,2018,2023,0,0,2,25,81,,,,0,,,,,,,0,,,,0,,FranJo02
84,Vita Vea,DT,Milpitas,2018,2023,0,1,3,36,79,,,,0,,,,,,,0,,1.0,1.0,1,1.0,VeaxVi00
85,Fred Warner,OLB,San Marcos,2018,2023,3,3,5,70,98,,,,0,,,,,,,0,,,,0,,WarnFr00
86,Daniel Brunskill,T,San Diego,2019,2023,0,0,2,24,75,,,,0,,,,,,,0,,,,0,,BrunDa00
87,Nick Bawden,RB,Los Gatos,2019,2023,0,0,0,0,35,,,,0,,,,,2.0,4.0,1,3.0,8.0,58.0,0,20.0,BawdNi00
88,Matthew Orzech,TE,San Diego,2019,2023,0,0,0,4,67,,,,0,,,,,,,0,,,,0,,OrzeMa00
89,Alexander Mattison,RB,San Bernadino,2019,2023,0,0,0,18,75,,,,0,,,,,584.0,2370.0,11,48.0,100.0,718.0,6,47.0,MattAl01
90,Josh Oliver,TE,Templeton,2019,2023,0,0,1,4,52,,,,0,,,,,,,0,,48.0,443.0,4,40.0,OlivJo00
91,Bobby Okereke,OLB,San Mateo,2019,2023,0,0,4,29,81,,,,0,,,,,,,0,,,,0,,OkerBo00
92,Keisean Nixon,CB,Los Angeles,2019,2023,2,0,0,22,74,,,,0,,,,,1.0,11.0,0,11.0,,,0,,NixoKe00
93,David Long,CB,Los Angeles,2019,2023,0,0,0,6,66,,,,0,,,,,,,0,,0.0,0.0,0,0.0,LongDa02
94,Nik Needham,DB,Long Beach,2019,2023,0,0,1,13,61,,,,0,,,,,,,0,,,,0,,NeedNi00
95,Patrick Mekari,G,Westlake Village,2019,2023,0,0,1,18,71,,,,0,,,,,,,0,,,,0,,MekaPa00
96,Jordan Kunaszyk,LB,Sacramento,2019,2023,0,0,0,5,46,,,,0,,,,,,,0,,,,0,,KunaJo00
97,Alex Singleton,OLB,Thousand Oaks,2019,2023,0,0,2,22,76,,,,0,,,,,,,0,,,,0,,SingAl00
98,Coleman Shelton,C,Pasadena,2019,2023,0,0,1,15,73,,,,0,,,,,,,0,,,,0,,ShelCo00
99,Anthony Pittman,OLB,Beverly Hills,2019,2023,0,0,0,3,52,,,,0,,,,,,,0,,,,0,,PittAn01
100,Jalen Thompson,FS,Paramount,2019,2023,0,0,4,19,69,,,,0,,,,,,,0,,,,0,,ThomJa04
101,Matt Pryor,T,Long Beach,2019,2023,0,0,1,13,75,,,,0,,,,,,,0,,,,0,,PryoMa00
102,Sione Takitaki,OLB,Fontana,2019,2023,0,0,1,19,72,,,,0,,,,,,,0,,,,0,,TakiSi00
103,Jahlani Tavai,OLB,Inglewood,2019,2023,0,0,2,25,78,,,,0,,,,,,,0,,,,0,,TavaJa00
104,Keelan Doss,WR,Alameda,2019,2023,0,0,0,1,14,,,,0,,,,,,,0,,17.0,166.0,0,31.0,DossKe00
105,Carl Granderson,DE,Sacramento,2019,2023,0,0,0,18,71,,,,0,,,,,,,0,,,,0,,GranCa01
106,Sean Harlow,G,San Clemente,2019,2023,0,0,0,5,41,,,,0,,,,,,,0,,,,0,,HarlSe00
107,Greg Gaines,DL,La Habra,2019,2023,0,0,2,15,76,,,,0,,,,,,,0,,,,0,,GainGr00
108,Marcus Epps,S,Burbank,2019,2023,0,0,1,15,79,,,,0,,,,,,,0,,,,0,,EppsMa00
109,Trenton Irwin,WR,Glendale,2019,2023,0,0,0,5,34,,,,0,,,,,1.0,11.0,0,11.0,43.0,586.0,5,45.0,IrwiTr00
110,Khalil Dorsey,DB,Ontario,2020,2023,0,0,0,1,19,,,,0,,,,,,,0,,1.0,31.0,0,31.0,DorsKh00
111,Jaylon Johnson,CB,Fresno,2020,2023,0,1,3,22,53,,,,0,,,,,,,0,,,,0,,JohnJa13
112,Collin Johnson,WR,Los Angeles,2020,2023,0,0,0,3,29,,,,0,,,,,,,0,,30.0,388.0,2,46.0,JohnCo01
113,Troy Dye,OLB,Norco,2020,2023,0,0,1,7,60,,,,0,,,,,,,0,,,,0,,DyexTr00
114,Tyler Hall,DB,Hawthorne,2020,2023,0,0,0,2,31,,,,0,,,,,,,0,,,,0,,HallTy01
115,Nick Harris,OL,Inglewood,2020,2023,0,0,0,4,40,,,,0,,,,,,,0,,,,0,,HarrNi01
116,Lamar Jackson,DB,Elk Grove,2020,2023,0,0,0,2,23,,,,0,,,,,,,0,,,,0,,JackLa02
117,Austin Jackson,OL,Sacramemto,2020,2023,0,0,2,21,48,,,,0,,,,,,,0,,,,0,,JackAu00
118,Keith Ismael,OL,San Francisco,2020,2023,0,0,0,3,31,,,,0,,,,,,,0,,,,0,,IsmaKe00
119,Jaylinn Hawkins,S,Buena Park,2020,2023,0,0,1,10,58,,,,0,,,,,,,0,,,,0,,HawkJa00
120,Leki Fotu,DL,Oakland,2020,2023,0,0,1,10,56,,,,0,,,,,,,0,,,,0,,FotuLe00
121,Darnay Holmes,CB,Pasadena,2020,2023,0,0,0,7,54,,,,0,,,,,,,0,,,,0,,HolmDa01
122,Joshua Kelley,RB,Inglewood,2020,2023,0,0,0,9,54,,,,0,,,,,320.0,1148.0,6,49.0,50.0,319.0,0,35.0,KellJo01
123,Mykal Walker,OLB,Fresno,2020,2023,0,0,2,13,57,,,,0,,,,,,,0,,,,0,,WalkMy00
124,Jace Whittaker,CB,Oceanside,2020,2023,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,WhitJa05
125,Josiah Deguara,TE,Santa Rosa,2020,2023,0,0,0,4,50,,,,0,,,,,,,0,,47.0,436.0,2,62.0,DeguJo00
126,Ashtyn Davis,S,Santa Cruz,2020,2023,0,0,1,9,54,,,,0,,,,,3.0,5.0,0,4.0,,,0,,DaviAs00
127,Kamren Curl,S,San Diego,2020,2023,0,0,3,18,60,,,,0,,,,,,,0,,,,0,,CurlKa00
128,Myles Bryant,DB,Pasadena,2020,2023,0,0,0,10,55,,,,0,,,,,,,0,,,,0,,BryaMy01
129,Terrell Burgess,S,Oceanside,2020,2023,0,0,0,3,43,,,,0,,,,,,,0,,,,0,,BurgTe00
130,Krys Barnes,OLB,Bakersfield,2020,2023,0,0,2,14,51,,,,0,,,,,,,0,,,,0,,BarnKr00
131,Colby Parkinson,TE,San Ramon,2020,2023,0,0,0,5,54,,,,0,,,,,,,0,,57.0,618.0,4,39.0,ParkCo02
132,Casey Toohill,OLB,La Jolla,2020,2023,0,0,0,9,57,,,,0,,,,,,,0,,,,0,,ToohCa00
133,Michael Pittman Jr.,WR,Woodland Hills,2020,2023,0,0,3,32,62,,,,0,,,,,11.0,100.0,0,25.0,336.0,3662.0,15,75.0,PittMi01
134,Jaelan Phillips,LB,Redlands,2021,2023,0,0,1,14,42,,,,0,,,,,,,0,,,,0,,PhilJa02
135,Amon-Ra St. Brown,WR,Anaheim Hills,2021,2023,1,2,1,35,49,0.0,0.0,0.0,0,0.0,0.0,1.0,8.0,20.0,180.0,1,58.0,315.0,3588.0,21,70.0,StxxAm00
136,Adam Prentice,FB,Fresno,2021,2023,0,0,0,0,31,,,,0,,,,,9.0,26.0,0,7.0,8.0,37.0,0,10.0,PrenAd00
137,Alijah Vera-Tucker,OL,Oakland,2021,2023,0,0,1,8,28,,,,0,,,,,,,0,,,,0,,VeraAl00
138,Easop Winston,WR,San Francisco,2021,2023,0,0,0,0,4,,,,0,,,,,,,0,,1.0,5.0,0,5.0,WinsEa00
139,Nahshon Wright,CB,Hayward,2021,2023,0,0,0,2,32,,,,0,,,,,,,0,,,,0,,WrigNa00
140,Caleb Johnson,LB,San Diego,2021,2023,0,0,0,3,48,,,,0,,,,,,,0,,,,0,,JohnCa04
141,Milo Eifler,LB,Berkeley,2021,2023,0,0,0,1,15,,,,0,,,,,,,0,,,,0,,EiflMi00
142,Najee Harris,RB,Martinez,2021,2023,0,1,2,22,51,1.0,1.0,4.0,0,4.0,0.0,0.0,0.0,834.0,3269.0,22,37.0,144.0,866.0,6,32.0,HarrNa00
143,Austin Faoliu,DT,Santa Ana,2021,2023,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,FaolAu00
144,Jordan Love,QB,Bakersfield,2021,2023,0,0,0,18,27,422.0,662.0,4765.0,35,77.0,14.0,33.0,265.0,63.0,273.0,4,37.0,,,0,,LoveJo03
145,Deommodore Lenoir,DB,Los Angeles,2021,2023,0,0,1,11,47,,,,0,,,,,,,0,,,,0,,LenoDe00
146,Drew Dalman,OL,Salinas,2021,2023,0,0,1,13,48,,,,0,,,,,,,0,,,,0,,DalmDr00
147,Jake Curhan,T,Larkspur,2021,2023,0,0,0,5,29,,,,0,,,,,,,0,,,,0,,CurhJa00
148,Camryn Bynum,S,Corona,2021,2023,0,0,1,14,48,,,,0,,,,,,,0,,,,0,,BynuCa00
149,Andre Chachere,CB,Fresno,2021,2023,0,0,0,3,40,,,,0,,,,,,,0,,,,0,,ChacAn00
150,Michael Bandy,WR,La Mirada,2021,2023,0,0,0,1,12,,,,0,,,,,,,0,,10.0,89.0,0,25.0,BandMi00
151,Aaron Banks,G,Alameda,2021,2023,0,0,1,15,40,,,,0,,,,,,,0,,,,0,,BankAa00
152,DaRon Bland,DB,Modesto,2022,2023,1,1,0,17,34,,,,0,,,,,,,0,,,,0,,BlanDa00
153,Andre Baccellia,WR,Thousand Oaks,2022,2023,0,0,0,0,13,,,,0,,,,,,,0,,7.0,45.0,0,11.0,BaccAn00
154,Elijah Hicks,S,Long Beach,2022,2023,0,0,0,4,32,,,,0,,,,,,,0,,,,0,,HickEl00
155,Stone Smartt,TE,Sacramento,2022,2023,0,0,0,1,23,,,,0,,,,,,,0,,15.0,172.0,1,51.0,SmarSt00
156,Zachary Thomas,OL,San Diego,2022,2023,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,ThomZa04
157,Trenton Thompson,DB,Palm Springs,2022,2023,0,0,0,1,7,,,,0,,,,,,,0,,,,0,,ThomTr01
158,Brenden Schooler,DB,Dana Point,2022,2023,0,0,0,3,33,,,,0,,,,,,,0,,,,0,,SchoBr00
159,Ryan Stonehouse,P,La Verne,2022,2023,0,0,1,9,29,,,,0,,,,,1.0,-11.0,0,0.0,,,0,,StonRy00
160,Cameron Thomas,DE,San Diego,2022,2023,0,0,0,3,32,,,,0,,,,,,,0,,,,0,,ThomCa03
161,Kayvon Thibodeaux,DE,,2022,2023,0,0,1,16,31,,,,0,,,,,,,0,,,,0,,ThibKa00
162,Ryan Wright,P,San Ramon,2022,2023,0,0,1,5,34,1.0,2.0,13.0,0,13.0,0.0,0.0,0.0,,,0,,,,0,,WrigRy00
163,Chris Olave,WR,San Ysidro,2022,2023,0,0,1,18,31,,,,0,,,,,,,0,,159.0,2165.0,9,53.0,OlavCh00
164,Trent McDuffie,DB,,2022,2023,1,0,1,18,27,,,,0,,,,,,,0,,,,0,,McDuTr00
