Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Calais Campbell,DE,Denver,2008,2023,1,6,14,109,244,,,,0,,,,,,,0,,,,0,,CampCa99
2,Mike Purcell,DT,Highlands Ranch,2014,2023,0,0,1,24,90,,,,0,,,,,,,0,,,,0,,PurcMi00
3,Jordan Hicks,OLB,Colorado Springs,2015,2023,0,0,7,50,122,,,,0,,,,,,,0,,,,0,,HickJo00
4,Morgan Fox,DL,Fountain,2016,2023,0,0,1,20,103,,,,0,,,,,,,0,,,,0,,FoxxMo00
5,Dan Skipper,T,Arvada,2017,2023,0,0,0,5,40,,,,0,,,,,,,0,,1.0,4.0,0,4.0,SkipDa00
6,Christian McCaffrey,RB,Castle Rock,2017,2023,2,3,4,72,91,2.0,4.0,84.0,2,50.0,0.0,0.0,0.0,1297.0,6185.0,52,84.0,509.0,4320.0,29,49.0,McCaCh01
7,Jacob Martin,OLB,Aurora,2018,2023,0,0,1,12,91,,,,0,,,,,,,0,,,,0,,MartJa02
8,Daniel Carlson,K,Colorado Springs,2018,2023,1,0,1,19,95,,,,0,,,,,,,0,,,,0,,CarlDa00
9,JK Scott,P,Denver,2018,2023,0,0,1,9,83,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,,,0,,,,0,,ScotJK00
10,Trent Sieg,LS,Greeley,2018,2023,0,0,0,5,97,,,,0,,,,,,,0,,,,0,,SiegTr00
11,Andrew Wingard,S,Arvada,2019,2023,0,0,1,12,78,,,,0,,,,,1.0,4.0,0,4.0,,,0,,WingAn01
12,Christian Elliss,LB,Highlands Ranch,2021,2023,0,0,0,1,23,,,,0,,,,,,,0,,,,0,,ElliCh00
13,Jack Stoll,TE,Lone Tree,2021,2023,0,0,1,1,50,,,,0,,,,,,,0,,20.0,183.0,0,26.0,StolJa00
14,Trey McBride,TE,Greeley,2022,2023,0,0,1,10,33,,,,0,,,,,,,0,,110.0,1090.0,4,38.0,McBrTr01
15,Anders Carlson,K,Colorado Springs,2023,2023,0,0,0,1,17,,,,0,,,,,,,0,,,,0,,CarlAn00
16,Ryan Jensen,T,Rangely,2014,2022,0,1,5,43,100,,,,0,,,,,,,0,,,,0,,JensRy00
17,Charles Washington,DB,,2017,2022,0,0,0,4,69,,,,0,,,,,,,0,,,,0,,WashCh01
18,Tanner Gentry,WR,Aurora,2017,2022,0,0,0,1,7,,,,0,,,,,,,0,,3.0,35.0,0,15.0,GentTa00
19,Phillip Lindsay,RB,Denver,2018,2022,0,1,2,19,59,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,637.0,2848.0,18,65.0,87.0,529.0,2,36.0,LindPh00
20,Preston Williams,WR,Lovejoy,2019,2022,0,0,2,6,25,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,7.0,0,7.0,56.0,787.0,7,47.0,WillPr01
21,Nate Solder,OL,Denver,2011,2021,0,0,9,64,146,,,,0,,,,,,,0,,0.0,0.0,0,0.0,SoldNa00
22,Eddie Yarbrough,DE,Aurora,2017,2021,0,0,0,5,39,,,,0,,,,,,,0,,,,0,,YarbEd01
23,Kalen Ballage,RB,Peyton,2018,2021,0,0,1,6,52,,,,0,,,,,213.0,665.0,7,75.0,54.0,293.0,0,31.0,BallKa00
24,Ben Garland,OL,Grand Junction,2014,2020,0,0,1,12,68,,,,0,,,,,,,0,,,,0,,GarlBe00
25,Jaeden Graham,TE,Aurora,2019,2020,0,0,0,1,32,,,,0,,,,,,,0,,12.0,174.0,1,53.0,GrahJa01
26,Deyon Sizer,DT,Aurora,2019,2019,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,SizeDe00
27,John Denney,DE,Denver,2005,2018,0,2,0,26,224,,,,0,,,,,,,0,,,,0,,DennJo20
28,Ryan Hewitt,FB,Denver,2014,2018,0,0,3,2,72,,,,0,,,,,1.0,0.0,0,0.0,23.0,221.0,1,22.0,HewiRy00
29,Jeremiah Sirles,T,Lakewood,2014,2018,0,0,1,11,42,,,,0,,,,,,,0,,,,0,,SirlJe00
30,Kapri Bibbs,RB,Colorado Springs,2015,2018,0,0,0,3,28,,,,0,,,,,71.0,311.0,3,24.0,32.0,318.0,3,69.0,BibbKa00
31,Zack Golditch,G,Denver,2018,2018,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,GoldZa00
32,Sam Jones,G,Highlands Ranch,2018,2018,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,JoneSa00
33,Justin Drescher,C,Colorado Springs,2010,2017,0,0,0,5,110,,,,0,,,,,,,0,,,,0,,DresJu20
34,Mitch Unrein,DT,Eaton,2011,2017,0,0,2,20,95,,,,0,,,,,,,0,,1.0,1.0,1,1.0,UnreMi00
35,Vincent Jackson,WR,Colorado Springs,2005,2016,0,3,8,77,155,,,,0,,,,,15.0,161.0,0,41.0,540.0,9080.0,57,95.0,JackVi00
36,Alex Smith,TE,Denver,2005,2015,0,0,3,11,124,,,,0,,,,,,,0,,163.0,1473.0,13,34.0,SmitAl02
