Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,John Jenkins,DT,Meriden,2013,2023,0,0,1,22,133,,,,0,,,,,,,0,,,,0,,JenkJo00
2,Tyler Matakevich,ILB,Stratford,2016,2023,0,0,0,9,129,,,,0,,,,,,,0,,,,0,,MataTy00
3,Tim Boyle,QB,Hartford,2019,2023,0,0,0,3,20,114.0,183.0,934.0,4,42.0,12.0,10.0,75.0,26.0,0.0,0,14.0,,,0,,BoylTi00
4,Zach Allen,DL,New Canaan,2019,2023,0,0,3,21,62,,,,0,,,,,,,0,,,,0,,AlleZa01
5,Jack Driscoll,OL,Madison,2020,2023,0,0,0,11,54,,,,0,,,,,,,0,,,,0,,DrisJa00
6,Jason Pinnock,CB,Windsor,2021,2023,0,0,0,8,42,,,,0,,,,,,,0,,,,0,,PinnJa01
7,Ben Mason,,Newtown,2023,2023,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,MasoBe00
8,Julian Stanford,OLB,Bloomfield,2012,2022,0,0,1,12,122,,,,0,,,,,,,0,,,,0,,StanJu00
9,Byron Jones,CB,New Britain,2015,2021,0,1,7,38,109,,,,0,,,,,,,0,,,,0,,JoneBy00
10,Tarik Black,,Hamden,2021,2021,0,0,0,0,1,,,,0,,,,,,,0,,1.0,10.0,0,10.0,BlacTa00
11,Jordan Reed,TE,New London,2013,2020,0,1,3,25,75,,,,0,,,,,1.0,18.0,0,18.0,355.0,3602.0,28,38.0,ReedJo02
12,Seth Devalve,TE,Manchester,2016,2020,0,0,0,6,57,,,,0,,,,,,,0,,60.0,736.0,4,49.0,DevaSe00
13,Tuzar Skipper,LB,Norwich,2019,2020,0,0,0,2,10,,,,0,,,,,,,0,,,,0,,SkipTu00
14,Isaiah Wright,WR,West Hartford,2020,2020,0,0,0,2,14,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,3.0,16.0,0,9.0,27.0,197.0,0,22.0,WrigIs01
15,Jerome Cunningham,TE,Waterbury,2015,2019,0,0,0,1,14,,,,0,,,,,,,0,,8.0,59.0,0,16.0,CunnJe00
16,Marcus Cooper,CB,Bloomfield,2013,2018,0,0,1,14,75,,,,0,,,,,,,0,,,,0,,CoopMa00
17,Ryan Delaire,DE,Hartford,2015,2018,0,0,0,2,17,,,,0,,,,,,,0,,,,0,,DelaRy00
18,Dwight Freeney,DE,Hartford,2002,2017,3,7,11,81,218,,,,0,,,,,,,0,,,,0,,FreeDw00
19,Chris Baker,DT,Windsor,2009,2017,0,0,4,24,93,,,,0,,,,,,,0,,,,0,,BakeCh99
20,Will Tye,TE,Middletown,2015,2017,0,0,2,7,32,,,,0,,,,,,,0,,94.0,897.0,4,45.0,TyexWi00
21,Dan Orlovsky,QB,Bridgeport,2005,2015,0,0,1,7,26,298.0,512.0,3132.0,15,96.0,13.0,29.0,182.0,13.0,34.0,0,10.0,,,0,,OrloDa00
22,Terrance Knighton,DT,Hartford,2009,2015,0,0,6,37,108,,,,0,,,,,,,0,,,,0,,KnigTe99
23,Marcus Easley,WR,Stratford,2012,2015,0,0,0,1,42,,,,0,,,,,,,0,,3.0,71.0,1,58.0,EaslMa00
24,Tyler Murphy,WR,Wethersfield,2015,2015,0,0,0,0,2,,,,0,,,,,,,0,,1.0,16.0,0,16.0,MurpTy00
25,Matt Shaughnessy,DE,Norwich,2009,2014,0,0,3,22,75,,,,0,,,,,,,0,,,,0,,ShauMa99
26,Silas Redd,RB,Norwalk,2014,2014,0,0,0,1,15,,,,0,,,,,16.0,75.0,1,14.0,8.0,107.0,0,37.0,ReddSi00
27,Khairi Fortt,OLB,Stamford,2014,2014,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,FortKh00
28,Rob Jackson,DE,New Haven,2008,2013,0,0,1,9,54,,,,0,,,,,,,0,,,,0,,JackRo99
29,Donald Thomas,G,West Haven,2008,2013,0,0,1,16,45,,,,0,,,,,,,0,,,,0,,ThomDo26
30,John Moffitt,G,Guilford,2011,2013,0,0,1,6,19,,,,0,,,,,,,0,,,,0,,MoffJo00
31,Brian Sanford,DL,Hartford,2011,2013,0,0,0,1,12,,,,0,,,,,,,0,,,,0,,SanfBr00
32,James Nixon,CB,New Haven,2013,2013,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,NixoJa00
33,Niko Koutouvides,MLB,New Britain,2004,2012,0,0,0,8,125,,,,0,,,,,,,0,,,,0,,KoutNi20
34,Aaron Hernandez,TE,Bristol,2010,2012,0,0,2,21,38,,,,0,,,,,9.0,97.0,0,19.0,175.0,1956.0,18,46.0,HernAa00
35,Bruce Campbell,T,Hamden,2010,2012,0,0,0,1,19,,,,0,,,,,,,0,,,,0,,CampBr20
36,Amari Spievey,DB,Middleton,2010,2012,0,0,2,11,35,,,,0,,,,,,,0,,,,0,,SpieAm99
37,Damik Scafe,DE,Hartford,2012,2012,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,ScafDa00
38,Jamey Richard,C,Weston,2008,2011,0,0,0,11,48,,,,0,,,,,,,0,,,,0,,RichJa20
39,Darryl Gamble,LB,Bainbridge,2011,2011,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,GambDa00
40,Scott Lutrus,LB,Brookfield,2011,2011,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,LutrSc00
41,John Carney,K,Hartford,1988,2010,1,2,0,40,302,,,,0,,,,,2.0,2.0,0,3.0,,,0,,carnejoh01
42,Alex Joseph,LB,Stamford,2010,2010,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,JoseAl00
43,Matt Lawrence,RB,Hartford,2009,2009,0,0,0,0,8,,,,0,,,,,4.0,0.0,0,4.0,1.0,4.0,0,4.0,LawrMa00
44,Kory Sheets,RB,Manchester,2009,2009,0,0,0,0,2,,,,0,,,,,1.0,5.0,0,5.0,,,0,,SheeKo00
