Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Yannick Ngakoue,DE,Washington,2016,2023,0,1,7,50,123,,,,0,,,,,,,0,,,,0,,NgakYa00
2,Teez Tabor,CB,Washington,2017,2023,0,0,0,5,39,,,,0,,,,,,,0,,,,0,,TaboTe00
3,Javon Kinlaw,DL,Washington,2020,2023,0,0,1,15,41,,,,0,,,,,,,0,,,,0,,KinlJa00
4,Josh Paschal,DE,Washington,2022,2023,0,0,0,4,22,,,,0,,,,,,,0,,,,0,,PascJo00
5,Rasheed Walker,OL,Washington,2022,2023,0,0,0,10,18,,,,0,,,,,,,0,,,,0,,WalkRa00
6,Christian Braswell,CB,Washington,2023,2023,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,BrasCh00
7,Terrell Lewis,LB,Washington,2020,2022,0,0,0,5,30,,,,0,,,,,,,0,,,,0,,LewiTe00
8,Scotty Washington,WR,Washington,2022,2022,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,WashSc00
9,Tavon Wilson,FS,Washington,2012,2021,0,0,2,19,133,,,,0,,,,,1.0,7.0,0,7.0,,,0,,WilsTa00
10,Eddie Goldman,DT,Washington,2015,2021,0,0,4,32,81,,,,0,,,,,,,0,,,,0,,GoldEd00
11,Ken Crawley,DB,Washington,2016,2021,0,0,1,9,55,,,,0,,,,,,,0,,,,0,,CrawKe02
12,Sean Davis,FS,Washington,2016,2021,0,0,3,18,70,,,,0,,,,,,,0,,,,0,,DaviSe00
13,Parnell Motley,DB,Washington,2020,2021,0,0,0,1,5,,,,0,,,,,,,0,,,,0,,MotlPa00
14,Brian Johnson,,Washington,2021,2021,0,0,0,1,7,,,,0,,,,,,,0,,,,0,,JohnBr05
15,Derwin Gray,OL,Washington,2020,2020,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,GrayDe01
16,Vernon Davis,TE,Washington,2006,2019,0,2,11,51,198,,,,0,,,,,6.0,15.0,0,11.0,583.0,7562.0,63,73.0,DaviVe00
17,Johnson Bademosi,DB,Washington,2012,2019,0,0,0,8,120,,,,0,,,,,,,0,,,,0,,BadeJo00
18,Justin Hardy,WR,Washington,2015,2019,0,0,0,8,73,,,,0,,,,,,,0,,95.0,946.0,9,27.0,HardJu00
19,Vontae Davis,DB,Washington,2009,2018,0,2,8,45,121,,,,0,,,,,,,0,,,,0,,DaviVo99
20,Andrew Luck,QB,Washington,2012,2018,0,4,5,72,86,2000.0,3290.0,23671.0,171,87.0,83.0,174.0,1124.0,332.0,1590.0,14,33.0,1.0,4.0,0,4.0,LuckAn00
21,Alonzo Russell,WR,Washington,2018,2018,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,RussAl01
22,Arrelious Benn,WR,Washington,2010,2017,0,0,2,8,61,,,,0,,,,,15.0,44.0,0,17.0,65.0,990.0,6,65.0,BennAr00
