Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Matthew Stafford,QB,Tampa,2009,2023,0,2,13,121,206,4834.0,7649.0,56047.0,357,87.0,180.0,474.0,3152.0,411.0,1315.0,15,24.0,2.0,-3.0,0,3.0,StafMa00
2,Jason Pierre-Paul,DE,Deerfield Beach,2010,2023,1,3,11,74,182,,,,0,,,,,,,0,,,,0,,PierJa99
3,Patrick Peterson,CB,Fort Lauderdale,2011,2023,3,8,12,103,201,1.0,1.0,17.0,0,17.0,0.0,0.0,0.0,7.0,34.0,0,17.0,10.0,64.0,0,19.0,PetePa00
4,Lavonte David,OLB,Miami,2012,2023,1,1,11,86,181,,,,0,,,,,,,0,,,,0,,DaviLa00
5,Geno Smith,QB,Miramar,2013,2023,0,2,3,42,77,1314.0,2077.0,14823.0,84,84.0,57.0,172.0,1255.0,263.0,1222.0,10,32.0,2.0,11.0,0,13.0,SmitGe00
6,Teddy Bridgewater,QB,Miami,2014,2023,0,1,4,49,79,1372.0,2067.0,15120.0,75,87.0,47.0,166.0,1114.0,221.0,844.0,11,19.0,,,0,,BridTe00
7,Khalil Mack,OLB,Fort Pierce,2014,2023,3,8,8,95,151,,,,0,,,,,,,0,,,,0,,MackKh00
8,Jonotthan Harrison,C,Groveland,2014,2023,0,0,3,19,86,,,,0,,,,,,,0,,,,0,,HarrJo03
9,Latavius Murray,RB,Titusville,2014,2023,0,1,3,44,151,,,,0,,,,,1560.0,6552.0,59,90.0,239.0,1620.0,2,46.0,MurrLa00
10,Willie Snead,WR,Winter Park,2015,2023,0,0,4,29,103,1.0,1.0,50.0,1,50.0,0.0,0.0,0.0,3.0,15.0,0,13.0,281.0,3445.0,16,63.0,SneaWi00
11,Trevor Siemian,QB,Windermere,2015,2023,0,0,2,16,40,707.0,1208.0,7751.0,44,76.0,32.0,85.0,542.0,84.0,251.0,2,17.0,,,0,,SiemTr00
12,Charley Hughlett,LS,Tampa,2015,2023,0,0,0,7,147,,,,0,,,,,,,0,,,,0,,HughCh01
13,Raheem Mostert,RB,New Smyrna Beach,2015,2023,0,1,2,28,90,,,,0,,,,,674.0,3513.0,32,80.0,92.0,738.0,8,76.0,MostRa00
14,Amari Cooper,WR,Miami,2015,2023,0,5,8,64,140,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,14.0,41.0,0,11.0,667.0,9486.0,60,90.0,CoopAm00
15,Phillip Dorsett,WR,Fort Lauderdale,2015,2023,0,0,0,16,94,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,14.0,84.0,0,17.0,151.0,2001.0,12,64.0,DorsPh00
16,Randy Gregory,DE,Jacksonville,2015,2023,0,0,1,15,72,,,,0,,,,,,,0,,,,0,,GregRa00
17,Jon Feliciano,G,Davie,2015,2023,0,0,2,26,113,,,,0,,,,,,,0,,,,0,,FeliJo00
18,Denzel Perryman,ILB,Coral Gables,2015,2023,0,1,6,39,108,,,,0,,,,,,,0,,,,0,,PerrDe00
19,De'Vondre Campbell,OLB,Fort Myers,2016,2023,1,0,7,49,115,,,,0,,,,,,,0,,,,0,,CampDe00
20,Jayron Kearse,SS,Fort Myers,2016,2023,0,0,3,18,119,,,,0,,,,,,,0,,,,0,,KearJa00
21,Anthony Brown,CB,Tampa,2016,2023,0,0,4,23,96,,,,0,,,,,,,0,,,,0,,BrowAn02
22,Chris Moore,WR,Orlando,2016,2023,0,0,0,13,106,,,,0,,,,,16.0,69.0,0,38.0,138.0,1710.0,8,67.0,MoorCh00
23,Derrick Henry,RB,Yulee,2016,2023,1,4,4,64,119,7.0,9.0,37.0,4,12.0,0.0,0.0,0.0,2030.0,9502.0,90,99.0,155.0,1458.0,3,75.0,HenrDe00
24,Keanu Neal,FS,Webster,2016,2023,0,1,3,25,89,,,,0,,,,,,,0,,,,0,,NealKe01
25,Jacoby Brissett,QB,West Palm Beach,2016,2023,0,0,3,34,79,981.0,1600.0,10574.0,51,80.0,23.0,130.0,817.0,230.0,915.0,15,27.0,1.0,2.0,0,2.0,BrisJa00
26,Dante Fowler,OLB,St. Petersburg,2016,2023,0,0,2,25,125,,,,0,,,,,,,0,,,,0,,FowlDa00
27,Laremy Tunsil,T,Lake City,2016,2023,0,4,6,49,108,,,,0,,,,,,,0,,,,0,,TunsLa00
28,Deon Bush,FS,Miami,2016,2023,0,0,0,8,101,,,,0,,,,,,,0,,,,0,,BushDe00
29,Artie Burns,CB,Miami,2016,2023,0,0,1,17,86,,,,0,,,,,,,0,,,,0,,BurnAr00
30,Joey Bosa,DE,Miami,2016,2023,0,4,6,51,93,,,,0,,,,,,,0,,,,0,,BosaJo00
31,Nathan Peterman,QB,Jacksonville,2017,2023,0,0,0,3,15,85.0,160.0,712.0,4,28.0,13.0,12.0,66.0,24.0,87.0,1,24.0,,,0,,PeteNa00
32,David Sharpe,T,Jacksonville,2017,2023,0,0,0,4,45,,,,0,,,,,,,0,,,,0,,SharDa02
33,DeMarcus Walker,DE,Jacksonville,2017,2023,0,0,0,17,83,,,,0,,,,,,,0,,,,0,,WalkDe03
34,Justin McCray,G,Miami,2017,2023,0,0,1,15,80,,,,0,,,,,,,0,,,,0,,McCrJu00
35,Isaiah McKenzie,WR,Miami,2017,2023,0,0,2,15,93,1.0,1.0,12.0,1,12.0,0.0,0.0,0.0,50.0,244.0,4,18.0,152.0,1427.0,11,46.0,McKeIs00
36,Dalvin Cook,RB,Miami,2017,2023,0,4,5,52,88,0.0,0.0,0.0,0,0.0,0.0,1.0,5.0,1349.0,6207.0,47,81.0,236.0,1872.0,5,64.0,CookDa01
37,Eddie Jackson,SS,Lauderdale Lakes,2017,2023,1,2,6,45,100,,,,0,,,,,,,0,,,,0,,JackEd01
38,Anthony Walker,MLB,Miami,2017,2023,0,0,4,32,85,,,,0,,,,,,,0,,,,0,,WalkAn01
39,Marcus Maye,FS,Melbourne,2017,2023,0,0,5,27,77,,,,0,,,,,,,0,,,,0,,MayeMa00
40,Fabian Moreau,CB,Fort Lauderdale,2017,2023,0,0,3,20,106,,,,0,,,,,,,0,,,,0,,MoreFa00
41,Matt Breida,RB,Brandon,2017,2023,0,0,1,23,98,,,,0,,,,,575.0,2652.0,9,83.0,120.0,935.0,6,32.0,BreiMa00
42,Trey Hendrickson,DE,Orlando,2017,2023,0,3,3,43,93,,,,0,,,,,,,0,,,,0,,HendTr00
43,Jeremiah Ledbetter,DT,Orlando,2017,2023,0,0,0,3,38,,,,0,,,,,,,0,,,,0,,LedbJe00
44,Matt Milano,OLB,Orlando,2017,2023,1,1,4,52,90,,,,0,,,,,,,0,,,,0,,MilaMa00
45,Rayshawn Jenkins,FS,St. Petersburg,2017,2023,0,0,4,28,109,,,,0,,,,,,,0,,,,0,,JenkRa00
46,Shaquill Griffin,DB,St. Petersburg,2017,2023,0,1,5,28,89,,,,0,,,,,,,0,,,,0,,GrifSh00
47,Ronnie Harrison,SS,Tallahassee,2018,2023,0,0,3,19,74,,,,0,,,,,,,0,,,,0,,HarrRo02
48,Jeff Driskel,QB,Oviedo,2018,2023,0,0,0,7,24,229.0,391.0,2394.0,16,47.0,10.0,43.0,305.0,80.0,417.0,3,27.0,2.0,10.0,0,6.0,DrisJe00
49,Marquez Valdes-Scantling,WR,St. Petersburg,2018,2023,0,0,4,26,92,,,,0,,,,,9.0,48.0,0,21.0,186.0,3155.0,16,78.0,ValdMa00
50,Jeremy Reaves,FS,Pensacola,2018,2023,1,1,0,11,47,,,,0,,,,,,,0,,,,0,,ReavJe00
51,Richie James,WR,Sarasota,2018,2023,0,0,1,13,66,,,,0,,,,,4.0,5.0,0,4.0,105.0,1372.0,7,57.0,JameRi00
52,Ray-Ray McCloud,WR,Tampa,2018,2023,0,0,0,8,77,,,,0,,,,,15.0,192.0,1,71.0,90.0,768.0,1,42.0,McClRa00
53,Bruce Hector,DT,Tampa,2018,2023,0,0,0,2,16,,,,0,,,,,,,0,,,,0,,HectBr00
54,Lamar Jackson,QB,Pompano Beach,2018,2023,2,3,4,84,86,1362.0,2112.0,15887.0,125,83.0,45.0,169.0,859.0,875.0,5258.0,29,79.0,0.0,0.0,0,0.0,JackLa00
55,Chris Board,OLB,Orlando,2018,2023,0,0,0,7,97,,,,0,,,,,,,0,,,,0,,BoarCh00
