Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Kareem Jackson,DB,Macon,2010,2023,0,0,12,52,203,,,,0,,,,,,,0,,,,0,,JackKa99
2,Justin Houston,LOLB,Statesboro,2011,2023,1,4,10,74,170,,,,0,,,,,,,0,,,,0,,HousJu00
3,Josh Harris,LS,Carrollton,2012,2023,0,1,0,8,190,,,,0,,,,,,,0,,,,0,,HarrJo02
4,Bruce Irvin,DE,Atlanta,2012,2023,0,0,6,42,140,,,,0,,,,,,,0,,,,0,,IrviBr00
5,Darius Slay,CB,Brunswick,2013,2023,1,6,9,62,163,,,,0,,,,,,,0,,,,0,,SlayDa00
6,Sam Martin,P,Peachtree City,2013,2023,0,0,1,20,172,2.0,2.0,27.0,0,24.0,0.0,0.0,0.0,3.0,3.0,0,3.0,,,0,,MartSa01
7,Chris Hubbard,G,Columbus,2014,2023,0,0,3,26,94,,,,0,,,,,,,0,,,,0,,HubbCh00
8,Jerick McKinnon,RB,Atlanta,2014,2023,0,0,1,32,116,1.0,2.0,4.0,1,4.0,0.0,0.0,0.0,660.0,2650.0,14,68.0,269.0,2048.0,20,56.0,McKiJe00
9,Trent Brown,T,Albany,2015,2023,0,1,5,39,100,,,,0,,,,,,,0,,,,0,,BrowTr02
10,Grady Jarrett,DT,Conyers,2015,2023,0,2,7,51,135,,,,0,,,,,,,0,,,,0,,JarrGr00
11,Neville Hewitt,OLB,Conyers,2015,2023,0,0,2,25,129,,,,0,,,,,,,0,,,,0,,HewiNe00
12,Preston Smith,DE,Atlanta,2015,2023,0,0,7,53,146,,,,0,,,,,,,0,,,,0,,SmitPr00
13,Steven Nelson,CB,Warner Robins,2015,2023,0,0,6,36,130,,,,0,,,,,,,0,,,,0,,NelsSt01
14,T.Y. McGill,DT,Jesup,2015,2023,0,0,0,4,57,,,,0,,,,,,,0,,,,0,,McGiT.00
15,David Andrews,C,Jones Creek,2015,2023,0,0,7,47,120,,,,0,,,,,,,0,,,,0,,AndrDa00
16,Bud Dupree,DE,Macon,2015,2023,0,0,5,43,119,,,,0,,,,,,,0,,,,0,,DuprAl00
17,C.J. Uzomah,TE,Suwanee,2015,2023,0,0,4,14,106,,,,0,,,,,,,0,,192.0,1881.0,16,55.0,UzomC.00
18,Cameron Erving,T,Moultrie,2015,2023,0,0,3,28,98,,,,0,,,,,,,0,,0.0,0.0,0,0.0,ErviCa00
19,Max Garcia,C,Norcross,2015,2023,0,0,3,26,122,,,,0,,,,,,,0,,,,0,,GarcMa00
20,Kalif Raymond,WR,Lawrenceville,2016,2023,0,0,1,20,85,,,,0,,,,,21.0,130.0,0,40.0,149.0,2050.0,6,75.0,RaymKa00
21,Kenyan Drake,RB,Powder Springs,2016,2023,0,0,2,33,104,,,,0,,,,,869.0,3866.0,33,80.0,218.0,1655.0,8,52.0,DrakKe00
22,Wil Lutz,K,Newnan,2016,2023,0,1,1,21,114,,,,0,,,,,1.0,4.0,0,4.0,,,0,,LutzWi00
23,Demarcus Robinson,WR,Fort Valley,2016,2023,0,0,2,22,130,,,,0,,,,,1.0,23.0,0,23.0,219.0,2508.0,20,89.0,RobiDe01
24,Tyreek Hill,WR,Douglas,2016,2023,5,8,6,91,124,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,106.0,766.0,7,70.0,717.0,10139.0,76,79.0,HillTy00
