Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Tyson Alualu,DT,Honolulu,2010,2023,0,0,7,45,193,,,,0,,,,,1.0,0.0,0,0.0,2.0,19.0,0,16.0,AluaTy99
2,Marcus Mariota,QB,Honolulu,2015,2023,0,0,5,54,90,1327.0,2118.0,15820.0,93,75.0,55.0,186.0,1198.0,357.0,2064.0,17,87.0,2.0,62.0,1,41.0,MariMa01
3,Kamu Grugier-Hill,OLB,Honolulu,2016,2023,0,0,3,23,115,,,,0,,,,,,,0,,1.0,4.0,0,4.0,GrugKa00
4,Isaac Seumalo,G,Honolulu,2016,2023,0,0,4,29,98,,,,0,,,,,,,0,,,,0,,SeumIs00
5,DeForest Buckner,DT,Wainanae,2016,2023,1,3,7,70,129,,,,0,,,,,,,0,,,,0,,BuckDe00
6,Ka'imi Fairbairn,K,Kailua,2017,2023,0,0,1,19,106,,,,0,,,,,,,0,,,,0,,FairKa01
7,Nate Herbig,G,Lihue,2019,2023,0,0,2,12,61,,,,0,,,,,,,0,,,,0,,HerbNa01
8,Tua Tagovailoa,QB,Ewa Beach,2020,2023,0,1,3,38,53,1096.0,1638.0,12639.0,81,84.0,37.0,90.0,622.0,136.0,381.0,6,23.0,,,0,,TagoTu00
9,Jamin Davis,LB,Honolulu,2021,2023,0,0,1,16,45,,,,0,,,,,,,0,,,,0,,DaviJa11
10,Nick Herbig,LB,,2023,2023,0,0,0,2,17,,,,0,,,,,,,0,,,,0,,HerbNi00
11,Chris Glaser,G,Honolulu,2023,2023,0,0,0,0,5,,,,0,,,,,,,0,-12.0,,,0,,GlasCh01
12,Kana'i Mauga,LB,Waianae,2023,2023,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,MaugKa00
13,Breiden Fehoko,NT,Honolulu,2020,2022,0,0,0,3,19,,,,0,,,,,,,0,,,,0,,FehoBr01
14,Bradlee Anae,DL,Laie,2020,2021,0,0,0,1,11,,,,0,,,,,,,0,,,,0,,AnaeBr00
15,Manti Te'o,ILB,Laie,2013,2020,0,0,4,20,62,,,,0,,,,,,,0,,,,0,,TeoxMa00
16,Kamalei Correa,OLB,Honolulu,2016,2020,0,0,1,11,63,,,,0,,,,,,,0,,,,0,,CorrKa00
17,Hercules Mata'afa,DE,Lahaina,2019,2020,0,0,0,2,19,,,,0,,,,,,,0,,,,0,,MataHe00
18,Mitchell Loewen,DE,Lahaina,2017,2019,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,LoewMi00
19,John Ursua,WR,Kailuna-Kona,2019,2019,0,0,0,0,3,,,,0,,,,,,,0,,1.0,11.0,0,11.0,UrsuJo00
20,Max Unger,C,Kailua-Kona,2009,2018,1,3,9,69,130,,,,0,,,,,,,0,,,,0,,UngeMa20
21,Shawn Lauvao,G,Honolulu,2010,2018,0,0,7,36,99,,,,0,,,,,,,0,,,,0,,LauvSh20
22,David Amerson,CB,Honolulu,2013,2018,0,0,4,20,74,,,,0,,,,,,,0,,,,0,,AmerDa00
23,Nick Rose,K,Oahu,2017,2018,0,0,0,0,10,,,,0,,,,,,,0,,,,0,,RoseNi00
24,Pasoni Tasini,DT,Wailuku,2018,2018,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,TasiPa00
25,Hau'oli Kikaha,OLB,Laie,2015,2017,0,0,1,5,27,,,,0,,,,,,,0,,,,0,,KikaHa00
26,Jordan Norwood,WR,Honolulu,2009,2016,0,0,1,6,42,,,,0,,,,,2.0,1.0,0,1.0,79.0,844.0,2,51.0,NorwJo00
27,Josh Mauga,LILB,Ewa Beach,2010,2015,0,0,2,18,59,,,,0,,,,,,,0,,,,0,,MaugJo00
28,John Lotulelei,OLB,Kihei,2013,2015,0,0,0,1,18,,,,0,,,,,,,0,,,,0,,LotuJo00
29,Matthew Masifilo,DT,Honolulu,2014,2015,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,MasiMa00
30,Uani Unga,MLB,Laie,2015,2015,0,0,0,2,13,,,,0,,,,,,,0,,,,0,,UngaUa00
31,Dominic Raiola,C,Honolulu,2001,2014,0,0,13,64,219,,,,0,,,,,,,0,,,,0,,RaioDo20
32,Samson Satele,C,Kailua,2007,2014,0,0,8,48,118,,,,0,,,,,1.0,0.0,0,0.0,1.0,-3.0,0,0.0,SateSa20
33,Phil Loadholt,T,Honolulu,2009,2014,0,0,6,36,89,,,,0,,,,,,,0,,,,0,,LoadPh20
34,Tony Fiammetta,RB,Kaneohe,2009,2014,0,0,2,1,51,,,,0,,,,,11.0,26.0,0,11.0,12.0,130.0,0,30.0,FiamTo00
35,Kaluka Maiava,OLB,Wailuku,2009,2014,0,0,1,13,63,,,,0,,,,,,,0,,,,0,,MaiaKa99
36,Guy Whimper,T,Honolulu,2006,2013,0,0,1,13,78,,,,0,,,,,,,0,,3.0,28.0,1,17.0,WhimGu20
37,Wayne Hunter,T,Honolulu,2004,2012,0,0,1,13,77,,,,0,,,,,,,0,,0.0,0.0,0,0.0,HuntWa20
38,Al Afalava,DB,Laie,2009,2012,0,0,1,5,29,,,,0,,,,,,,0,,,,0,,AfalAl99
39,Mana Silva,S,Hilo,2011,2012,0,0,0,0,12,,,,0,,,,,,,0,,,,0,,SilvMa00
40,Kealoha Pilares,WR,Wahiawa,2011,2012,0,0,0,1,20,,,,0,,,,,1.0,17.0,0,12.0,2.0,42.0,1,36.0,PilaKe00
41,Olin Kreutz,C,Honolulu,1998,2011,1,6,11,73,195,,,,0,,,,,,,0,,1.0,-8.0,0,0.0,KreuOl00
42,Travis LaBoy,DE,Honolulu,2004,2011,0,0,3,21,95,,,,0,,,,,,,0,,,,0,,LaBoTr20
43,Chris Kemoeatu,G,Kahuka,2006,2011,0,0,3,27,75,,,,0,,,,,,,0,,,,0,,KemoCh20
44,Ikaika Alama-Francis,DE,Kane'ohe,2007,2011,0,0,0,2,35,,,,0,,,,,,,0,,,,0,,AlamIk99
45,Vince Manuwai,G,Honolulu,2003,2010,0,0,7,49,111,,,,0,,,,,,,0,,1.0,-1.0,0,0.0,ManuVi20
46,Aaron Francisco,DB,Laie,2005,2010,0,0,1,10,75,,,,0,,,,,,,0,,,,0,,FranAa20
47,Chris Ellis,DE,,2008,2010,0,0,0,2,15,,,,0,,,,,,,0,,,,0,,ElliCh99
48,Donovan Raiola,C,Honolulu,2010,2010,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,RaioDo00
49,Jordon Dizon,LB,Kauai,2008,2009,0,0,0,2,28,,,,0,,,,,,,0,,,,0,,DizoJo99
50,Michael Bumpus,WR,Honolulu,2008,2008,0,0,0,0,4,,,,0,,,,,,,0,,5.0,48.0,1,19.0,BumpMi00
51,Kimo von Oelhoffen,DE,Kaunakakai,1994,2007,0,0,9,56,197,,,,0,,,,,,,0,,,,0,,vonOKi20
52,Chris Naeole,G,Kailua,1997,2007,0,0,9,61,154,,,,0,,,,,,,0,,,,0,,NaeoCh20
53,Chad Owens,WR,Honolulu,2005,2007,0,0,0,0,6,,,,0,,,,,,,0,,0.0,0.0,0,0.0,OwenCh00
54,Jesse Mahelona,DT,Honolulu,2006,2007,0,0,0,1,11,,,,0,,,,,,,0,,,,0,,MaheJe20
55,Itula Mili,TE,Kahuku,1998,2006,0,0,2,15,114,,,,0,,,,,,,0,,164.0,1743.0,13,49.0,MiliIt00
56,Chris Fuamatu-Ma'afala,RB,Honolulu,1998,2004,0,0,0,9,73,,,,0,,,,,227.0,964.0,8,46.0,43.0,351.0,2,54.0,FuamCh00
57,Makoa Freitas,T,Honolulu,2003,2004,0,0,0,7,28,,,,0,,,,,,,0,,,,0,,FreiMa20
58,Trevor Hutton,G,Hilo,2004,2004,0,0,0,1,4,,,,0,,,,,,,0,,,,0,,HuttTr20
59,Byron Chamberlain,TE,Honolulu,1995,2003,0,1,2,17,106,,,,0,,,,,,,0,,167.0,2048.0,6,88.0,ChamBy00
60,R.J. Bowers,RB,Honolulu,2001,2003,0,0,0,1,8,,,,0,,,,,18.0,84.0,1,21.0,2.0,2.0,1,2.0,BoweRJ00
61,Joe Wong,G,Waimanalo,2003,2003,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,WongJo20
62,Joe Tuipala,MLB,Honolulu,2001,2002,0,0,0,2,27,,,,0,,,,,,,0,,,,0,,TuipJo20
63,Steven Grace,C,Honolulu,2002,2002,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,GracSt20
