Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Brandon Scherff,G,Denison,2015,2023,1,5,8,58,123,,,,0,,,,,,,0,,,,0,,ScheBr00
2,James Ferentz,C,Iowa City,2015,2023,0,0,0,6,61,,,,0,,,,,,,0,,,,0,,FereJa00
3,Casey Kreiter,LS,DeWitt,2016,2023,0,1,0,9,125,,,,0,,,,,,,0,,,,0,,KreiCa00
4,Matt Haack,P,West Des Moines,2017,2023,0,0,1,10,99,1.0,3.0,1.0,1,1.0,1.0,0.0,0.0,1.0,2.0,0,2.0,,,0,,HaacMa00
5,Ike Boettger,G,Cedar Falls,2018,2023,0,0,1,9,36,,,,0,,,,,,,0,,,,0,,BoetIk00
6,Josey Jewell,ILB,Decorah,2018,2023,0,0,3,28,78,,,,0,,,,,,,0,,,,0,,JeweJo00
7,Allen Lazard,WR,Des Moines,2018,2023,0,0,2,22,71,,,,0,,,,,8.0,70.0,0,21.0,192.0,2547.0,21,72.0,LazaAl00
8,Ben Niemann,RILB,Des Moines,2018,2023,0,0,1,13,86,,,,0,,,,,,,0,,,,0,,NiemBe00
9,T.J. Hockenson,TE,Chariton,2019,2023,0,2,2,27,72,,,,0,,,,,1.0,0.0,0,0.0,341.0,3547.0,23,81.0,HockTJ00
10,Andrew Van Ginkel,OLB,Rock Valley,2019,2023,0,0,2,24,73,,,,0,,,,,,,0,,,,0,,VanGAn00
11,Anthony Nelson,DL,Urbandale,2019,2023,0,0,0,11,75,,,,0,,,,,,,0,,,,0,,NelsAn01
12,Joe Burrow,QB,Ames,2020,2023,0,1,3,44,52,1288.0,1895.0,14083.0,97,82.0,37.0,148.0,1040.0,183.0,605.0,10,23.0,,,0,,BurrJo01
13,Matt Nelson,T,Cedar Rapids,2020,2023,0,0,1,9,43,,,,0,,,,,,,0,,0.0,0.0,0,0.0,NelsMa00
14,Tristan Wirfs,OL,Mount Vernon,2020,2023,1,3,3,44,63,,,,0,,,,,,,0,,,,0,,WirfTr00
15,Spencer Brown,T,Lenox,2021,2023,0,0,1,24,44,,,,0,,,,,,,0,,,,0,,BrowSp00
16,Christian Rozeboom,LB,Sioux Center,2021,2023,0,0,0,5,44,,,,0,,,,,,,0,,,,0,,RozeCh00
17,Jake Hummel,LB,Des Moines,2022,2023,0,0,0,1,24,,,,0,,,,,,,0,,,,0,,HummJa00
18,Jack Cochrane,LB,Mount Vernon,2022,2023,0,0,0,3,32,,,,0,,,,,,,0,,,,0,,CochJa00
19,Ko Kieft,TE,Sioux Center,2022,2023,0,0,1,1,33,,,,0,,,,,,,0,,8.0,82.0,2,19.0,KiefKo00
20,Tyler Linderbaum,OL,Solon,2022,2023,0,1,1,16,32,,,,0,,,,,,,0,,,,0,,LindTy00
21,Julian Good-Jones,,Cedar Rapids,2023,2023,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,GoodJu00
22,David Johnson,RB,Clinton,2015,2022,1,1,3,42,92,,,,0,,,,,1007.0,4071.0,39,58.0,277.0,2805.0,18,58.0,JohnDa08
23,Austin Blythe,C,Williamson,2016,2022,0,0,4,33,92,,,,0,,,,,,,0,,,,0,,BlytAu00
24,Ross Pierschbacher,OL,Cedar Falls,2019,2022,0,0,0,0,11,,,,0,,,,,,,0,,,,0,,PierRo00
25,Jake Gervase,DB,Davnport,2019,2022,0,0,0,1,19,,,,0,,,,,,,0,,1.0,12.0,0,12.0,GervJa00
26,Caleb Shudak,K,Council Bluffs,2022,2022,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,ShudCa00
27,Dominique Dafney,TE,West Des Moines,2020,2021,0,0,0,0,15,,,,0,,,,,,,0,,4.0,60.0,1,26.0,DafnDo00
28,Landen Akers,,Cedar Rapids,2021,2021,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,AkerLa00
29,Rico Gafford,WR,West De Moines,2018,2020,0,0,0,0,8,,,,0,,,,,,,0,,2.0,66.0,1,49.0,GaffRi00
30,Darren Sproles,RB,Waterloo,2005,2019,0,3,1,62,183,,,,0,,,,,732.0,3552.0,23,49.0,553.0,4840.0,32,81.0,SproDa00
31,Marshal Yanda,G,Cedar Rapids,2007,2019,2,8,10,92,177,,,,0,,,,,,,0,,,,0,,YandMa20
32,Austin Howard,T,Davenport,2010,2018,0,0,6,32,97,,,,0,,,,,,,0,,,,0,,HowaAu20
33,A.J. Derby,TE,Iowa City,2016,2018,0,0,0,3,25,,,,0,,,,,,,0,,40.0,452.0,3,29.0,DerbA.00
34,Leonard Wester,T,Mt. Union,2016,2018,0,0,0,3,27,,,,0,,,,,,,0,,1.0,2.0,1,2.0,WestLe00
35,Cole Croston,T,Sergeant Bluff,2017,2018,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,CrosCo00
36,Trevon Young,DE,Des Moines,2018,2018,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,YounTr00
37,Riley McCarron,WR,Dubuque,2018,2018,0,0,0,0,1,,,,0,,,,,,,0,,0.0,0.0,0,0.0,McCaRi00
38,Matt Tobin,T,Worthington,2013,2017,0,0,1,12,57,,,,0,,,,,,,0,,,,0,,TobiMa00
