Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Dennis Kelly,T,Chicago Heights,2012,2023,0,0,1,29,131,,,,0,,,,,,,0,,1.0,1.0,1,1.0,KellDe00
2,Kirk Cousins,QB,Barrington,2012,2023,0,4,8,94,150,3465.0,5177.0,39471.0,270,81.0,110.0,304.0,2207.0,304.0,958.0,19,29.0,1.0,-1.0,0,0.0,CousKi00
3,Terron Armstead,T,Belleville,2013,2023,0,5,8,64,120,,,,0,,,,,,,0,,,,0,,ArmsTe00
4,Jimmy Garoppolo,QB,Arlington Heights,2014,2023,0,0,3,47,81,1277.0,1895.0,15494.0,94,83.0,51.0,137.0,921.0,185.0,264.0,7,13.0,2.0,-3.0,0,3.0,GaroJi00
5,Michael Schofield,T,Orland Park,2015,2023,0,0,5,38,113,,,,0,,,,,,,0,,,,0,,SchoMi00
6,Dean Lowry,DE,Rockford,2016,2023,0,0,6,38,120,,,,0,,,,,,,0,,,,0,,LowrDe00
7,Laquon Treadwell,WR,Chicago,2016,2023,0,0,2,8,81,,,,0,,,,,,,0,,111.0,1242.0,5,58.0,TreaLa00
8,Graham Glasgow,G,Aurora,2016,2023,0,0,5,39,116,,,,0,,,,,,,0,,,,0,,GlasGr00
9,Ted Karras,G,Chicago,2016,2023,0,0,4,38,126,,,,0,,,,,,,0,,,,0,,KarrTe00
10,Solomon Thomas,DE,Chicago,2017,2023,0,0,2,19,99,,,,0,,,,,,,0,,,,0,,ThomSo00
11,Eric Saubert,TE,Chicago,2017,2023,0,0,0,1,84,,,,0,,,,,,,0,,36.0,292.0,2,25.0,SaubEr00
12,Pat O'Connor,DE,Chicago,2017,2023,0,0,0,5,68,,,,0,,,,,,,0,,,,0,,OConPa00
13,Adoree' Jackson,CB,Bellevill,2017,2023,0,0,5,26,83,,,,0,,,,,5.0,55.0,0,20.0,0.0,0.0,0,0.0,JackAd00
14,Taybor Pepper,LS,Urbana,2017,2023,0,0,0,5,83,,,,0,,,,,,,0,,,,0,,PeppTa00
15,Jake Elliott,K,La Grange,2017,2023,0,1,1,21,113,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,,,0,,,,0,,ElliJa03
16,Joseph Jones,OLB,Plano,2017,2023,0,0,0,5,77,,,,0,,,,,,,0,,,,0,,JoneJo05
17,Dan Feeney,G,Orland Park,2017,2023,0,0,4,32,112,,,,0,,,,,,,0,,,,0,,FeenDa00
18,Ethan Pocic,C,Lemont,2017,2023,0,0,2,28,85,,,,0,,,,,,,0,,,,0,,PociEt00
19,Robert Spillane,OLB,Oak Park,2018,2023,0,0,1,19,69,,,,0,,,,,,,0,,,,0,,SpilRo00
20,Brian Allen,C,Hinsdale,2018,2023,0,0,2,16,50,,,,0,,,,,,,0,,,,0,,AlleBr02
21,Tyler Lancaster,DL,Naperville,2018,2023,0,0,1,12,62,,,,0,,,,,,,0,,,,0,,LancTy00
22,Trent Sherfield,WR,Danville,2018,2023,0,0,0,8,95,,,,0,,,,,,,0,,78.0,930.0,5,75.0,SherTr00
23,Dennis Gardeck,OLB,Lake in the Hills,2018,2023,0,0,0,11,89,,,,0,,,,,,,0,,,,0,,GardDe01
24,Craig James,CB,Edwardsville,2018,2023,0,0,0,1,23,,,,0,,,,,,,0,,,,0,,JameCr01
25,Robert Tonyan,TE,McHenry,2018,2023,0,0,1,16,85,,,,0,,,,,,,0,,148.0,1549.0,17,54.0,TonyRo00
26,Mike Ford,CB,Alton,2018,2023,0,0,0,7,77,,,,0,,,,,,,0,,,,0,,FordMi01
27,Mason Cole,C,Chicago,2018,2023,0,0,3,25,94,,,,0,,,,,,,0,,,,0,,ColeMa02
28,Jonathan Harris,DE,Aurora,2019,2023,0,0,0,5,33,,,,0,,,,,,,0,,,,0,,HarrJo05
29,Scott Miller,WR,Barrington,2019,2023,0,0,1,9,67,,,,0,,,,,8.0,81.0,1,33.0,85.0,1085.0,6,56.0,MillSc01
30,Austin Seibert,K,Belleville,2019,2023,0,0,0,4,31,,,,0,,,,,,,0,,,,0,,SeibAu00
31,Trey Pipkins,T,Winfield,2019,2023,0,0,1,22,69,,,,0,,,,,,,0,,,,0,,PipkTr00
32,Julian Love,S,Westchester,2019,2023,0,1,1,19,81,,,,0,,,,,,,0,,,,0,,LoveJu00
33,Miles Boykin,WR,Tinley Park,2019,2023,0,0,2,6,73,,,,0,,,,,,,0,,38.0,498.0,7,50.0,BoykMi00
34,T.J. Edwards,OLB,Lake Villa,2019,2023,0,0,3,30,78,,,,0,,,,,,,0,,,,0,,EdwaTJ02
35,David Edwards,OL,Downers Grove,2019,2023,0,0,2,24,70,,,,0,,,,,,,0,,,,0,,EdwaDa01
36,Nick Allegretti,G,Frankfort,2019,2023,0,0,1,10,74,,,,0,,,,,,,0,,,,0,,AlleNi00
37,Blake Hance,T,Jacksonville,2020,2023,0,0,0,8,50,,,,0,,,,,,,0,,,,0,,HancBl00
38,James Robinson,RB,Rockford,2020,2023,0,0,2,15,40,0.0,0.0,0.0,0,0.0,0.0,1.0,4.0,515.0,2264.0,18,58.0,92.0,615.0,5,28.0,RobiJa00
39,Jonathan Ward,RB,Kankakee,2020,2023,0,0,0,1,42,,,,0,,,,,17.0,69.0,0,12.0,6.0,52.0,1,23.0,WardJo00
40,Cole Kmet,TE,Lake Barrington,2020,2023,0,0,3,20,67,,,,0,,,,,7.0,8.0,0,8.0,211.0,2118.0,15,53.0,KmetCo00
41,Albert Okwuegbunam,TE,Springfield,2020,2023,0,0,0,5,30,,,,0,,,,,,,0,,54.0,546.0,4,64.0,OkwuAl00
42,Royce Newman,OL,Nashville,2021,2023,0,0,1,14,51,,,,0,,,,,,,0,,,,0,,NewmRo00
43,Jon Rhattigan,LB,Naperville,2021,2023,0,0,0,2,36,,,,0,,,,,,,0,,,,0,,RhatJo00
44,Robert Jones,G,Rockford,2021,2023,0,0,0,8,32,,,,0,,,,,,,0,,,,0,,JoneRo02
45,Nick Niemann,OLB,Sycamore,2021,2023,0,0,0,4,51,,,,0,,,,,1.0,0.0,0,0.0,,,0,,NiemNi00
46,Jack Heflin,DT,Galesburg,2021,2023,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,HeflJa00
47,Naquan Jones,NT,Evanston,2021,2023,0,0,0,5,36,,,,0,,,,,,,0,,,,0,,JoneNa01
48,LaCale London,DT,Peoria,2021,2023,0,0,0,1,8,,,,0,,,,,,,0,,,,0,,LondLa00
49,Kendrick Green,C,Peoria,2021,2023,0,0,1,6,19,,,,0,,,,,,,0,,,,0,,GreeKe02
50,Greg Newsome II,CB,Chicago,2021,2023,0,0,2,13,41,,,,0,,,,,,,0,,,,0,,NewsGr00
51,Matt Bushman,TE,Carbondale,2021,2023,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,BushMa00
52,John Ridgeway,DT,Bloomington,2022,2023,0,0,0,5,32,,,,0,,,,,,,0,,,,0,,RidgJo00
53,Dallis Flowers,CB,Chicago,2022,2023,0,0,0,2,17,,,,0,,,,,,,0,,,,0,,FlowDa00
54,Eric Johnson,DT,Normal,2022,2023,0,0,0,2,28,,,,0,,,,,,,0,,,,0,,JohnEr01
55,Andrew Rupcich,T,Wonder Lake,2023,2023,0,0,0,1,5,,,,0,,,,,,,0,,,,0,,RupcAn00
56,Doug Kramer,OL,Hinsdale,2023,2023,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,KramDo00
57,Zaire Barnes,LB,Mundelein,2023,2023,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,BarnZa00
58,Antonio Johnson,S,East St. Louis,2023,2023,0,0,0,2,13,,,,0,,,,,,,0,,,,0,,JohnAn07
59,Cameron Mitchell,CB,Chicago,2023,2023,0,0,0,2,13,,,,0,,,,,,,0,,,,0,,MitcCa01
60,Sean Clifford,QB,Barrington,2023,2023,0,0,0,0,2,1.0,1.0,37.0,0,37.0,0.0,0.0,0.0,3.0,-2.0,0,0.0,,,0,,ClifSe00
61,Lukas Van Ness,LB,Barrington,2023,2023,0,0,0,1,17,,,,0,,,,,,,0,,,,0,,VanNLu00
62,Zach Harrison,DL,,2023,2023,0,0,0,1,16,,,,0,,,,,,,0,,,,0,,HarrZa00
63,Cameron Brate,TE,Naperville,2014,2022,0,0,3,18,126,,,,0,,,,,,,0,,273.0,2857.0,33,46.0,BratCa00
64,Tevin Coleman,RB,Tinley Park,2015,2022,0,0,2,33,94,,,,0,,,,,789.0,3319.0,25,65.0,131.0,1317.0,13,49.0,ColeTe01
65,Clayton Fejedelem,FS,New Lennox,2016,2022,0,0,0,8,107,,,,0,,,,,6.0,29.0,0,22.0,,,0,,FejeCl00
66,Mike Thomas,WR,Chicago,2016,2022,0,0,0,2,76,,,,0,,,,,1.0,1.0,0,1.0,30.0,366.0,1,50.0,ThomMi04
67,Josh Jones,S,Chicago,2017,2022,0,0,1,11,70,,,,0,,,,,,,0,,,,0,,JoneJo06
68,Kenny Golladay,WR,Chicago,2017,2022,0,1,4,27,73,,,,0,,,,,2.0,17.0,0,9.0,226.0,3670.0,22,75.0,GollKe00
69,Corey Davis,WR,Chicago,2017,2022,0,0,5,31,78,,,,0,,,,,6.0,55.0,0,39.0,273.0,3879.0,17,75.0,DaviCo03
70,Jake Kumerow,WR,Chicago,2018,2022,0,0,0,4,46,,,,0,,,,,,,0,,27.0,436.0,3,49.0,KumeJa00
71,Justin Jackson,RB,Chicago,2018,2022,0,0,0,12,59,,,,0,,,,,248.0,1210.0,5,75.0,77.0,609.0,1,34.0,JackJu01
72,Malik Turner,WR,Springfield,2018,2022,0,0,0,3,44,,,,0,,,,,,,0,,29.0,414.0,4,61.0,TurnMa00
