Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Zack Martin,G,Indianapolis,2014,2023,7,9,9,102,152,,,,0.0,,,,,,,0.0,,,,0.0,,MartZa00
2,Anthony Barr,OLB,South Bend,2014,2023,0,4,7,56,116,,,,0.0,,,,,,,0.0,,,,0.0,,BarrAn00
3,James Hurst,T,Plainfield,2014,2023,0,0,4,40,150,,,,0.0,,,,,,,0.0,,,,0.0,,HursJa00
4,MyCole Pruitt,TE,South Bend,2015,2023,0,0,1,7,109,,,,0.0,,,,,,,0.0,,71.0,748.0,12.0,42.0,PruiMy00
5,Sheldon Day,DT,Indianapolis,2016,2023,0,0,0,7,73,,,,0.0,,,,,,,0.0,,,,0.0,,DayxSh00
6,Jaylon Smith,OLB,Fort Wayne,2017,2023,0,1,4,37,88,,,,0.0,,,,,,,0.0,,,,0.0,,SmitJa05
7,Ryan Neal,DB,Hammond,2018,2023,0,0,1,11,62,,,,0.0,,,,,,,0.0,,,,0.0,,NealRy00
8,Jessie Bates III,FS,Fort Wayne,2018,2023,0,1,5,42,96,,,,0.0,,,,,,,0.0,,,,0.0,,BateJe00
9,Terry McLaurin,WR,Indianapolis,2019,2023,0,1,4,37,80,,,,0.0,,,,,10.0,71.0,0.0,27.0,378.0,5283.0,25.0,75.0,McLaTe00
10,Lonnie Johnson Jr.,CB,Gary,2019,2023,0,0,0,9,68,,,,0.0,,,,,,,0.0,,,,0.0,,JohnLo01
11,Jeremy Chinn,S,Fishers,2020,2023,0,0,3,33,54,,,,0.0,,,,,2.0,29.0,0.0,28.0,,,0.0,,ChinJe00
12,Rondale Moore,WR,New Albany,2021,2023,0,0,0,12,39,,,,0.0,,,,,52.0,249.0,1.0,45.0,135.0,1201.0,3.0,77.0,MoorRo02
13,Pete Werner,LB,Indianapolis,2021,2023,0,0,1,18,43,,,,0.0,,,,,,,0.0,,,,0.0,,WernPe00
14,Ben Skowronek,WR,Fort Wayne,2021,2023,0,0,1,6,45,,,,0.0,,,,,3.0,26.0,1.0,17.0,58.0,575.0,1.0,35.0,SkowBe00
15,Chris Evans,RB,Indianapolis,2021,2023,0,0,0,2,34,,,,0.0,,,,,19.0,89.0,0.0,13.0,19.0,188.0,3.0,26.0,EvanCh02
16,David Bell,WR,Indianapolis,2022,2023,0,0,0,3,31,,,,0.0,,,,,,,0.0,,38.0,381.0,3.0,41.0,BellDa02
17,Cameron McGrone,LB,Indianapolis,2022,2023,0,0,0,1,13,,,,0.0,,,,,,,0.0,,,,0.0,,McGrCa00
18,Dawand Jones,T,Indianapolis,2023,2023,0,0,0,4,11,,,,0.0,,,,,,,0.0,,,,0.0,,JoneDa07
19,Caleb Jones,T,Indianapolis,2023,2023,0,0,0,0,1,,,,0.0,,,,,,,0.0,,,,0.0,,JoneCa03
20,Joe Tippmann,C,Fort Wayne,2023,2023,0,0,0,4,16,,,,0.0,,,,,,,0.0,,,,0.0,,TippJo00
21,Nick Martin,C,Indianapolis,2017,2022,0,0,4,29,83,,,,0.0,,,,,,,0.0,,,,0.0,,MartNi00
22,Danny Pinter,OL,South Bend,2020,2022,0,0,0,5,46,,,,0.0,,,,,,,0.0,,1.0,2.0,1.0,2.0,PintDa00
23,Zander Horvath,RB,Mishawaka,2022,2022,0,0,0,0,15,,,,0.0,,,,,4.0,8.0,0.0,3.0,5.0,8.0,2.0,5.0,HorvZa00
24,Drue Chrisman,P,Lawrenceburg,2022,2022,0,0,0,1,7,,,,0.0,,,,,,,0.0,,,,0.0,,ChriDr00
25,Coy Cronk,OL,Lafayette,2022,2022,0,0,0,0,3,,,,0.0,,,,,,,0.0,,,,0.0,,CronCo00
26,Ryan Kerrigan,LOLB,Muncie,2011,2021,0,4,9,63,172,,,,0.0,,,,,,,0.0,,,,0.0,,KerrRy00
27,Jack Doyle,TE,Indianapolis,2013,2021,0,2,5,22,131,,,,0.0,,,,,,,0.0,,295.0,2729.0,24.0,34.0,DoylJa00
28,Cole Toner,T,Greenwood,2016,2021,0,0,0,2,14,,,,0.0,,,,,,,0.0,,,,0.0,,ToneCo00
29,Jason Spriggs,T,Elkhart,2016,2021,0,0,0,9,59,,,,0.0,,,,,,,0.0,,,,0.0,,SpriJa00
30,Brandon Dillon,TE,Bringhurst,2019,2021,0,0,0,0,5,,,,0.0,,,,,,,0.0,,1.0,6.0,0.0,6.0,DillBr00
31,Brandon Knight,OL,Noblesville,2019,2021,0,0,1,6,21,,,,0.0,,,,,,,0.0,,,,0.0,,KnigBr01
32,Kawann Short,DT,East Chicago,2013,2020,0,2,5,41,99,,,,0.0,,,,,,,0.0,,,,0.0,,ShorKa00
33,Tyler Eifert,TE,Fort Wayne,2013,2020,0,1,2,19,74,,,,0.0,,,,,,,0.0,,221.0,2501.0,26.0,71.0,EifeTy00
34,Brian Price,DT,Lafayette,2016,2020,0,0,0,2,24,,,,0.0,,,,,,,0.0,,,,0.0,,PricBr00
35,Deon Lacey,OLB,Indianapolis,2017,2020,0,0,0,3,53,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,LaceDe00
36,Sam Ficken,K,Valparaiso,2017,2020,0,0,0,2,28,,,,0.0,,,,,,,0.0,,,,0.0,,FickSa00
37,Evan Baylis,TE,Fishers,2017,2020,0,0,0,0,11,,,,0.0,,,,,,,0.0,,,,0.0,,BaylEv00
38,Gehrig Dieter,WR,South Bend,2018,2020,0,0,0,0,10,,,,0.0,,,,,,,0.0,,2.0,32.0,0.0,22.0,DietGe00
39,Asmar Bilal,LB,Indianapolis,2020,2020,0,0,0,0,2,,,,0.0,,,,,,,0.0,,,,0.0,,BilaAs00
40,LeVante Bellamy,RB,Indianapolis,2020,2020,0,0,0,0,5,,,,0.0,,,,,4.0,11.0,0.0,8.0,1.0,5.0,0.0,5.0,BellLe02
41,Nate Becker,TE,Carmel,2020,2020,0,0,0,0,1,,,,0.0,,,,,,,0.0,,,,0.0,,BeckNa00
