Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Mike Pennel,DT,Topeka,2014,2023,0,0,1,16,121,,,,0,,,,,,,0,,,,0,,PennMi00
2,Jordan Phillips,DT,Towanda,2015,2023,0,0,4,31,120,,,,0,,,,,,,0,,,,0,,PhilJo01
3,Blake Bell,TE,Wichita,2015,2023,0,0,1,5,117,,,,0,,,,,5.0,12.0,0,3.0,65.0,667.0,2,48.0,BellBl00
4,Maliek Collins,DT,Kansas City,2016,2023,0,0,7,44,119,,,,0,,,,,,,0,,,,0,,CollMa00
5,Braden Smith,G,Olathe,2018,2023,0,0,5,36,82,,,,0,,,,,,,0,,,,0,,SmitBr06
6,Ben Powers,OL,Wichita,2019,2023,0,0,3,21,64,,,,0,,,,,,,0,,,,0,,PoweBe00
7,A.J. Epenesa,DL,Oak Park,2020,2023,0,0,0,10,58,,,,0,,,,,,,0,,,,0,,EpenAJ00
8,Isaiahh Loudermilk,DE,Howard,2021,2023,0,0,0,5,42,,,,0,,,,,,,0,,,,0,,LoudIs00
9,Teven Jenkins,T,Topeka,2021,2023,0,0,1,11,31,,,,0,,,,,,,0,,,,0,,JenkTe00
10,Ty Zentner,P,Topeka,2023,2023,0,0,0,1,9,,,,0,,,,,1.0,0.0,0,0.0,,,0,,ZentTy00
11,Garrett Griffin,TE,Louisburg,2017,2022,0,0,0,0,21,,,,0,,,,,,,0,,5.0,43.0,0,14.0,GrifGa00
12,Davontae Harris,CB,Wichita,2018,2022,0,0,0,5,42,,,,0,,,,,,,0,,,,0,,HarrDa05
13,Storey Jackson,LB,Kansas City,2022,2022,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,JackSt01
14,B.J. Finney,C,Wichita,2016,2021,0,0,0,9,73,,,,0,,,,,,,0,,,,0,,FinnB.01
15,Deante Burton,WR,Manhattan,2018,2021,0,0,0,0,11,,,,0,,,,,,,0,,,,0,,BurtDe00
16,Emeke Egbule,LB,Topeka,2019,2021,0,0,0,2,32,,,,0,,,,,,,0,,,,0,,EgbuEm00
17,Amani Bledsoe,DE,Lawrence,2020,2021,0,0,0,4,19,,,,0,,,,,,,0,,,,0,,BledAm01
18,Jordy Nelson,WR,Manhattan,2008,2018,0,1,7,73,151,,,,0,,,,,1.0,-2.0,0,0.0,613.0,8587.0,72,93.0,NelsJo00
19,Ryan Schraeder,T,Wichita,2013,2018,0,0,5,37,88,,,,0,,,,,,,0,,,,0,,SchrRy00
20,Geneo Grissom,OLB,Hutchinson,2015,2018,0,0,0,3,37,,,,0,,,,,,,0,,,,0,,GrisGe00
21,Shane Ray,DE,Shawnee Mission,2015,2018,0,0,1,12,49,,,,0,,,,,,,0,,,,0,,RayxSh00
22,Kyle Wilson,LB,Wichita,2018,2018,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,WilsKy00
23,Terence Newman,DB,Salina,2003,2017,0,2,15,70,221,,,,0,,,,,1.0,4.0,0,4.0,,,0,,NewmTe20
24,Andrew Gachkar,OOLB,Overland Park,2011,2017,0,0,0,9,101,,,,0,,,,,,,0,,,,0,,GachAn00
25,Michael Wilhoite,LB,Topeka,2012,2017,0,0,3,22,79,,,,0,,,,,,,0,,,,0,,WilhMi00
26,Ben Heeney,ILB,Overland Park,2015,2017,0,0,0,3,24,,,,0,,,,,,,0,,,,0,,HeenBe00
