Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Patrick Scales,LS,Louisville,2014,2023,0,0,0,6,122,,,,0.0,,,,,,,0.0,,,,0.0,,ScalPa00
2,DeVante Parker,WR,Louisville,2015,2023,0,0,5,36,119,,,,0.0,,,,,,,0.0,,402.0,5660.0,27.0,56.0,ParkDe01
3,George Fant,T,Bowling Green,2016,2023,0,0,4,31,99,,,,0.0,,,,,,,0.0,,1.0,9.0,0.0,9.0,FantGe00
4,Jarrett Stidham,QB,Corbin,2019,2023,0,0,0,6,16,117.0,197.0,1422.0,8.0,60.0,8.0,19.0,121.0,32.0,97.0,0.0,11.0,,,0.0,,StidJa00
5,Damien Harris,RB,Richmond,2019,2023,0,0,3,16,44,,,,0.0,,,,,472.0,2188.0,21.0,64.0,42.0,297.0,0.0,21.0,HarrDa06
6,Montez Sweat,EDGE,Richmond,2019,2023,0,1,3,36,76,,,,0.0,,,,,,,0.0,,,,0.0,,SweaMo00
7,Logan Woodside,QB,Frankfort,2020,2023,0,0,0,0,13,4.0,7.0,34.0,0.0,12.0,1.0,1.0,7.0,14.0,10.0,0.0,18.0,,,0.0,,WoodLo00
8,Jedrick Wills Jr.,OL,Lexington,2020,2023,0,0,3,24,53,,,,0.0,,,,,,,0.0,,,,0.0,,WillJe04
9,Derrick Barnes,LB,Covington,2021,2023,0,0,0,10,48,,,,0.0,,,,,,,0.0,,,,0.0,,BarnDe02
10,Landon Young,T,Grayson County,2021,2023,0,0,0,6,39,,,,0.0,,,,,,,0.0,,,,0.0,,YounLa00
11,Nate Hobbs,CB,Louisville,2021,2023,0,0,1,10,40,,,,0.0,,,,,,,0.0,,,,0.0,,HobbNa00
12,Jordan Meredith,OL,Bowling Green,2022,2023,0,0,0,1,18,,,,0.0,,,,,,,0.0,,,,0.0,,MereJo00
13,Russ Yeast,DB,Danville,2022,2023,0,0,0,4,32,,,,0.0,,,,,,,0.0,,,,0.0,,YeasRu00
14,Wan'Dale Robinson,WR,Frankfort,2022,2023,0,0,0,6,21,,,,0.0,,,,,11.0,86.0,1.0,32.0,83.0,752.0,2.0,33.0,RobiWa01
15,Desmond Ridder,QB,Louisville,2022,2023,0,0,0,12,19,322.0,503.0,3544.0,14.0,71.0,12.0,40.0,230.0,69.0,257.0,5.0,23.0,1.0,-6.0,0.0,0.0,RiddDe00
16,Michael Mayer,TE,,2023,2023,0,0,0,3,14,,,,0.0,,,,,,,0.0,,27.0,304.0,2.0,32.0,MayeMi00
17,Lucky Jackson,,Lexington,2023,2023,0,0,0,0,3,,,,0.0,,,,,,,0.0,,,,0.0,,JackLu00
18,Corey Peters,DT,Louisville,2010,2022,0,0,9,49,164,,,,0.0,,,,,,,0.0,,,,0.0,,PeteCo00
19,Rex Burkhead,RB,Winchester,2013,2022,0,0,0,21,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,1908.0,17.0,36.0,192.0,1534.0,9.0,32.0,BurkRe00
20,Keelan Cole,WR,Louisville,2017,2022,0,0,2,20,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,6.0,197.0,2832.0,14.0,75.0,ColeKe00
21,Joel Iyiegbuniwe,OLB,Bowling Green,2018,2022,0,0,0,5,65,,,,0.0,,,,,,,0.0,,,,0.0,,IyieJo00
22,Reggie Bonnafon,RB,Louisville,2019,2022,0,0,0,2,23,,,,0.0,,,,,32.0,197.0,1.0,59.0,10.0,87.0,1.0,32.0,BonnRe00
23,Jonas Griffith,LB,Louisville,2021,2022,0,0,0,7,22,,,,0.0,,,,,,,0.0,,,,0.0,,GrifJo01
24,Luke Stocker,TE,Berea,2011,2021,0,0,7,5,142,,,,0.0,,,,,1.0,0.0,0.0,0.0,85.0,705.0,5.0,33.0,StocLu00
25,Deon Yelder,TE,Louisville,2018,2021,0,0,0,1,31,,,,0.0,,,,,,,0.0,,11.0,86.0,0.0,24.0,YeldDe00
