Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Al Woods,DT,Jennings,2010,2023,0,0,6,34,161,,,,0,,,,,,,0,,,,0,,WoodAl99
2,Brandon Bolden,RB,Baton Rouge,2012,2023,0,0,0,17,164,,,,0,,,,,304.0,1394.0,13,54.0,109.0,959.0,7,63.0,BoldBr00
3,Tyrann Mathieu,CB,New Orleans,2013,2023,3,3,9,63,163,,,,0,,,,,,,0,,,,0,,MathTy00
4,Cornelius Lucas,T,New Orleans,2014,2023,0,0,2,22,115,,,,0,,,,,,,0,,,,0,,LucaCo01
5,Odell Beckham Jr.,WR,New Orleans,2014,2023,0,3,6,59,110,4.0,6.0,144.0,2,57.0,0.0,1.0,6.0,23.0,170.0,1,50.0,566.0,7932.0,59,89.0,BeckOd00
6,Deion Jones,OLB,New Orleans,2016,2023,0,1,5,42,109,,,,0,,,,,,,0,,,,0,,JoneDe01
7,Dak Prescott,QB,Sulphur,2016,2023,0,4,6,91,114,2595.0,3873.0,29459.0,202,92.0,74.0,235.0,1417.0,407.0,1884.0,28,42.0,1.0,11.0,1,11.0,PresDa01
8,Arthur Maulet,CB,New Orleans,2017,2023,0,0,0,12,82,,,,0,,,,,,,0,,,,0,,MaulAr00
9,Davon Godchaux,DT,Plaquemine,2017,2023,0,0,4,40,103,,,,0,,,,,,,0,,,,0,,GodcDa00
10,Tre'Davious White,CB,Shreveport,2017,2023,1,2,5,48,82,,,,0,,,,,,,0,,,,0,,WhitTr01
11,Xavier Woods,SS,West Monroe,2017,2023,0,0,5,31,106,,,,0,,,,,,,0,,,,0,,WoodXa00
12,Leonard Fournette,RB,New Orleans,2017,2023,0,0,5,38,81,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,1144.0,4518.0,34,90.0,312.0,2219.0,7,44.0,FourLe00
13,Cam Robinson,T,Monroe,2017,2023,0,0,5,34,84,,,,0,,,,,,,0,,,,0,,RobiCa00
14,Duke Riley,OLB,Buras,2017,2023,0,0,2,18,107,,,,0,,,,,,,0,,,,0,,RileDu00
15,Tanzel Smart,DT,Baton Rouge,2017,2023,0,0,0,4,41,,,,0,,,,,,,0,,,,0,,SmarTa00
16,DJ Chark,WR,Alexandria,2018,2023,0,1,3,21,69,,,,0,,,,,2.0,20.0,0,20.0,212.0,3069.0,23,73.0,CharDJ00
17,Will Clapp,C,New Orleans,2018,2023,0,0,0,11,65,,,,0,,,,,,,0,,,,0,,ClapWi00
18,Boston Scott,RB,Baton Rouge,2018,2023,0,0,0,11,75,,,,0,,,,,302.0,1295.0,16,56.0,71.0,566.0,1,39.0,ScotBo02
19,Cameron Tom,C,Baton Rouge,2018,2023,0,0,0,2,14,,,,0,,,,,,,0,,,,0,,TomxCa00
20,Danny Johnson,CB,Jackson,2018,2023,0,0,0,6,66,,,,0,,,,,,,0,,,,0,,JohnDa09
21,Donte Jackson,CB,New Orleans,2018,2023,0,0,5,25,80,,,,0,,,,,,,0,,,,0,,JackDo02
