Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Patrick Ricard,FB,Spencer,2017,2023,0,4,4,14,104,,,,0,,,,,10.0,19.0,0,5.0,45.0,293.0,6,28.0,RicaPa00
2,Isaac Yiadom,CB,Worcester,2018,2023,0,0,2,13,87,,,,0,,,,,,,0,,,,0,,YiadIs00
3,Maurice Hurst Jr.,DT,Westwood,2018,2023,0,0,1,10,55,,,,0,,,,,,,0,,,,0,,HursMa00
4,Zach Triner,LS,Marshfield,2019,2023,0,0,0,5,75,,,,0,,,,,,,0,,,,0,,TrinZa00
5,Christian Wilkins,DL,Framingham,2019,2023,0,0,4,34,81,,,,0,,,,,,,0,,2.0,2.0,2,1.0,WilkCh00
6,Chris Lindstrom,OL,Dudley,2019,2023,0,2,3,33,71,,,,0,,,,,,,0,,,,0,,LindCh00
7,Joe Gaziano,DE,Scituate,2020,2023,0,0,0,1,23,,,,0,,,,,,,0,,,,0,,GaziJo01
8,Sean McKeon,TE,Dudley,2020,2023,0,0,0,0,45,,,,0,,,,,,,0,,6.0,38.0,1,12.0,McKeSe01
9,Pat Freiermuth,TE,Newburyport,2021,2023,0,0,0,13,44,,,,0,,,,,,,0,,155.0,1537.0,11,57.0,FreiPa00
10,Noah Gray,TE,Leominster,2021,2023,0,0,0,6,50,,,,0,,,,,2.0,2.0,1,1.0,63.0,640.0,4,34.0,GrayNo00
11,Ifeatu Melifonwu,CB,Boston,2021,2023,0,0,0,5,34,,,,0,,,,,,,0,,,,0,,MeliIf00
12,Isaiah Likely,TE,Cambridge,2022,2023,0,0,0,8,33,,,,0,,,,,,,0,,66.0,784.0,8,54.0,LikeIs00
13,Benton Whitley,OLB,Springfield,2023,2023,0,0,0,1,4,,,,0,,,,,,,0,,,,0,,WhitBe00
14,Will Levis,QB,Newton,2023,2023,0,0,0,6,9,149.0,255.0,1808.0,8,61.0,4.0,28.0,185.0,25.0,57.0,1,11.0,,,0,,LeviWi00
15,Badara Traore,,Boston,2021,2022,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,TraoBa00
16,Josh Onujiogu,LB,Wareham,2022,2022,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,OnujJo00
17,Larnel Coleman,T,Malden,2022,2022,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,ColeLa03
18,Sam Okuayinonu,DE,Lowell,2022,2022,0,0,0,1,6,,,,0,,,,,,,0,,,,0,,OkuaSa00
19,Blidi Wreh-Wilson,CB,Malden,2013,2021,0,0,1,8,76,,,,0,,,,,,,0,,,,0,,WrehBl00
20,David Steinmetz,T,Grafton,2020,2021,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,SteiDa00
21,Connor Strachan,,Wellesley,2021,2021,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,StraCo00
22,Stephen Hauschka,K,Needham,2008,2020,0,0,0,27,166,,,,0,,,,,,,0,,0.0,0.0,0,0.0,HausSt00
23,Anthony Sherman,RB,North Attleboro,2011,2020,0,1,3,5,153,,,,0,,,,,28.0,73.0,1,9.0,66.0,552.0,4,36.0,SherAn00
24,Phillip Gaines,CB,Concord,2014,2020,0,0,1,10,70,,,,0,,,,,,,0,,,,0,,GainPh00
25,Anthony Fabiano,OL,Wakefield,2016,2020,0,0,0,2,9,,,,0,,,,,,,0,,,,0,,FabiAn00
26,Kiko Alonso,ILB,Newton,2013,2019,0,0,4,33,86,,,,0,,,,,,,0,,,,0,,AlonKi00
27,Richard Jarvis,LB,Watertown,2018,2018,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,JarvRi00
28,Breno Giacomini,G,Malden,2008,2017,0,0,5,36,94,,,,0,,,,,,,0,,,,0,,GiacBr20
29,Jordan Todman,RB,Dartmouth,2012,2017,0,0,0,5,74,,,,0,,,,,124.0,531.0,3,62.0,40.0,314.0,2,30.0,TodmJo00
30,Tyler Catalina,G,Worcester,2017,2017,0,0,0,2,7,,,,0,,,,,,,0,,,,0,,CataTy00
31,Michael Clark,WR,Salem,2017,2017,0,0,0,0,2,,,,0,,,,,,,0,,4.0,41.0,0,19.0,ClarMi00
32,James Ihedigbo,DB,Northampton,2008,2016,0,0,4,24,117,,,,0,,,,,,,0,,,,0,,IhedJa00
33,Matt Hasselbeck,QB,Westwood,1999,2015,0,3,11,87,209,3222.0,5330.0,36638.0,212,87.0,153.0,360.0,2260.0,365.0,1231.0,8,23.0,,,0,,HassMa00
34,Mackenzy Bernadeau,G,Waltham,2009,2015,0,0,2,25,111,,,,0,,,,,,,0,,,,0,,BernMa20
35,Kassim Osgood,WR,Boston,2003,2014,0,3,1,8,179,,,,0,,,,,1.0,4.0,0,4.0,45.0,766.0,5,65.0,OsgoKa00
36,Michael Cox,RB,Boston,2013,2014,0,0,0,0,18,,,,0,,,,,26.0,76.0,0,17.0,5.0,21.0,0,11.0,CoxxMi00
37,Al Louis-Jean,CB,Brockton,2014,2014,0,0,0,0,9,,,,0,,,,,,,0,,,,0,,LouiAl00
38,Chris Gamble,DB,Boston,2004,2012,0,0,8,44,123,,,,0,,,,,,,0,,,,0,,GambCh20
39,Ron Brace,DT,Springfield,2009,2012,0,0,1,6,39,,,,0,,,,,,,0,,,,0,,BracRo99
40,Marc Colombo,T,Bridgewater,2002,2011,0,0,6,42,111,,,,0,,,,,,,0,,,,0,,ColoMa20
41,Jacques Cesaire,DE,Worcester,2003,2011,0,0,3,29,125,,,,0,,,,,,,0,,,,0,,CesaJa20
42,Stephen Cooper,LILB,Wareham,2003,2011,0,0,4,33,125,,,,0,,,,,,,0,,,,0,,CoopSt20
43,Tim Bulman,DT,Milton,2005,2011,0,0,0,6,49,,,,0,,,,,,,0,,,,0,,BulmTi20
44,Todd Collins,QB,Walpole,1995,2010,0,0,1,11,49,391.0,701.0,4547.0,22,95.0,24.0,67.0,447.0,83.0,152.0,0,11.0,,,0,,CollTo00
45,Brian St. Pierre,QB,Salem,2004,2010,0,0,0,0,3,15.0,33.0,185.0,2,88.0,3.0,3.0,23.0,5.0,-1.0,0,2.0,,,0,,St.PBr20
46,Lofa Tatupu,LB,Wrentham,2005,2010,1,3,5,49,84,,,,0,,,,,,,0,,,,0,,TatuLo99
