Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Rodney McLeod,S,Hyattsville,2012,2023,0,0,9,46,166,,,,0,,,,,,,0,,1.0,21.0,0,21.0,McLeRo00
2,Andrew DePaola,LS,Parkton,2014,2023,1,2,0,7,123,,,,0,,,,,,,0,,,,0,,DePaAn00
3,Adrian Amos,FS,Baltimore,2015,2023,0,0,8,38,142,,,,0,,,,,,,0,,,,0,,AmosAd00
4,Shaquil Barrett,OLB,Baltimore,2015,2023,0,2,4,50,131,,,,0,,,,,,,0,,,,0,,BarrSh00
5,Stefon Diggs,WR,Gaithersburg,2015,2023,1,4,8,83,136,0.0,1.0,0.0,0,0.0,0.0,1.0,2.0,32.0,162.0,0,27.0,810.0,9995.0,67,75.0,DiggSt00
6,Darren Waller,TE,Landover,2015,2023,0,1,3,31,86,,,,0,,,,,3.0,26.0,0,21.0,350.0,4124.0,20,75.0,WallDa01
7,Rob Havenstein,T,Mount Airy,2015,2023,0,0,8,54,130,,,,0,,,,,,,0,,,,0,,HaveRo00
8,Ronald Darby,CB,Oxon Hill,2015,2023,0,0,7,32,105,,,,0,,,,,,,0,,,,0,,DarbRo00
9,Kendall Fuller,CB,Baltimore,2016,2023,0,0,4,30,117,,,,0,,,,,,,0,,,,0,,FullKe00
10,Mack Hollins,WR,Rockville,2017,2023,0,0,1,14,95,1.0,1.0,4.0,0,4.0,0.0,0.0,0.0,4.0,40.0,0,17.0,131.0,1691.0,10,65.0,HollMa00
11,John Johnson,S,West Hyattsville,2017,2023,0,0,5,28,103,,,,0,,,,,,,0,,,,0,,JohnJo10
12,Ian Thomas,TE,Baltimore,2018,2023,0,0,2,7,94,,,,0,,,,,,,0,,116.0,1055.0,4,50.0,ThomIa00
13,Ja'Whaun Bentley,ILB,Glenarden,2018,2023,0,0,3,36,81,,,,0,,,,,,,0,,,,0,,BentJa00
14,Zeke Turner,S,Pasadena,2018,2023,0,0,0,8,80,,,,0,,,,,1.0,2.0,0,2.0,1.0,26.0,0,26.0,TurnZe00
15,Zach Pascal,WR,Upper Marlboro,2018,2023,0,0,3,19,95,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,7.0,47.0,0,12.0,169.0,2057.0,16,42.0,PascZa00
16,Josh Woods,OLB,Baltimore,2019,2023,0,0,0,7,65,,,,0,,,,,,,0,,,,0,,WoodJo02
17,Ty Johnson,RB,Cumberland,2019,2023,0,0,0,10,72,,,,0,,,,,238.0,1057.0,4,40.0,93.0,730.0,4,28.0,JohnTy02
18,Isaiah Prince,OL,Greenbelt,2019,2023,0,0,0,4,21,,,,0,,,,,,,0,,,,0,,PrinIs00
19,Darnell Savage Jr.,S,Salisbury,2019,2023,0,0,4,21,72,,,,0,,,,,,,0,,,,0,,SavaDa00
20,Lawrence Cager,WR,Baltimore,2020,2023,0,0,0,1,21,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,,,0,,19.0,189.0,2,20.0,CageLa01
21,AJ Dillon,RB,Baltimore,2020,2023,0,0,0,23,60,,,,0,,,,,597.0,2428.0,16,40.0,86.0,763.0,2,50.0,DillAJ00
22,Michael Dunn,T,Bethesda,2020,2023,0,0,0,3,40,,,,0,,,,,,,0,,,,0,,DunnMi01
23,Trevon Diggs,CB,Gaithersburg,2020,2023,1,2,3,28,47,,,,0,,,,,,,0,,,,0,,DiggTr00
24,Anthony McFarland Jr.,RB,Hyattsville,2020,2023,0,0,0,1,17,,,,0,,,,,42.0,146.0,0,20.0,11.0,87.0,0,17.0,McFaAn00
25,Sam Mustipher,C,Owings Mills,2020,2023,0,0,2,18,52,,,,0,,,,,,,0,,,,0,,MustSa01
26,Cam Brown,OLB,Silver Spring,2020,2023,0,0,0,4,60,,,,0,,,,,,,0,,,,0,,BrowCa01
27,Justin Herron,OL,Silver Spring,2020,2023,0,0,0,7,35,,,,0,,,,,,,0,,,,0,,HerrJu00
28,Chase Young,DL,Upper Marlboro,2020,2023,0,1,1,21,43,,,,0,,,,,,,0,,,,0,,YounCh04
29,Victor Dimukeje,OLB,Baltimore,2021,2023,0,0,0,5,44,,,,0,,,,,,,0,,,,0,,DimuVi00
30,Jake Funk,RB,Gaithersburg,2021,2023,0,0,0,0,20,,,,0,,,,,4.0,15.0,0,7.0,1.0,12.0,0,12.0,FunkJa00
31,Tre Avery,CB,Baltimore,2022,2023,0,0,0,3,29,,,,0,,,,,,,0,,,,0,,AverTr01
32,Christian Benford,DB,Baltimore,2022,2023,0,0,0,7,24,,,,0,,,,,,,0,,,,0,,BenfCh00
33,Julius Chestnut,RB,Bowie,2022,2023,0,0,0,0,9,,,,0,,,,,9.0,12.0,0,5.0,3.0,41.0,0,33.0,ChesJu00
34,Zion Johnson,G,Bowie,2022,2023,0,0,1,14,32,,,,0,,,,,,,0,,,,0,,JohnZi00
35,DJ Turner,WR,Glenarden,2022,2023,0,0,0,0,19,,,,0,,,,,4.0,26.0,0,18.0,0.0,0.0,0,0.0,TurnDJ00
36,Bryan Bresee,DT,,2023,2023,0,0,0,2,17,,,,0,,,,,,,0,,,,0,,BresBr00
37,Olusegun Oluwatimi,C,,2023,2023,0,0,0,1,16,,,,0,,,,,,,0,,,,0,,OluwOl00
38,Mohamed Ibrahim,RB,Baltimore,2023,2023,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,IbraMo00
39,Joshua Pryor,DE,Baltimore,2023,2023,0,0,0,0,7,,,,0,,,,,,,0,,,,0,,PryoJo00
40,Owen Wright,RB,Bethesda,2023,2023,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,WrigOw00
41,Chance Campbell,LB,Ellicott City,2023,2023,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,CampCh02
42,Sean Tucker,RB,Owings Mills,2023,2023,0,0,0,0,11,,,,0,,,,,15.0,23.0,0,7.0,2.0,9.0,0,6.0,TuckSe00
43,Kyle Fuller,CB,Baltimore,2014,2022,1,2,5,47,113,,,,0,,,,,,,0,,,,0,,FullKy00
44,Brandon Copeland,OLB,Baltimore,2015,2022,0,0,1,13,85,,,,0,,,,,,,0,,,,0,,CopeBr00
45,Nate Hairston,CB,Frederick,2017,2022,0,0,1,9,61,,,,0,,,,,,,0,,,,0,,HairNa00
46,Jermaine Carter Jr.,OLB,Fort Washington,2018,2022,0,0,2,15,72,,,,0,,,,,,,0,,,,0,,CartJe00
47,Marcus Allen,S,Silver Spring,2018,2022,0,0,0,6,48,,,,0,,,,,1.0,4.0,0,4.0,,,0,,AlleMa03
48,Keandre Jones,LB,Olney,2020,2022,0,0,0,0,8,,,,0,,,,,,,0,,,,0,,JoneKe03
