Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Brandon Graham,DE,Detroit,2010,2023,0,1,6,58,195,,,,0.0,,,,,,,0.0,,,,0.0,,GrahBr99
2,Johnathan Hankins,DT,Dearborn Heights,2013,2023,0,0,8,48,152,,,,0.0,,,,,,,0.0,,,,0.0,,HankJo00
3,William Gholston,DE,Detroit,2013,2023,0,0,7,38,169,,,,0.0,,,,,,,0.0,,,,0.0,,GholWi00
4,Allen Robinson,WR,Detroit,2014,2023,0,1,7,48,127,,,,0.0,,,,,3.0,10.0,0.0,9.0,562.0,7028.0,43.0,90.0,RobiAl02
5,Carl Davis,DT,Sterling Heights,2015,2023,0,0,1,13,75,,,,0.0,,,,,,,0.0,,,,0.0,,DaviCa01
6,Jack Conklin,T,Plainwell,2016,2023,2,0,6,53,94,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,ConkJa00
7,Matt Judon,DE,Pontiac,2016,2023,0,4,6,56,114,,,,0.0,,,,,,,0.0,,,,0.0,,JudoMa00
8,Eric Wilson,ILB,Redford,2017,2023,0,0,1,18,108,,,,0.0,,,,,,,0.0,,,,0.0,,WilsEr00
9,Taylor Moton,T,Lansing,2017,2023,0,0,5,38,115,,,,0.0,,,,,,,0.0,,,,0.0,,MotoTa00
10,Tanoh Kpassagnon,DE,Kalamazoo,2017,2023,0,0,2,21,101,,,,0.0,,,,,,,0.0,,,,0.0,,KpasTa00
11,Cooper Rush,QB,Charlotte,2017,2023,0,0,0,5,26,143.0,236.0,1619.0,8.0,73.0,5.0,11.0,76.0,32.0,6.0,0.0,15.0,,,0.0,,RushCo00
12,Jourdan Lewis,CB,Detroit,2017,2023,0,0,2,20,99,,,,0.0,,,,,2.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,LewiJo01
13,Desmond King,FS,Detroit,2017,2023,1,0,4,27,105,,,,0.0,,,,,,,0.0,,,,0.0,,KingDe01
14,Zach Sieler,DE,Howell,2018,2023,0,0,1,24,76,,,,0.0,,,,,,,0.0,,,,0.0,,SielZa00
15,Tyler Conklin,TE,Chesterfield,2018,2023,0,0,2,16,98,,,,0.0,,,,,3.0,3.0,0.0,2.0,212.0,2095.0,7.0,40.0,ConkTy00
16,Tavierre Thomas,DB,Detroit,2018,2023,0,0,0,10,81,,,,0.0,,,,,,,0.0,,,,0.0,,ThomTa01
17,Avonte Maddox,CB,Detroit,2018,2023,0,0,1,14,64,,,,0.0,,,,,,,0.0,,,,0.0,,MaddAv00
18,Tre Herndon,CB,Detroit,2018,2023,0,0,1,14,83,,,,0.0,,,,,,,0.0,,,,0.0,,HernTr00
19,Austin Corbett,G,Detroit,2018,2023,0,0,4,25,76,,,,0.0,,,,,,,0.0,,,,0.0,,CorbAu00
20,Andrew Wylie,T,Midland,2018,2023,0,0,4,36,86,,,,0.0,,,,,,,0.0,,,,0.0,,WyliAn00
21,John Kelly,RB,Oak Park,2018,2023,0,0,0,1,13,,,,0.0,,,,,32.0,96.0,0.0,11.0,2.0,27.0,0.0,18.0,KellJo00
22,Chukwuma Okorafor,T,Southfield,2018,2023,0,0,3,25,77,,,,0.0,,,,,,,0.0,,,,0.0,,OkorCh00
23,Sean Murphy-Bunting,CB,Macomb,2019,2023,0,0,1,19,67,,,,0.0,,,,,,,0.0,,,,0.0,,BuntSe00
24,Del'Shawn Phillips,OLB,Highland Park,2020,2023,0,0,0,5,52,,,,0.0,,,,,,,0.0,,,,0.0,,PhilDe00
25,Malik Taylor,WR,Flint,2020,2023,0,0,0,1,28,,,,0.0,,,,,1.0,9.0,0.0,9.0,9.0,93.0,1.0,26.0,TaylMa01
26,Donovan Peoples-Jones,WR,Detroit,2020,2023,0,0,1,18,58,,,,0.0,,,,,1.0,2.0,0.0,2.0,122.0,1895.0,8.0,75.0,PeopDo00
27,Michael Onwenu,OL,Detroit,2020,2023,0,0,2,22,64,,,,0.0,,,,,,,0.0,,,,0.0,,OnweMi00
28,Cameron Lewis,DB,Detroit,2020,2023,0,0,0,4,42,,,,0.0,,,,,,,0.0,,,,0.0,,LewiCa00
29,Khalid Kareem,DL,Detroit,2020,2023,0,0,0,2,28,,,,0.0,,,,,,,0.0,,,,0.0,,KareKh00
30,Michael Danna,DE,Detroit,2020,2023,0,0,0,13,59,,,,0.0,,,,,,,0.0,,,,0.0,,DannMi00
31,Matt Sokol,TE,Rochester,2020,2023,0,0,0,0,8,,,,0.0,,,,,,,0.0,,,,0.0,,SokoMa00
32,Adam Trautman,TE,Williamsburg,2020,2023,0,0,1,7,60,,,,0.0,,,,,,,0.0,,82.0,845.0,7.0,41.0,TrauAd00
33,Arlington Hambright,T,Ypsilanti,2020,2023,0,0,0,1,11,,,,0.0,,,,,,,0.0,,,,0.0,,HambAr00
34,K.J. Osborn,WR,Ypsilanti,2020,2023,0,0,1,13,59,,,,0.0,,,,,4.0,16.0,0.0,10.0,158.0,1845.0,15.0,66.0,OsboKJ00
35,Tyree Jackson,TE,Norton Shores,2021,2023,0,0,0,0,16,,,,0.0,,,,,,,0.0,,3.0,22.0,1.0,13.0,JackTy01
36,Jalen Mayfield,OL,Grand Rapids,2021,2023,0,0,1,7,19,,,,0.0,,,,,,,0.0,,,,0.0,,MayfJa00
