Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Billy Turner,T,Shoreview,2014,2023,0,0,5,35,105,,,,0,,,,,,,0,,,,0,,TurnBi00
2,Adam Thielen,WR,Detroit Lakes,2014,2023,0,2,7,58,152,,,,0,,,,,22.0,178.0,1,41.0,637.0,7696.0,59,71.0,ThieAd00
3,C.J. Ham,RB,Duluth,2017,2023,0,2,2,6,113,,,,0,,,,,37.0,104.0,3,30.0,77.0,635.0,2,36.0,HamxC.00
4,Frank Ragnow,C,Victoria,2018,2023,0,3,4,41,80,,,,0,,,,,,,0,,,,0,,RagnFr00
5,Jesper Horsted,WR,Shoreview,2019,2023,0,0,0,1,41,,,,0,,,,,,,0,,14.0,131.0,3,20.0,HorsJe00
6,Amani Hooker,S,Minneapolis,2019,2023,0,0,2,15,66,,,,0,,,,,2.0,6.0,0,4.0,1.0,6.0,0,6.0,HookAm00
7,Ryan Connelly,LB,Eden Prairie,2019,2023,0,0,0,4,32,,,,0,,,,,,,0,,,,0,,ConnRy00
8,Blake Cashman,LB,Eden Prairie,2019,2023,0,0,0,13,44,,,,0,,,,,,,0,,,,0,,CashBl00
9,Elijah Campbell,DB,St. Paul,2020,2023,0,0,0,2,41,,,,0,,,,,,,0,,,,0,,CampEl00
10,Tyler Johnson,WR,Minneapolis,2020,2023,0,0,0,5,34,,,,0,,,,,,,0,,50.0,537.0,3,35.0,JohnTy00
11,Carter Coughlin,OLB,Eden Prairie,2020,2023,0,0,0,5,55,,,,0,,,,,,,0,,,,0,,CougCa00
12,Kayode Awosika,T,Plymouth,2021,2023,0,0,0,4,26,,,,0,,,,,,,0,,,,0,,AwosKa00
13,Dillon Radunz,OL,Becker,2021,2023,0,0,0,7,39,,,,0,,,,,,,0,,,,0,,RaduDi00
14,Boye Mafe,DE,Golden Valley,2022,2023,0,0,0,8,33,,,,0,,,,,,,0,,,,0,,MafeBo00
15,Ty Okada,SS,Woodbury,2023,2023,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,OkadTy00
16,Nash Jensen,G,Maple Grove,2023,2023,0,0,0,2,11,,,,0,,,,,,,0,,,,0,,JensNa00
17,Evan Hull,RB,Maple Grove,2023,2023,0,0,0,0,1,,,,0,,,,,1.0,1.0,0,1.0,1.0,6.0,0,6.0,HullEv00
18,Tucker Fisk,TE,Edina,2023,2023,0,0,0,0,6,,,,0,,,,,,,0,,1.0,9.0,0,9.0,FiskTu00
19,Tom Compton,T,Rosemount,2013,2022,0,0,2,22,124,,,,0,,,,,,,0,,,,0,,CompTo00
20,Maxx Williams,TE,Waconia,2015,2022,0,0,2,8,83,,,,0,,,,,5.0,14.0,0,7.0,105.0,1012.0,6,42.0,WillMa04
21,Joe Haeg,T,Lake Shore,2016,2022,0,0,2,22,80,,,,0,,,,,,,0,,,,0,,HaegJo00
22,Chase Roullier,C,Burnsville,2017,2022,0,0,4,24,69,,,,0,,,,,,,0,,,,0,,RoulCh00
23,Brandon Zylstra,WR,Spicer,2018,2022,0,0,0,3,55,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,30.0,414.0,1,55.0,ZylsBr00
24,J.C. Hassenauer,C,Woodbury,2020,2022,0,0,0,6,45,,,,0,,,,,,,0,,,,0,,HassJ.00
25,Chris Jackson,S,Minneapolis,2020,2022,0,0,0,2,24,,,,0,,,,,,,0,,,,0,,JackCh01
26,Ben Ellefson,TE,Hawley,2020,2022,0,0,0,0,16,,,,0,,,,,,,0,,4.0,36.0,0,12.0,ElleBe00
27,Shane Zylstra,TE,Spicer,2021,2022,0,0,0,1,17,,,,0,,,,,,,0,,14.0,94.0,4,16.0,ZylsSh00
28,Elerson Smith,DE,Minneapolis,2021,2022,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,SmitEl00
29,Trey Lance,QB,Marshall,2021,2022,0,0,0,4,8,56.0,102.0,797.0,5,76.0,3.0,6.0,24.0,54.0,235.0,1,15.0,,,0,,LancTr00
30,Tommy Doyle,T,Edina,2021,2022,0,0,0,1,12,,,,0,,,,,,,0,,,,0,,DoylTo00
31,Zack Johnson,G,Blaine,2022,2022,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,JohnZa00
32,Lewis Kidd,OL,Minneapolis,2022,2022,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,KiddLe00
33,Ross Travis,TE,Chaska,2016,2021,0,0,0,0,29,,,,0,,,,,,,0,,14.0,142.0,0,25.0,TravRo00
34,Kamal Martin,LB,Burnsville,2020,2021,0,0,0,4,16,,,,0,,,,,,,0,,,,0,,MartKa01
35,Larry Fitzgerald,WR,Minneapolis,2004,2020,1,11,17,93,263,2.0,4.0,53.0,1,32.0,0.0,1.0,7.0,20.0,68.0,0,15.0,1432.0,17492.0,121,80.0,FitzLa00
36,James Onwualu,OLB,St. Paul,2017,2020,0,0,0,1,16,,,,0,,,,,,,0,,,,0,,OnwuJa00
37,Terrell Suggs,LB,Minneapolis,2003,2019,1,7,15,110,244,,,,0,,,,,,,0,,,,0,,SuggTe99
38,Marcus Sherels,DB,Rochester,2010,2019,0,0,0,13,128,,,,0,,,,,,,0,,,,0,,SherMa20
39,Beau Allen,DT,St. Louis Park,2014,2019,0,0,1,13,90,,,,0,,,,,,,0,,,,0,,AlleBe00
40,Seantrel Henderson,T,St. Paul,2014,2019,0,0,2,14,39,,,,0,,,,,,,0,,,,0,,HendSe00
41,Zach Zenner,RB,Eagan,2015,2019,0,0,0,6,41,,,,0,,,,,177.0,683.0,8,29.0,29.0,282.0,0,33.0,ZennZa00
42,Jester Weah,WR,Minneapolis,2019,2019,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,WeahJe01
43,Ramon Humber,MLB,Brooklyn Park,2009,2018,0,0,1,16,136,,,,0,,,,,,,0,,,,0,,HumbRa00
44,Michael Floyd,WR,St. Paul,2012,2018,0,0,3,28,102,,,,0,,,,,1.0,2.0,0,2.0,266.0,3959.0,25,91.0,FloyMi00
45,Marcus Williams,CB,Minneapolis,2014,2018,0,0,0,10,54,,,,0,,,,,,,0,,1.0,31.0,0,31.0,WillMa03
46,Tyler Marz,T,Springfield,2018,2018,0,0,0,1,6,,,,0,,,,,,,0,,,,0,,MarzTy01
47,Eric Decker,WR,Cold Spring,2010,2017,0,0,5,45,111,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,439.0,5816.0,53,74.0,DeckEr00
48,C.J. Smith,CB,Savage,2016,2017,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,SmitC.00
49,Ryan Harris,T,Minneapolis,2007,2016,0,0,5,33,114,,,,0,,,,,,,0,,,,0,,HarrRy20
50,James Laurinaitis,LB,Hamel,2009,2016,0,0,7,51,117,,,,0,,,,,,,0,,,,0,,LaurJa99
51,Ra'Shede Hageman,DT,Minneapolis,2014,2016,0,0,1,8,44,,,,0,,,,,,,0,,,,0,,HageRa00
52,Isaac Fruechte,WR,Caledonia,2016,2016,0,0,0,0,1,,,,0,,,,,,,0,,0.0,0.0,0,0.0,FrueIs00
53,Matt Spaeth,TE,St. Michael,2007,2015,0,0,6,2,123,,,,0,,,,,,,0,,55.0,420.0,10,33.0,SpaeMa00
54,Craig Dahl,DB,Mankato,2007,2015,0,0,2,22,117,,,,0,,,,,1.0,3.0,0,3.0,,,0,,DahlCr99
55,Brian Leonhardt,TE,Blaine,2014,2015,0,0,0,0,16,,,,0,,,,,,,0,,7.0,39.0,1,12.0,LeonBr01
56,John Crockett,RB,Minneapolis,2015,2015,0,0,0,0,2,,,,0,,,,,9.0,21.0,0,12.0,,,0,,CrocJo00
57,John Carlson,TE,St. Cloud,2008,2014,0,0,4,16,90,,,,0,,,,,,,0,,210.0,2256.0,15,42.0,CarlJo00
58,Paul Cornick,T,Orono,2014,2014,0,0,0,4,12,,,,0,,,,,,,0,,,,0,,CornPa00
