Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Blaine Gabbert,QB,Ballwin,2011,2023,0,0,2,17,69,882.0,1568.0,9487.0,51.0,80.0,50.0,141.0,942.0,201.0,685.0,3.0,44.0,1.0,-16.0,0.0,0.0,GabbBl00
2,Markus Golden,OLB,St. Louis,2015,2023,0,0,4,33,127,,,,0.0,,,,,,,0.0,,,,0.0,,GoldMa00
3,Ezekiel Elliott,RB,St. Louis,2016,2023,1,3,7,67,120,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2065.0,8904.0,71.0,60.0,356.0,2649.0,14.0,83.0,ElliEz00
4,Dylan Cole,OLB,Springfield,2017,2023,0,0,0,9,77,,,,0.0,,,,,,,0.0,,,,0.0,,ColeDy00
5,Charles Harris,DE,Kansas City,2017,2023,0,0,1,15,90,,,,0.0,,,,,,,0.0,,,,0.0,,HarrCh03
6,Foyesade Oluokun,LB,St. Louis,2018,2023,0,0,3,34,98,,,,0.0,,,,,,,0.0,,,,0.0,,OluoFo00
7,Dalton Risner,OL,Brandon,2019,2023,0,0,4,25,77,,,,0.0,,,,,,,0.0,,,,0.0,,RisnDa00
8,Khalen Saunders,DT,St. Louis,2019,2023,0,0,0,13,55,,,,0.0,,,,,,,0.0,,,,0.0,,SaunKh00
9,Drew Lock,QB,Columbia,2019,2023,0,0,1,13,28,469.0,786.0,5283.0,28.0,92.0,23.0,39.0,227.0,77.0,299.0,5.0,23.0,1.0,1.0,0.0,1.0,LockDr00
10,Jonathan Owens,S,St. Louis,2019,2023,0,0,1,11,48,,,,0.0,,,,,,,0.0,,,,0.0,,OwenJo01
11,Armon Watts,DL,St. Louis,2019,2023,0,0,1,12,72,,,,0.0,,,,,,,0.0,,,,0.0,,WattAr01
12,Khalil Davis,DL,Blue Springs,2020,2023,0,0,0,2,18,,,,0.0,,,,,,,0.0,,,,0.0,,DaviKh00
13,Trystan Colon-Castillo,C,Webb City,2020,2023,0,0,0,6,34,,,,0.0,,,,,,,0.0,,,,0.0,,ColoTr01
14,Tershawn Wharton,DE,University City,2020,2023,0,0,0,6,55,,,,0.0,,,,,,,0.0,,,,0.0,,WharTe00
15,Charlie Heck,OL,Kansas City,2020,2023,0,0,1,10,41,,,,0.0,,,,,,,0.0,,0.0,8.0,0.0,8.0,HeckCh00
16,Dalton Keene,TE,St. Louis,2020,2023,0,0,0,0,7,,,,0.0,,,,,,,0.0,,3.0,16.0,0.0,8.0,KeenDa00
17,Jabril Cox,LB,Kansas City,2021,2023,0,0,0,3,26,,,,0.0,,,,,,,0.0,,,,0.0,,CoxxJa00
18,Jameson Williams,WR,St. Louis,2022,2023,0,0,0,5,18,,,,0.0,,,,,4.0,69.0,1.0,40.0,25.0,395.0,3.0,63.0,WillJa11
19,Sam Roberts,DE,Waynesville,2022,2023,0,0,0,1,12,,,,0.0,,,,,,,0.0,,,,0.0,,RobeSa00
20,Devin Lloyd,LB,Kansas City,2022,2023,0,0,1,15,32,,,,0.0,,,,,,,0.0,,,,0.0,,LloyDe00
21,Michael Niese,OL,Chesterfield,2023,2023,0,0,0,0,1,,,,0.0,,,,,,,0.0,,,,0.0,,NiesMi00
22,Ronnie Perkins,LB,St. Louis,2023,2023,0,0,0,0,7,,,,0.0,,,,,,,0.0,,,,0.0,,PerkRo00
23,Brandon Aubrey,K,St. Louis,2023,2023,1,1,0,5,17,,,,0.0,,,,,,,0.0,,,,0.0,,AubrBr00
24,Adetomiwa Adebawore,DE,Kansas City,2023,2023,0,0,0,1,10,,,,0.0,,,,,,,0.0,,,,0.0,,AdebAd00
25,Felix Anudike-Uzomah,DE,Kansas City,2023,2023,0,0,0,1,17,,,,0.0,,,,,,,0.0,,,,0.0,,AnudFe00
26,Blake Grupe,K,Sedalia,2023,2023,0,0,0,3,17,,,,0.0,,,,,,,0.0,,,,0.0,,GrupBl00
27,Brandon Williams,DT,Kirkwood,2013,2022,0,1,8,51,128,,,,0.0,,,,,,,0.0,,,,0.0,,WillBr02
28,Christian Kirksey,OLB,St. Louis,2014,2022,0,0,5,40,114,,,,0.0,,,,,,,0.0,,,,0.0,,KirkCh00
29,Kendall Blanton,TE,Blue Springs,2019,2022,0,0,0,0,16,,,,0.0,,,,,,,0.0,,6.0,72.0,0.0,28.0,BlanKe01
30,Drew Forbes,T,Bonne Terre,2019,2022,0,0,0,1,13,,,,0.0,,,,,,,0.0,,,,0.0,,ForbDr00
31,Renell Wren,DL,St. Louis,2019,2022,0,0,0,2,13,,,,0.0,,,,,,,0.0,,,,0.0,,WrenRe00
32,Carlos Davis,DL,Blue Springs,2020,2022,0,0,0,1,12,,,,0.0,,,,,,,0.0,,,,0.0,,DaviCa03
33,William Bradley-King,DE,Kansas City,2021,2022,0,0,0,0,4,,,,0.0,,,,,,,0.0,,,,0.0,,BradWi00
