Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Fletcher Cox,DT,Yazoo City,2012,2023,1,6,11,95,188,,,,0,,,,,,,0,,,,0,,CoxxFl00
2,Demario Davis,OLB,Collins,2012,2023,1,2,10,98,194,,,,0,,,,,,,0,,,,0,,DaviDe00
3,Gabe Jackson,G,Liberty,2014,2023,0,0,9,47,136,,,,0,,,,,,,0,,2.0,-5.0,0,1.0,JackGa00
4,Ty Montgomery,WR,Jackson,2015,2023,0,0,1,17,92,,,,0,,,,,263.0,1187.0,7,61.0,147.0,1159.0,4,43.0,MontTy01
5,Mario Edwards,DE,Gautier,2015,2023,0,0,1,18,114,,,,0,,,,,,,0,,,,0,,EdwaMa01
6,Chris Jones,DT,Houston,2016,2023,2,5,7,77,123,,,,0,,,,,,,0,,,,0,,JoneCh09
7,Justin Evans,SS,Wiggins,2017,2023,0,0,2,10,43,,,,0,,,,,,,0,,,,0,,EvanJu00
8,J.T. Gray,DB,Clarksdale,2018,2023,1,1,0,13,81,,,,0,,,,,,,0,,,,0,,GrayJ.00
9,Logan Cooke,P,Columbia,2018,2023,0,0,1,14,95,4.0,4.0,33.0,0,13.0,0.0,1.0,19.0,,,0,,,,0,,CookLo00
10,Charvarius Ward,DB,McComb,2018,2023,0,1,4,29,90,,,,0,,,,,,,0,,,,0,,WardCh01
11,KhaDarel Hodge,WR,D'Lo,2018,2023,0,0,0,7,89,,,,0,,,,,1.0,0.0,0,0.0,57.0,864.0,1,52.0,HodgKh00
12,Darrell Henderson,RB,Bateville,2019,2023,0,0,1,15,54,,,,0,,,,,442.0,1854.0,15,40.0,76.0,577.0,4,32.0,HendDa00
13,A.J. Brown,WR,Starkville,2019,2023,0,3,4,57,77,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,5.0,70.0,1,49.0,379.0,5947.0,42,91.0,BrowAJ00
14,Elgton Jenkins,OL,Clarksdale,2019,2023,0,2,3,38,70,,,,0,,,,,,,0,,,,0,,JenkEl00
15,Johnathan Abram,S,Columbia,2019,2023,0,0,2,13,52,,,,0,,,,,,,0,,,,0,,AbraJo01
16,D.K. Metcalf,WR,Oxford,2019,2023,0,2,4,46,82,,,,0,,,,,3.0,17.0,0,7.0,372.0,5332.0,43,84.0,MetcDK00
17,Gardner Minshew II,QB,Flowood,2019,2023,0,1,2,29,49,891.0,1423.0,9937.0,59,78.0,24.0,105.0,577.0,146.0,621.0,5,23.0,1.0,0.0,0,0.0,MinsGa00
18,Damien Lewis,OL,Biloxi,2020,2023,0,0,3,26,61,,,,0,,,,,,,0,,,,0,,LewiDa05
19,Willie Gay Jr.,OLB,Starkville,2020,2023,0,0,3,22,57,,,,0,,,,,,,0,,,,0,,GayJWi00
20,Saahdiq Charles,OL,Jackson,2020,2023,0,0,0,8,35,,,,0,,,,,,,0,,,,0,,CharSa00
21,Cam Akers,RB,Jackson,2020,2023,0,0,1,11,36,0.0,0.0,0.0,0,0.0,0.0,1.0,7.0,398.0,1581.0,11,61.0,38.0,320.0,1,38.0,AkerCa00
22,Darius Harris,LB,Horn Lake,2020,2023,0,0,0,4,33,,,,0,,,,,,,0,,,,0,,HarrDa07
23,Tyre Phillips,OL,Grenada,2020,2023,0,0,0,11,44,,,,0,,,,,,,0,,,,0,,PhilTy00
24,Raekwon Davis,DL,Meridian,2020,2023,0,0,3,22,63,,,,0,,,,,,,0,,,,0,,DaviRa03
25,Kevin Dotson,OL,West Point,2020,2023,0,0,1,17,53,,,,0,,,,,,,0,,,,0,,DotsKe00
26,Benito Jones,DT,Waynesboro,2020,2023,0,0,0,8,40,,,,0,,,,,,,0,,,,0,,JoneBe03
27,Kenneth Gainwell,RB,Yazoo City,2021,2023,0,0,0,13,49,1.0,1.0,17.0,0,17.0,0.0,0.0,0.0,205.0,895.0,11,32.0,86.0,605.0,1,20.0,GainKe00
28,D'Wayne Eskridge,WR,Winona,2021,2023,0,0,0,2,24,,,,0,,,,,8.0,74.0,0,30.0,17.0,122.0,1,17.0,EskrDW00
29,Brandin Echols,CB,Memphis,2021,2023,0,0,1,7,41,,,,0,,,,,,,0,,1.0,18.0,0,18.0,EchoBr00
30,D.J. Montgomery,WR,Durant,2021,2023,0,0,0,0,10,,,,0,,,,,,,0,,6.0,92.0,1,34.0,MontDJ01
31,Christian Holmes,CB,Leland,2022,2023,0,0,0,3,30,,,,0,,,,,,,0,,,,0,,HolmCh00
32,Tim Jones,WR,Biloxi,2022,2023,0,0,0,1,34,,,,0,,,,,,,0,,14.0,113.0,0,20.0,JoneTi00
33,Nakobe Dean,LB,Horn Lake,2022,2023,0,0,0,2,22,,,,0,,,,,,,0,,,,0,,DeanNa00
34,DeAundre Alford,DB,Hernando,2022,2023,0,0,0,4,32,,,,0,,,,,,,0,,,,0,,AlfoDe00
35,J.J. Russell,LB,Grenada,2022,2023,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,RussJJ00
36,Jaylin Williams,,,2023,2023,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,WillJa14
37,Chris Blair,,Louisville,2023,2023,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,BlaiCh00
