Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Will Dissly,TE,Bozeman,2018,2023,0,0,3,11,72,,,,0,,,,,1.0,7.0,0,7.0,127.0,1421.0,13,66.0,DissWi00
2,Troy Andersen,LB,Dillon,2022,2023,0,0,0,4,19,,,,0,,,,,,,0,,,,0,,AndeTr00
3,Patrick O'Connell,,Kalispell,2023,2023,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,OConPa01
4,Lance McCutcheon,WR,Bozeman,2022,2022,0,0,0,0,10,,,,0,,,,,,,0,,0.0,0.0,0,0.0,McCuLa01
5,Michael Person,T,Glendive,2013,2019,0,0,3,23,73,,,,0,,,,,,,0,,,,0,,PersMi00
6,Brock Coyle,MLB,Bozeman,2014,2018,0,0,1,10,52,,,,0,,,,,,,0,,,,0,,CoylBr00
7,Colt Anderson,DB,Butte,2010,2017,0,0,0,6,84,,,,0,,,,,1.0,-1.0,0,0.0,0.0,0.0,0,0.0,AndeCo01
8,Jordan Tripp,OLB,Missoula,2014,2017,0,0,0,3,37,,,,0,,,,,,,0,,,,0,,TripJo00
9,Marc Mariani,WR,Havre,2010,2016,0,1,0,5,70,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,2.0,19.0,0,15.0,27.0,324.0,0,26.0,MariMa00
10,Chase Reynolds,RB,Drummond,2013,2016,0,0,0,0,59,,,,0,,,,,,,0,,1.0,4.0,0,4.0,ReynCh00
11,Dwan Edwards,DT,Billings,2004,2015,0,0,5,32,136,,,,0,,,,,,,0,,,,0,,EdwaDw20
12,Kroy Biermann,OLB,Hardin,2008,2015,0,0,3,24,114,,,,0,,,,,,,0,,,,0,,BierKr99
13,Dane Fletcher,MLB,Bozeman,2010,2014,0,0,0,8,54,,,,0,,,,,,,0,,0.0,0.0,0,0.0,FletDa00
14,Shann Schillinger,DB,Baker,2010,2013,0,0,0,2,37,1.0,1.0,-8.0,0,0.0,0.0,0.0,0.0,,,0,,,,0,,SchiSh99
15,Lex Hilliard,RB,Kalispell,2009,2012,0,0,1,3,62,,,,0,,,,,48.0,163.0,2,18.0,30.0,233.0,2,18.0,HillLe00
16,Cory Procter,G,Missoula,2007,2010,0,0,1,10,54,,,,0,,,,,,,0,,,,0,,ProcCo20
17,Casey Fitzsimmons,TE,Wolf Point,2003,2009,0,0,1,6,99,,,,0,,,,,,,0,,88.0,677.0,5,27.0,FitzCa00
18,Tuff Harris,DB,Colstrip,2007,2008,0,0,0,0,7,,,,0,,,,,,,0,,,,0,,HarrTu20
19,Thatcher Szalay,G,Whitefish,2002,2005,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,SzalTh20
20,Dylan McFarland,T,Kalispell,2004,2005,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,McFaDy20
21,Tim Hauck,DB,Butte,1990,2002,0,0,1,17,183,,,,0,,,,,,,0,,,,0,,HaucTi20
22,Travis Dorsch,P,Bozeman,2002,2002,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,DorsTr20
23,Ryan Leaf,QB,Great Falls,1998,2001,0,0,1,1,25,317.0,655.0,3666.0,14,83.0,36.0,65.0,377.0,59.0,127.0,0,20.0,,,0,,LeafRy00
24,John Friesz,QB,Missoula,1990,2000,0,0,1,26,69,745.0,1364.0,8699.0,45,81.0,42.0,74.0,487.0,53.0,29.0,0,11.0,,,0,,FrieJo00
25,Kris Heppner,K,Great Falls,2000,2000,0,0,0,0,8,,,,0,,,,,,,0,,,,0,,heppnkri01
26,Dallas Neil,TE,Great Falls,2000,2000,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,NeilDa20
27,Joe Cummings,LB,Missoula,1996,1999,0,0,0,3,28,,,,0,,,,,,,0,,,,0,,CummJo20
28,Blaine McElmurry,DB,Helena,1997,1999,0,0,0,1,19,,,,0,,,,,,,0,,,,0,,McElBl20
29,Scott Curry,T,Conrad,1999,1999,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,CurrSc20
30,Kirk Scrafford,T,Billings,1990,1998,0,0,3,29,99,,,,0,,,,,,,0,,,,0,,ScraKi20
31,Shane Collins,DE,Roundup,1992,1994,0,0,0,6,30,,,,0,,,,,,,0,,,,0,,CollSh20
32,Tom Neville,G,Great Falls,1986,1992,0,0,1,9,50,,,,0,,,,,,,0,,,,0,,NeviTo20
33,Rick Dennison,LILB,Kalispell,1982,1990,0,0,3,31,128,,,,0,,,,,,,0,,,,0,,DennRi20
34,Kevin Sweeney,QB,Bozeman,1987,1988,0,0,0,2,6,47.0,106.0,605.0,7,77.0,6.0,12.0,95.0,11.0,42.0,0,10.0,,,0,,SweeKe00
35,Kirk Timmer,LB,Butte,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,TimmKi20
36,Jim Kalafat,LB,Great Falls,1987,1987,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,KalaJi20
37,Mark Fellows,LB,Billings,1985,1986,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,FellMa20
38,Brian Salonen,LB,Glasgow,1984,1985,0,0,0,3,32,,,,0,,,,,,,0,,,,0,,SaloBr20
39,Mike McLeod,DB,Bozeman,1984,1985,0,0,0,3,20,,,,0,,,,,,,0,,,,0,,McLeMi20
40,Pat Donovan,T,Helena,1975,1983,0,4,7,64,129,,,,0,,,,,,,0,,,,0,,DonoPa00
41,Pat Ogrin,DT,Butte,1981,1982,0,0,0,0,8,,,,0,,,,,,,0,,,,0,,OgriPa20
42,Keith Wortman,T,Billings,1972,1981,0,0,3,25,96,,,,0,,,,,,,0,,,,0,,WortKe20
43,Don Schwartz,DB,Billings,1978,1981,0,0,0,8,51,,,,0,,,,,,,0,,,,0,,SchwDo20
44,Mike Friede,WR,Havre,1980,1981,0,0,1,5,27,,,,0,,,,,,,0,,40.0,621.0,1,48.0,FrieMi00
45,Terry Falcon,G,Culbertson,1978,1980,0,0,0,9,31,,,,0,,,,,,,0,,,,0,,FalcTe20
