Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Jimmy Graham,TE,Goldsboro,2010,2023,1,5,10,61,197,,,,0,,,,,2.0,3.0,0,3.0,719.0,8545.0,89,59.0,GrahJi00
2,Melvin Ingram,DE,Hamlet,2012,2023,0,3,6,57,148,,,,0,,,,,1.0,0.0,0,0.0,,,0,,IngrMe00
3,Keenan Allen,WR,Greensboro,2013,2023,0,6,9,74,139,1.0,4.0,49.0,1,49.0,0.0,1.0,7.0,18.0,113.0,0,28.0,904.0,10530.0,59,54.0,AlleKe00
4,Tyler Shatley,G,Icard,2014,2023,0,0,1,24,145,,,,0,,,,,,,0,,,,0,,ShatTy00
5,Denico Autry,DE,Albermarle,2014,2023,0,0,5,41,142,,,,0,,,,,,,0,,,,0,,AutrDe00
6,Jamison Crowder,WR,Monroe,2015,2023,0,0,4,32,117,1.0,2.0,43.0,1,43.0,0.0,1.0,3.0,17.0,82.0,0,25.0,431.0,4826.0,29,79.0,CrowJa00
7,Bradley Pinion,P,Concord,2015,2023,0,0,1,12,145,,,,0,,,,,,,0,,,,0,,PiniBr00
8,Kendall Lamm,T,Charlotte,2015,2023,0,0,1,22,104,,,,0,,,,,,,0,,2.0,8.0,1,7.0,LammKe00
9,D.J. Reader,DT,Greensboro,2016,2023,0,0,4,39,105,,,,0,,,,,,,0,,,,0,,ReadD.00
10,Jarran Reed,DT,Goldsboro,2016,2023,0,0,6,43,122,,,,0,,,,,,,0,,,,0,,ReedJa02
11,Carson Wentz,QB,Raleigh,2016,2023,0,1,6,60,95,2073.0,3308.0,22292.0,153,76.0,67.0,239.0,1533.0,354.0,1418.0,11,40.0,2.0,11.0,0,7.0,WentCa00
12,Romeo Okwara,DE,Charlotte,2016,2023,0,0,2,18,92,,,,0,,,,,,,0,,,,0,,OkwaRo01
13,D.J. Humphries,T,Charlotte,2016,2023,0,1,6,44,98,,,,0,,,,,,,0,,,,0,,HumpD.00
14,Matthias Farley,DB,Charlotte,2016,2023,0,0,1,12,105,1.0,1.0,6.0,0,6.0,0.0,0.0,0.0,1.0,-3.0,0,0.0,,,0,,FarlMa00
15,Javon Hargrave,DT,Salisbury,2016,2023,0,2,7,52,127,,,,0,,,,,,,0,,,,0,,HargJa00
16,Jonathan Bullard,DE,Shelby,2016,2023,0,0,1,19,99,,,,0,,,,,,,0,,,,0,,BullJo00
17,Carlos Watkins,DT,Forest City,2017,2023,0,0,1,19,71,,,,0,,,,,,,0,,,,0,,WatkCa00
18,Brandon Parker,T,Kannapolis,2018,2023,0,0,2,15,59,,,,0,,,,,,,0,,,,0,,ParkBr01
19,Emmanuel Moseley,CB,Greensboro,2018,2023,0,0,3,12,46,,,,0,,,,,,,0,,,,0,,MoseEm00
20,Tyquan Lewis,DE,Tarboro,2018,2023,0,0,0,11,65,,,,0,,,,,,,0,,,,0,,LewiTy00
21,Mike Hughes,CB,New Bern,2018,2023,0,0,0,11,72,,,,0,,,,,,,0,,,,0,,HughMi00
22,B.J. Hill,DT,Oakboro,2018,2023,0,0,3,27,97,,,,0,,,,,,,0,,,,0,,HillB.00
23,Harold Landry,OLB,Spring Lake,2018,2023,0,1,3,33,81,,,,0,,,,,,,0,,,,0,,LandHa00
24,Jaire Alexander,CB,Charlotte,2018,2023,0,2,4,32,71,,,,0,,,,,,,0,,,,0,,AlexJa00
25,Germaine Pratt,OLB,High Point,2019,2023,0,0,4,34,79,,,,0,,,,,,,0,,,,0,,PratGe00
26,Dexter Lawrence,DL,Wake Forest,2019,2023,0,2,3,43,80,,,,0,,,,,,,0,,,,0,,LawrDe03
27,Kentavius Street,DT,Greenville,2019,2023,0,0,0,9,65,,,,0,,,,,,,0,,,,0,,StreKe00
28,Oli Udoh,T,Fayetteville,2019,2023,0,0,1,8,43,,,,0,,,,,,,0,,,,0,,UdohOl01
29,Braxton Berrios,WR,Raleigh,2019,2023,1,0,0,11,81,1.0,1.0,2.0,1,2.0,0.0,0.0,0.0,20.0,171.0,4,25.0,134.0,1323.0,6,69.0,BerrBr00
30,Phil Haynes,OL,Raleigh,2019,2023,0,0,0,6,31,,,,0,,,,,,,0,,,,0,,HaynPh00
31,Daniel Jones,QB,Charlotte,2019,2023,0,0,4,38,60,1221.0,1900.0,12512.0,62,75.0,40.0,179.0,1151.0,332.0,1914.0,13,80.0,1.0,16.0,0,16.0,JoneDa05
32,Garrett Bradbury,OL,Charlotte,2019,2023,0,0,4,28,71,,,,0,,,,,,,0,,2.0,17.0,0,21.0,BradGa00
33,Shy Tuttle,DL,Winston-Salem,2019,2023,0,0,2,24,80,,,,0,,,,,,,0,,,,0,,TuttSh00
34,Alex Highsmith,DL,Wilmington,2020,2023,0,0,2,26,66,,,,0,,,,,,,0,,,,0,,HighAl02
35,Kendal Vickers,DE,Havelock,2020,2023,0,0,0,3,27,,,,0,,,,,,,0,,,,0,,VickKe00
36,Akeem Davis-Gaither,OLB,Thomasville,2020,2023,0,0,0,6,54,,,,0,,,,,,,0,,,,0,,DaviAk01
37,Rico Dowdle,RB,Asheville,2020,2023,0,0,0,4,36,,,,0,,,,,96.0,385.0,2,21.0,17.0,144.0,2,32.0,DowdRi01
38,Larrell Murchison,DL,Elizabethtown,2020,2023,0,0,0,6,44,,,,0,,,,,,,0,,,,0,,MurcLa00
39,James Smith-Williams,DL,Raleigh,2020,2023,0,0,1,13,55,,,,0,,,,,,,0,,,,0,,SmitJa08
40,Javonte Williams,RB,Wallace,2021,2023,0,0,0,15,37,,,,0,,,,,467.0,1881.0,7,49.0,106.0,620.0,5,42.0,WillJa10
41,Landon Dickerson,OL,Hickory,2021,2023,0,2,2,23,47,,,,0,,,,,,,0,,,,0,,DickLa00
42,Chazz Surratt,LB,Denver,2021,2023,0,0,0,2,24,,,,0,,,,,,,0,,,,0,,SurrCh00
43,Alim McNeill,NT,Raleigh,2021,2023,0,0,1,13,47,,,,0,,,,,,,0,,,,0,,McNeAl00
44,Dyami Brown,WR,Charlotte,2021,2023,0,0,0,3,47,1.0,1.0,4.0,0,4.0,0.0,0.0,0.0,3.0,11.0,0,15.0,29.0,476.0,3,75.0,BrowDy00
45,Nick Leverett,G,Salisbury,2021,2023,0,0,1,4,16,,,,0,,,,,,,0,,,,0,,LeveNi00
46,Divine Deablo,LB,Winston-Salem,2021,2023,0,0,0,14,40,,,,0,,,,,,,0,,,,0,,DeabDi00
47,Sam Howell,QB,Waynesville,2022,2023,0,0,0,12,18,399.0,631.0,4115.0,22,52.0,22.0,68.0,460.0,53.0,298.0,6,24.0,1.0,4.0,0,4.0,HoweSa00
48,Timmy Horne,DT,Wadesboro,2022,2023,0,0,0,3,21,,,,0,,,,,,,0,,,,0,,HornTi00
49,Dareke Young,WR,Raleigh,2022,2023,0,0,0,0,19,,,,0,,,,,,,0,,2.0,24.0,0,12.0,YounDa02
50,Nick Muse,TE,Belmont,2022,2023,0,0,0,0,12,,,,0,,,,,,,0,,1.0,22.0,0,22.0,MuseNi00
51,Joshua Williams,CB,Fayetteville,2022,2023,0,0,0,3,33,,,,0,,,,,,,0,,,,0,,WillJo03
52,Brock Hoffman,C,Statesville,2022,2023,0,0,0,2,20,,,,0,,,,,,,0,,,,0,,HoffBr00
53,Matthew Butler,DT,Fayetteville,2022,2023,0,0,0,0,8,,,,0,,,,,,,0,,,,0,,ButlMa02
54,NaJee Thompson,CB,Rutherfordton,2023,2023,0,0,0,1,15,,,,0,,,,,,,0,,,,0,,ThomNa00
55,Jovaughn Gwyn,,Charlotte,2023,2023,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,GwynJo00
56,Kion Smith,T,Lumberton,2023,2023,0,0,0,1,9,,,,0,,,,,,,0,,,,0,,SmitKi00
57,Garrett Williams,CB,Charlotte,2023,2023,0,0,0,2,9,,,,0,,,,,,,0,,,,0,,WillGa00
58,Emanuel Wilson,RB,Charlotte,2023,2023,0,0,0,1,7,,,,0,,,,,14.0,85.0,0,31.0,4.0,23.0,0,9.0,WilsEm00
59,Jaleel McLaughlin,RB,Marshville,2023,2023,0,0,0,4,17,,,,0,,,,,76.0,410.0,1,38.0,31.0,160.0,2,22.0,McLaJa00
60,Ethan Evans,P,Mount Airy,2023,2023,0,0,0,2,17,,,,0,,,,,,,0,,,,0,,EvanEt00
61,Jordon Riley,DL,New Bern,2023,2023,0,0,0,1,8,,,,0,,,,,,,0,,,,0,,RileJo00
62,Julian Hill,TE,Fayetteville,2023,2023,0,0,0,0,15,,,,0,,,,,,,0,,6.0,48.0,0,18.0,HillJu02
63,Ryan Succop,K,Hickory,2009,2022,0,0,1,29,216,,,,0,,,,,,,0,,,,0,,SuccRy44
64,Pharoh Cooper,WR,Havelock,2016,2022,1,1,0,6,75,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,7.0,26.0,0,6.0,61.0,545.0,1,32.0,CoopPh00
65,Juston Burris,CB,Raleigh,2016,2022,0,0,2,14,80,,,,0,,,,,,,0,,,,0,,BurrJu00
66,Breon Borders,CB,Stateville,2017,2022,0,0,0,4,32,,,,0,,,,,,,0,,,,0,,BordBr00
67,Keion Crossen,CB,Garysburg,2018,2022,0,0,0,6,75,,,,0,,,,,,,0,,0.0,0.0,0,0.0,CrosKe00
68,Nyheim Hines,RB,Garner,2018,2022,0,0,0,25,81,,,,0,,,,,306.0,1202.0,10,34.0,240.0,1778.0,8,36.0,HineNy00
69,Anthony Rush,NT,Raleigh,2019,2022,0,0,0,5,30,,,,0,,,,,,,0,,,,0,,RushAn00
70,Kendall Hinton,WR,Durham,2020,2022,0,0,0,3,29,2.0,10.0,14.0,0,13.0,2.0,1.0,1.0,4.0,20.0,0,13.0,39.0,486.0,1,40.0,HintKe00
71,Antonio Williams,RB,New London,2020,2022,0,0,0,1,3,,,,0,,,,,12.0,63.0,2,18.0,1.0,20.0,0,20.0,WillAn03
72,Myles Dorn,DB,Charlotte,2021,2022,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,DornMy01
