Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Greg Zuerlein,K,Lincoln,2012,2023,1,1,1,29,184,,,,0,,,,,,,0,,,,0,,ZuerGr00
2,Cody Whitehair,G,Kearney,2016,2023,0,1,7,43,124,,,,0,,,,,,,0,,,,0,,WhitCo03
3,Chris Reed,G,Omaha,2016,2023,0,0,1,15,70,,,,0,,,,,,,0,,,,0,,ReedCh00
4,Austin Ekeler,RB,Lincoln,2017,2023,0,0,3,52,103,,,,0,,,,,990.0,4355.0,39,72.0,440.0,3884.0,30,84.0,EkelAu00
5,Brett Maher,K,Kearney,2018,2023,0,0,1,8,62,,,,0,,,,,,,0,,,,0,,MaheBr01
6,Harrison Phillips,DT,Omaha,2018,2023,0,0,1,23,79,,,,0,,,,,,,0,,,,0,,PhilHa00
7,Luke Gifford,OLB,Lincoln,2019,2023,0,0,0,5,57,,,,0,,,,,,,0,,,,0,,GiffLu00
8,Noah Fant,TE,Omaha,2019,2023,0,0,4,21,81,,,,0,,,,,3.0,-12.0,0,0.0,252.0,2805.0,14,75.0,FantNo00
9,Isaiah Simmons,OLB,Omaha,2020,2023,0,0,2,19,67,,,,0,,,,,,,0,,,,0,,SimmIs00
10,Easton Stick,QB,Omaha,2020,2023,0,0,0,4,6,112.0,175.0,1133.0,3,79.0,1.0,14.0,122.0,28.0,142.0,1,21.0,,,0,,SticEa00
11,Ben Stille,DL,Ashland,2022,2023,0,0,0,1,12,,,,0,,,,,,,0,,,,0,,StilBe00
12,Cam Jurgens,OL,Beatrice,2022,2023,0,0,0,5,28,,,,0,,,,,,,0,,,,0,,JurgCa01
13,Brandin Bryant,DL,Omaha,2019,2022,0,0,0,0,11,,,,0,,,,,,,0,,,,0,,BryaBr00
14,Cade Johnson,WR,Papillion,2022,2022,0,0,0,0,3,,,,0,,,,,,,0,,2.0,21.0,0,11.0,JohnCa03
15,Sam Koch,P,York,2006,2021,0,1,0,25,256,7.0,8.0,82.0,0,22.0,0.0,0.0,0.0,7.0,10.0,1,10.0,,,0,,KochSa20
16,Andy Janovich,FB,Gretna,2016,2021,0,0,1,2,77,,,,0,,,,,17.0,55.0,4,28.0,27.0,255.0,1,32.0,JanoAn00
17,Kyle Emanuel,OLB,Schuyler,2015,2020,0,0,2,16,71,,,,0,,,,,,,0,,,,0,,EmanKy00
18,Spencer Long,G,Elkhorn,2014,2019,0,0,3,22,67,,,,0,,,,,,,0,,,,0,,LongSp00
19,Niles Paul,WR,Omaha,2011,2018,0,0,1,7,88,,,,0,,,,,5.0,7.0,0,7.0,78.0,954.0,2,50.0,PaulNi00
20,Matt Longacre,DE,Omaha,2015,2018,0,0,1,7,38,,,,0,,,,,,,0,,,,0,,LongMa00
21,Zach Sterup,OL,Hastings,2017,2018,0,0,0,2,12,,,,0,,,,,,,0,,,,0,,SterZa00
22,Nick DeLuca,LB,Omaha,2018,2018,0,0,0,2,9,,,,0,,,,,,,0,,,,0,,DeLuNi00
23,Danny Woodhead,RB,North Platte,2009,2017,0,0,0,38,101,,,,0,,,,,517.0,2238.0,15,36.0,300.0,2698.0,17,61.0,WoodDa02
24,Zach Miller,TE,Wahoo,2009,2017,0,0,2,12,66,,,,0,,,,,3.0,12.0,0,8.0,146.0,1631.0,15,87.0,MillZa02
25,Keenan Robinson,OLB,Omaha,2012,2017,0,0,2,17,58,,,,0,,,,,,,0,,,,0,,RobiKe01
26,Dan Carpenter,K,Omaha,2008,2016,0,1,0,23,140,,,,0,,,,,,,0,,,,0,,CarpDa44
27,Trevor Roach,LB,Elkhorn,2015,2016,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,RoacTr00
28,Trevor Robinson,G,Kearney,2012,2015,0,0,1,13,38,,,,0,,,,,,,0,,,,0,,RobiTr01
29,Shaun Prater,CB,Omaha,2013,2015,0,0,0,2,21,,,,0,,,,,,,0,,,,0,,PratSh00
30,Alex Henery,K,Omaha,2011,2014,0,0,0,8,50,,,,0,,,,,,,0,,,,0,,HeneAl00
31,Jeff Tarpinian,MLB,Omaha,2011,2014,0,0,0,4,32,,,,0,,,,,,,0,,,,0,,TarpJe00
32,Harland Gunn,G,Omaha,2013,2014,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,GunnHa00
33,Phil Bates,WR,Omaha,2014,2014,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,BatePh00
34,Jeromey Clary,T,Norfolk,2007,2013,0,0,6,47,103,,,,0,,,,,,,0,,1.0,-8.0,0,0.0,ClarJe20
35,Stephen Goodin,G,Hastings,2013,2013,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,GoodSt00
36,Russ Hochstein,C,Hartington,2002,2012,0,0,1,27,149,,,,0,,,,,,,0,,0.0,0.0,0,0.0,HochRu20
37,Chris Kelsay,DE,Auburn,2003,2012,0,0,8,46,147,,,,0,,,,,,,0,,,,0,,KelsCh21
38,Scott Shanle,LB,Genoa,2003,2012,0,0,7,41,133,,,,0,,,,,,,0,,,,0,,ShanSc20
39,Barrett Ruud,LB,Lincoln,2005,2012,0,0,5,41,116,,,,0,,,,,,,0,,,,0,,RuudBa20
40,Adam Carriker,DE,Hastings,2007,2012,0,0,3,22,65,,,,0,,,,,,,0,,,,0,,CarrAd99
41,Seth Olsen,G,Omaha,2009,2012,0,0,0,3,14,,,,0,,,,,,,0,,,,0,,OlseSe20
42,Zach Potter,TE,Omaha,2009,2012,0,0,1,1,45,,,,0,,,,,,,0,,11.0,83.0,0,22.0,PottZa99
43,Ricky Henry,G,Omaha,2011,2012,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,HenrRi00
44,Michael Higgins,TE,Omaha,2011,2012,0,0,0,0,4,,,,0,,,,,,,0,,2.0,1.0,0,4.0,HiggMi00
45,Tony Wragge,G,Bloomfield,2002,2011,0,0,1,11,82,,,,0,,,,,,,0,,,,0,,WragTo20
46,Mason Brodine,DE,Elm Creek,2011,2011,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,BrodMa00
47,Ahman Green,RB,Omaha,1998,2009,0,4,6,83,148,1.0,2.0,20.0,1,20.0,0.0,0.0,0.0,2056.0,9205.0,60,98.0,378.0,2883.0,14,53.0,GreeAh00
48,Titus Adams,DT,Omaha,2009,2009,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,AdamTi00
49,Chad Mustard,TE,Central City,2003,2008,0,0,0,1,49,,,,0,,,,,,,0,,12.0,123.0,0,15.0,MustCh00
50,Kyle Larson,P,Kearney,2004,2008,0,0,0,8,80,,,,0,,,,,1.0,11.0,1,11.0,,,0,,LarsKy20
51,Chris Cooper,DT,Lincoln,2001,2007,0,0,1,12,78,,,,0,,,,,,,0,,,,0,,CoopCh20
52,Trevor Johnson,DE,Gordon,2004,2007,0,0,0,4,35,,,,0,,,,,,,0,,,,0,,JohnTr21
53,Ryan Krause,TE,Omaha,2004,2007,0,0,0,1,14,,,,0,,,,,,,0,,7.0,92.0,1,29.0,KrauRy00
54,Kenton Keith,RB,Lincoln,2007,2007,0,0,0,6,16,,,,0,,,,,121.0,533.0,3,22.0,13.0,77.0,1,14.0,KeitKe00
55,Cory Schlesinger,FB,Columbus,1995,2006,0,0,8,13,181,,,,0,,,,,167.0,473.0,5,26.0,197.0,1445.0,9,43.0,SchlCo00
56,Zach Wiegert,G,Fremont,1995,2006,0,0,10,49,145,,,,0,,,,,,,0,,2.0,-2.0,0,1.0,WiegZa20
57,Adam Treu,C,Lincoln,1997,2006,0,0,3,26,155,,,,0,,,,,,,0,,,,0,,TreuAd20
58,John Howell,DB,Mullen,2001,2006,0,0,0,7,64,,,,0,,,,,,,0,,0.0,0.0,0,0.0,HoweJo21
59,Chris Bober,C,Omaha,2001,2006,0,0,2,18,91,,,,0,,,,,,,0,,,,0,,BobeCh20
60,Zac Alcorn,TE,Chadron,2006,2006,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,AlcoZa20
61,Marc Boerigter,WR,Hastings,2002,2005,0,0,0,8,41,,,,0,,,,,,,0,,39.0,697.0,8,99.0,BoerMa00
62,Justin Sandy,DB,Wayne,2004,2005,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,SandJu20
63,Chris Dishman,G,Cozad,1997,2004,0,0,4,21,98,,,,0,,,,,,,0,,,,0,,DishCh20
64,Scott Connot,DB,Spencer,2004,2004,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,ConnSc20
65,Scott Frost,DB,Wood River,1998,2003,0,0,0,5,59,,,,0,,,,,1.0,1.0,0,1.0,0.0,0.0,0,0.0,FrosSc20
66,Jeremy Slechta,DT,LaVista,2002,2003,0,0,0,1,15,,,,0,,,,,,,0,,,,0,,SlecJe20
67,Bill LaFleur,P,Superior,2002,2003,0,0,0,1,21,,,,0,,,,,1.0,0.0,0,0.0,,,0,,LaFlBi20
68,Jim Newton,T,Omaha,2003,2003,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,NewtJi20
69,Joel Makovicka,FB,Brainard,1999,2002,0,0,3,3,58,,,,0,,,,,17.0,88.0,0,22.0,47.0,264.0,5,25.0,MakoJo00
70,Brad Ottis,DE,Wahoo,1994,2000,0,0,1,11,81,,,,0,,,,,,,0,,,,0,,OttiBr20
