Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Joe Flacco,QB,Voorhees,2008,2023,0,0,12,95,188,4004.0,6503.0,43936.0,245,95.0,155.0,386.0,2759.0,377.0,864.0,16,38.0,2.0,32.0,0,43.0,FlacJo00
2,Logan Ryan,CB,Berlin,2013,2023,0,0,7,41,154,,,,0,,,,,,,0,,,,0,,RyanLo00
3,Rick Lovato,LS,Middletown,2015,2023,0,1,0,8,122,,,,0,,,,,,,0,,,,0,,LovaRi00
4,Michael Burton,FB,Morristown,2015,2023,0,0,1,0,130,,,,0,,,,,35.0,71.0,1,7.0,21.0,131.0,1,20.0,BurtMi00
5,Austin Johnson,DT,Galloway,2016,2023,0,0,2,27,116,,,,0,,,,,,,0,,,,0,,JohnAu01
6,Damiere Byrd,WR,Sicklerville,2016,2023,0,0,1,16,76,,,,0,,,,,3.0,27.0,0,12.0,130.0,1689.0,7,75.0,ByrdDa00
7,Robbie Chosen,WR,Teaneck,2016,2023,0,0,6,35,120,,,,0,,,,,16.0,98.0,0,30.0,379.0,5082.0,30,92.0,AndeRo04
8,Dion Dawkins,G,Avenel,2017,2023,0,3,6,56,112,,,,0,,,,,,,0,,2.0,8.0,2,7.0,DawkDi00
9,Larry Ogunjobi,DT,Livingston,2017,2023,0,0,5,40,109,,,,0,,,,,,,0,,,,0,,OgunLa00
10,Haason Reddick,OLB,Camden,2017,2023,0,2,4,43,114,,,,0,,,,,,,0,,,,0,,ReddHa00
11,David Njoku,TE,Cedar Grove,2017,2023,0,1,3,24,95,,,,0,,,,,4.0,-6.0,0,1.0,287.0,3264.0,25,71.0,NjokDa00
12,Corey Clement,RB,Glassboro,2017,2023,0,0,0,8,75,,,,0,,,,,211.0,850.0,8,38.0,48.0,423.0,3,28.0,ClemCo00
13,Noah Brown,WR,Flanders,2017,2023,0,0,1,13,76,,,,0,,,,,2.0,3.0,0,4.0,115.0,1547.0,5,75.0,BrowNo00
14,Rasul Douglas,CB,East Orange,2017,2023,0,0,2,24,105,,,,0,,,,,,,0,,,,0,,DougRa00
15,Jabrill Peppers,SS,East Orange,2017,2023,0,0,4,29,93,,,,0,,,,,,,0,,,,0,,PeppJa00
16,Anthony Firkser,TE,Manalapam,2018,2023,0,0,0,11,71,,,,0,,,,,,,0,,115.0,1207.0,5,45.0,FirkAn00
17,Mike Gesicki,TE,Lakewood,2018,2023,0,0,1,21,98,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,,,0,,260.0,2861.0,20,70.0,GesiMi00
18,Kyzir White,S,Plainfield,2018,2023,0,0,2,24,75,,,,0,,,,,,,0,,,,0,,WhitKy00
