Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Joey Slye,K,Albuquerque,2019,2023,0,0,1,12,78,,,,0.0,,,,,,,0.0,,,,0.0,,SlyeJo00
2,Zach Gentry,TE,Albuquerque,2019,2023,0,0,2,2,41,,,,0.0,,,,,,,0.0,,39.0,303.0,0.0,32.0,GentZa00
3,Keshawn Banks,,Albuquerque,2023,2023,0,0,0,0,0,,,,,,,,,,,,,,,,,BankKe00
4,Colt McCoy,QB,Hobbs,2010,2022,0,0,2,17,56,764.0,1220.0,7975.0,34.0,71.0,32.0,113.0,701.0,175.0,582.0,2.0,20.0,2.0,8.0,0.0,13.0,McCoCo00
5,Jeff Overbaugh,LS,Santa Fe,2017,2018,0,0,0,0,2,,,,0.0,,,,,,,0.0,,,,0.0,,OverJe00
6,Alan Branch,DT,Albuquerque,2007,2017,0,0,6,42,146,,,,0.0,,,,,,,0.0,,,,0.0,,BranAl99
7,Landry Jones,QB,Artesia,2015,2017,0,0,0,4,18,108.0,169.0,1310.0,8.0,88.0,7.0,9.0,66.0,19.0,-19.0,0.0,0.0,,,0.0,,JoneLa02
8,Jared Crick,DT,Albuquerque,2012,2016,0,0,3,28,79,,,,0.0,,,,,,,0.0,,,,0.0,,CricJa00
9,Chris Williams,WR,Fort Worth,2014,2014,0,0,0,1,7,,,,0.0,,,,,1.0,-8.0,0.0,-8.0,,,0.0,,WillCh06
10,Ryan Cook,C,Albuquerque,2006,2012,0,0,3,23,90,,,,0.0,,,,,,,0.0,,,,0.0,,CookRy20
11,Erik Cook,CG,Albuquerque,2011,2011,0,0,0,1,6,,,,0.0,,,,,,,0.0,,,,0.0,,CookEr00
12,Hank Baskett,WR,Clovis,2006,2010,0,0,0,9,67,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,77.0,1098.0,6.0,90.0,BaskHa00
13,Jake Ingram,C,Albuquerque,2009,2010,0,0,0,1,25,,,,0.0,,,,,,,0.0,,,,0.0,,IngrJa20
14,Richard Angulo,TE,Albuquerque,2003,2008,0,0,0,2,27,,,,0.0,,,,,,,0.0,,17.0,155.0,1.0,22.0,AnguRi00
