Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Jon Weeks,C,Bethpage,2010,2023,0,1,0,12,227,,,,0,,,,,,,0,,,,0,,WeekJo00
2,Greg Van Roten,G,Rockville Centre,2012,2023,0,0,3,28,110,,,,0,,,,,,,0,,0.0,5.0,0,,VanRGr00
3,DaQuan Jones,DT,Johnson City,2014,2023,0,0,8,52,139,,,,0,,,,,,,0,,,,0,,JoneDa04
4,Donovan Smith,T,Hempstead,2015,2023,0,0,8,57,136,,,,0,,,,,,,0,,1.0,0.0,0,0.0,SmitDo02
5,Dean Marlowe,S,Queens,2015,2023,0,0,0,10,75,,,,0,,,,,,,0,,,,0,,MarlDe00
6,Riley Dixon,P,Oneida,2016,2023,0,0,1,14,131,3.0,5.0,34.0,0,16.0,0.0,0.0,0.0,1.0,14.0,0,14.0,,,0,,DixoRi00
7,Chris Manhertz,TE,New York,2016,2023,0,0,2,0,120,,,,0,,,,,,,0,,26.0,271.0,2,50.0,ManhCh00
8,Curtis Samuel,WR,Brooklyn,2017,2023,0,0,4,27,91,,,,0,,,,,121.0,715.0,7,45.0,317.0,3383.0,22,53.0,SamuCu00
9,Thomas Hennessy,LS,Bardonia,2017,2023,0,0,0,6,115,,,,0,,,,,,,0,,,,0,,HennTh00
10,Jaleel Johnson,DT,Brooklyn,2017,2023,0,0,1,16,86,,,,0,,,,,,,0,,,,0,,JohnJa09
11,Folorunso Fatukasi,DT,Far Rockaway,2018,2023,0,0,2,22,75,,,,0,,,,,,,0,,,,0,,FatuFo00
12,Saquon Barkley,RB,Bronx,2018,2023,0,2,4,42,74,,,,0,,,,,1201.0,5211.0,35,78.0,288.0,2100.0,12,65.0,BarkSa00
13,Justin Jones,DT,Bronx,2018,2023,0,0,4,29,85,,,,0,,,,,,,0,,,,0,,JoneJu03
14,Juwann Winfree,WR,Manhattan,2019,2023,0,0,0,1,23,,,,0,,,,,,,0,,9.0,75.0,0,17.0,WinfJu00
15,Stephen Carlson,TE,Jamestown,2019,2023,0,0,0,0,26,,,,0,,,,,,,0,,6.0,62.0,1,21.0,CarlSt00
16,Qadree Ollison,RB,Niagara Falls,2019,2023,0,0,0,1,24,,,,0,,,,,44.0,158.0,5,19.0,5.0,19.0,0,8.0,OlliQa00
17,Oshane Ximines,EDGE,Queens,2019,2023,0,0,0,8,48,,,,0,,,,,,,0,,,,0,,XimiOs00
18,Elijah Riley,DB,Port Jefferson,2020,2023,0,0,0,3,30,,,,0,,,,,,,0,,,,0,,RileEl01
19,AJ Terrell,CB,Rochester,2020,2023,0,0,3,24,61,,,,0,,,,,,,0,,,,0,,TerrAJ00
20,Malcolm Koonce,LB,Peekskill,2021,2023,0,0,0,7,39,,,,0,,,,,,,0,,,,0,,KoonMa00
21,Andre Cisco,S,Queens,2021,2023,0,0,1,14,47,,,,0,,,,,,,0,,,,0,,CiscAn00
22,Will Fries,T,Staten Island,2021,2023,0,0,1,10,36,,,,0,,,,,,,0,,,,0,,FrieWi00
23,Derrick Gore,RB,Syracuse,2021,2023,0,0,0,3,17,,,,0,,,,,54.0,282.0,2,51.0,8.0,105.0,0,50.0,GoreDe00
24,Isaiah McDuffie,LB,Buffalo,2021,2023,0,0,0,7,46,,,,0,,,,,,,0,,,,0,,McDuIs00
25,Dayo Odeyingbo,DE,Brooklyn,2021,2023,0,0,0,7,44,,,,0,,,,,,,0,,,,0,,OdeyDa00
26,Olakunle Fatukasi,LB,Far Rockaway,2022,2023,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,FatuOl00
27,Jeremy Ruckert,TE,Lindenhurst,2022,2023,0,0,0,1,24,,,,0,,,,,,,0,,17.0,159.0,0,23.0,RuckJe00
28,Isaiah Land,LB,Buffalo,2023,2023,0,0,0,1,7,,,,0,,,,,,,0,,,,0,,LandIs00
29,Tyrone Wheatley Jr.,T,Buffalo,2023,2023,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,WheaTy01
30,Christian Izien,S,Far Rockaway,2023,2023,0,0,0,3,17,,,,0,,,,,,,0,,,,0,,IzieCh00
31,Israel Abanikanda,RB,Brooklyn,2023,2023,0,0,0,1,6,,,,0,,,,,22.0,70.0,0,12.0,7.0,43.0,0,13.0,AbanIs00
32,Brandon Hill,S,Queens,2023,2023,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,HillBr03
33,Brett Kern,P,Grand Island,2008,2022,1,3,0,25,223,1.0,3.0,11.0,0,11.0,0.0,0.0,0.0,5.0,21.0,0,21.0,,,0,,KernBr20
34,Devin McCourty,DB,Nyack,2010,2022,0,2,13,71,205,,,,0,,,,,,,0,,,,0,,McCoDe99
35,Chandler Jones,DE,Rochester,2012,2022,2,4,10,77,154,,,,0,,,,,,,0,,,,0,,JoneCh03
