Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Matt Prater,K,Mayfield Heights,2007,2023,0,2,1,35,250,1.0,2.0,8.0,1,8.0,0.0,0.0,0.0,,,0,,,,0,,PratMa20
2,Brian Hoyer,QB,North Olmsted,2009,2023,0,0,3,23,79,925.0,1560.0,10899.0,53,81.0,37.0,90.0,652.0,120.0,112.0,2,20.0,,,0,,HoyeBr00
3,Jason Kelce,C,Cleveland Heights,2011,2023,6,7,11,102,193,,,,0,,,,,,,0,,,,0,,KelcJa00
4,Jake McQuaide,LS,Cincinnati,2011,2023,0,2,0,12,190,,,,0,,,,,,,0,,,,0,,McQuJa00
5,Russell Wilson,QB,Cincinnati,2012,2023,0,9,11,136,188,3668.0,5665.0,43653.0,334,80.0,106.0,527.0,3464.0,981.0,5307.0,29,55.0,5.0,21.0,1,17.0,WilsRu00
6,Kyle Juszczyk,FB,Medina,2013,2023,1,8,9,19,172,,,,0,,,,,62.0,211.0,5,12.0,262.0,2464.0,16,56.0,JuszKy00
7,Micah Hyde,S,Toledo,2013,2023,0,1,7,55,158,,,,0,,,,,,,0,,,,0,,HydeMi00
8,Travis Kelce,TE,Westlake,2013,2023,4,9,9,86,159,1.0,3.0,4.0,0,4.0,1.0,0.0,0.0,8.0,14.0,2,4.0,907.0,11328.0,74,80.0,KelcTr00
9,Corey Linsley,C,Youngstown,2014,2023,1,1,9,64,132,,,,0,,,,,,,0,,,,0,,LinsCo00
10,Troy Hill,CB,Youngstown,2015,2023,0,0,3,25,113,,,,0,,,,,,,0,,,,0,,HillTr01
11,Eric Rowe,CB,Cleveland,2015,2023,0,0,2,21,103,,,,0,,,,,,,0,,,,0,,RoweEr00
12,Joe Thuney,G,Centerville,2016,2023,1,2,7,66,129,,,,0,,,,,,,0,,,,0,,ThunJo00
13,Taylor Decker,T,Vandalia,2016,2023,0,0,6,47,112,,,,0,,,,,,,0,,3.0,15.0,2,11.0,DeckTa00
14,Ryan Kelly,C,West Chester,2016,2023,0,4,7,52,111,,,,0,,,,,,,0,,1.0,-4.0,0,0.0,KellRy00
15,Nick Vannett,TE,Westerville,2016,2023,0,0,2,7,94,,,,0,,,,,,,0,,91.0,877.0,6,32.0,VannNi00
16,Chris Wormley,DT,Toledo,2017,2023,0,0,3,17,85,,,,0,,,,,,,0,,,,0,,WormCh00
17,Kareem Hunt,RB,Willoughby,2017,2023,0,1,2,45,91,0.0,0.0,0.0,0,0.0,0.0,1.0,8.0,1030.0,4436.0,40,69.0,226.0,1890.0,17,78.0,HuntKa00
18,Marshon Lattimore,CB,Cleveland,2017,2023,0,4,5,40,90,,,,0,,,,,,,0,,,,0,,LattMa01
19,Pharaoh Brown,TE,Cleveland,2017,2023,0,0,3,4,72,,,,0,,,,,,,0,,64.0,686.0,3,58.0,BrowPh01
20,Justin Hardee,WR,Cleveland,2017,2023,0,1,0,9,100,,,,0,,,,,,,0,,1.0,10.0,0,10.0,HardJu01
21,Dawuane Smoot,DE,Groveport,2017,2023,0,0,0,15,99,,,,0,,,,,,,0,,,,0,,SmooDa00
22,Mitchell Trubisky,QB,Mentor,2017,2023,0,1,4,38,69,1200.0,1872.0,12536.0,72,70.0,48.0,129.0,808.0,238.0,1173.0,13,46.0,,,0,,TrubMi00
23,Denzel Ward,CB,Macedonia,2018,2023,0,3,5,36,79,,,,0,,,,,,,0,,,,0,,WardDe02
24,Godwin Igwebuike,RB,Pickerington,2018,2023,0,0,0,2,40,,,,0,,,,,21.0,122.0,1,42.0,8.0,63.0,0,18.0,IgweGo00
25,Storm Norton,T,Toledo,2018,2023,0,0,1,13,50,,,,0,,,,,,,0,,,,0,,NortSt00
26,James Daniels,C,Warren,2018,2023,0,0,5,28,86,,,,0,,,,,,,0,,,,0,,DaniJa01
27,Justin Murray,T,Cincinnati,2018,2023,0,0,1,11,41,,,,0,,,,,,,0,,,,0,,MurrJu00
28,Sam Hubbard,DE,Cincinnati,2018,2023,0,0,4,35,90,,,,0,,,,,,,0,,0.0,0.0,0,0.0,HubbSa00
29,Jerome Baker,OLB,Cleveland,2018,2023,0,0,5,35,94,,,,0,,,,,,,0,,,,0,,BakeJe00
30,Parris Campbell,WR,Akron,2019,2023,0,0,1,9,44,0.0,0.0,0.0,0,0.0,0.0,1.0,8.0,11.0,108.0,0,28.0,117.0,1087.0,5,51.0,CampPa00
31,David Montgomery,RB,Cincinnati,2019,2023,0,0,3,36,74,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,1134.0,4624.0,39,80.0,171.0,1357.0,4,32.0,MontDa01
32,David Long,OLB,Cincinnati,2019,2023,0,0,1,21,67,,,,0,,,,,,,0,,,,0,,LongDa04
33,Mike Edwards,CB,Cincinnati,2019,2023,0,0,1,16,75,,,,0,,,,,,,0,,,,0,,EdwaMi01
34,John Cominsky,DE,Barberton,2019,2023,0,0,0,10,57,,,,0,,,,,,,0,,,,0,,ComiJo00
35,Dre'Mont Jones,DL,Cleveland,2019,2023,0,0,2,23,73,,,,0,,,,,,,0,,,,0,,JoneDr00
36,Andy Isabella,WR,Mayfield,2019,2023,0,0,0,4,43,,,,0,,,,,6.0,10.0,0,6.0,33.0,447.0,3,88.0,IsabAn00
37,Michael Deiter,OL,Curtice,2019,2023,0,0,1,14,73,,,,0,,,,,,,0,,1.0,0.0,0,0.0,DeitMi00
38,Josiah Scott,CB,Hamilton,2020,2023,0,0,0,3,39,,,,0,,,,,,,0,,,,0,,ScotJo00
39,Markus Bailey,OLB,Columbus,2020,2023,0,0,0,7,60,,,,0,,,,,,,0,,,,0,,BailMa01
40,Colton McKivitz,OL,Jacobsburg,2020,2023,0,0,0,11,45,,,,0,,,,,,,0,,,,0,,McKiCo00
41,Reggie Gilliam,TE,Columbus,2020,2023,0,0,0,1,62,,,,0,,,,,3.0,3.0,0,2.0,14.0,111.0,2,15.0,GillRe00
42,Malik Harrison,OLB,Columbus,2020,2023,0,0,0,14,61,,,,0,,,,,,,0,,,,0,,HarrMa06
43,Antoine Winfield Jr.,S,Columbus,2020,2023,1,1,3,32,59,,,,0,,,,,,,0,,,,0,,WinfAn00
44,Marquise Copeland,DL,Cleveland,2020,2023,0,0,1,5,26,,,,0,,,,,,,0,,,,0,,CopeMa01
45,Joe Bachie,LB,Brook Park,2020,2023,0,0,0,4,39,,,,0,,,,,,,0,,,,0,,BachJo01
46,DaVon Hamilton,DL,Pickerington,2020,2023,0,0,1,13,52,,,,0,,,,,,,0,,,,0,,HamiDa02
47,Lynn Bowden Jr.,WR,Youngstown,2020,2023,0,0,0,3,26,1.0,2.0,32.0,0,32.0,0.0,0.0,0.0,14.0,64.0,0,29.0,39.0,294.0,0,22.0,BowdLy00
48,Luke Farrell,TE,Perry,2021,2023,0,0,0,1,49,,,,0,,,,,,,0,,24.0,251.0,0,42.0,FarrLu00
49,Phil Hoskins,DT,Toledo,2021,2023,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,HoskPh00
50,James Hudson,T,Toledo,2021,2023,0,0,0,7,45,,,,0,,,,,,,0,,,,0,,HudsJa00
51,Jonathon Cooper,OLB,Gahanna,2021,2023,0,0,1,16,47,,,,0,,,,,,,0,,,,0,,CoopJo02
52,Michael Hoecht,DT,Oakwood,2021,2023,0,0,0,12,51,,,,0,,,,,,,0,,,,0,,HoecMi00
53,Jackson Carman,G,Fairfield,2021,2023,0,0,0,4,22,,,,0,,,,,,,0,,,,0,,CarmJa00
