Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Tress Way,P,Tulsa,2014,2023,0,2,1,22,162,2.0,2.0,38.0,0.0,31.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,,0.0,,WayxTr00
2,Tyler Lockett,WR,Tulsa,2015,2023,1,1,8,64,144,,,,0.0,,,,,40.0,265.0,1.0,75.0,612.0,7994.0,59.0,74.0,LockTy00
3,Tyler Ott,LS,Tulsa,2015,2023,0,1,0,5,102,,,,0.0,,,,,,,0.0,,,,0.0,,OttxTy00
4,James Winchester,LS,Washington,2015,2023,0,0,0,7,147,,,,0.0,,,,,,,0.0,,,,0.0,,WincJa00
5,Sterling Shepard,WR,Oklahoma City,2016,2023,0,0,5,27,90,,,,0.0,,,,,24.0,186.0,1.0,27.0,372.0,4095.0,23.0,77.0,ShepSt00
6,Josh Jacobs,RB,Tulsa,2019,2023,1,2,4,41,73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1305.0,5545.0,46.0,86.0,197.0,1448.0,0.0,43.0,JacoJo01
7,Justice Hill,RB,Tulsa,2019,2023,0,0,0,11,59,,,,0.0,,,,,203.0,934.0,5.0,41.0,53.0,354.0,1.0,24.0,HillJu00
8,Zaven Collins,OLB,Tulsa,2021,2023,0,0,1,14,50,,,,0.0,,,,,,,0.0,,,,0.0,,CollZa00
9,Tre Brown,DB,Tulsa,2021,2023,0,0,0,4,26,,,,0.0,,,,,,,0.0,,,,0.0,,BrowTr03
10,Creed Humphrey,OL,Shawnee,2021,2023,0,2,2,30,51,,,,0.0,,,,,,,0.0,,,,0.0,,HumpCr00
11,AJ Parker,CB,Bartlesville,2021,2023,0,0,0,2,17,,,,0.0,,,,,,,0.0,,,,0.0,,ParkAJ00
12,Daxton Hill,DB,Tulsa,2022,2023,0,0,0,8,32,,,,0.0,,,,,,,0.0,,,,0.0,,HillDa04
13,Malcolm Rodriguez,LB,Tahlequah,2022,2023,0,0,1,8,33,,,,0.0,,,,,,,0.0,,1.0,6.0,0.0,6.0,RodrMa00
14,Charlie Kolar,TE,Norman,2022,2023,0,0,0,1,17,,,,0.0,,,,,,,0.0,,11.0,136.0,1.0,19.0,KolaCh00
15,Chris Harris Jr.,CB,Tulsa,2011,2022,1,4,10,68,172,,,,0.0,,,,,,,0.0,,,,0.0,,HarrCh01
16,Eric Tomlinson,TE,Oklahoma City,2016,2022,0,0,3,3,85,,,,0.0,,,,,,,0.0,,27.0,280.0,3.0,34.0,TomlEr01
17,Gerald McCoy,DT,Oklahoma City,2010,2021,1,6,10,69,140,,,,0.0,,,,,,,0.0,,,,0.0,,McCoGe99
18,Kyle Nelson,TE,Norman,2012,2021,0,0,0,3,107,,,,0.0,,,,,,,0.0,,,,0.0,,NelsKy00
19,Blake Jarwin,TE,Oklahoma City,2017,2021,0,0,0,7,42,,,,0.0,,,,,,,0.0,,70.0,780.0,8.0,42.0,JarwBl00
20,Jordan Evans,ILB,Norman,2017,2021,0,0,0,9,65,,,,0.0,,,,,,,0.0,,,,0.0,,EvanJo01
21,Kevin Peterson,CB,Muskogee,2017,2021,0,0,0,4,36,,,,0.0,,,,,,,0.0,,,,0.0,,PeteKe01
