Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Jordan Poyer,S,Dallas,2013,2023,1,1,6,51,155,,,,0,,,,,1.0,10.0,0,10.0,,,0,,PoyeJo00
2,David Mayo,ILB,Scappoose,2015,2023,0,0,1,18,132,,,,0,,,,,,,0,,,,0,,MayoDa00
3,Calvin Munson,OLB,Beaverton,2017,2023,0,0,0,6,51,,,,0,,,,,,,0,,,,0,,MunsCa00
4,Kendrick Bourne,WR,Portland,2017,2023,0,0,0,28,99,1.0,1.0,25.0,1,25.0,0.0,0.0,0.0,19.0,168.0,0,29.0,264.0,3409.0,21,75.0,BourKe00
5,Dallin Leavitt,S,Portland,2018,2023,0,0,0,3,69,,,,0,,,,,3.0,6.0,0,4.0,,,0,,LeavDa00
6,Ben Bartch,OL,Dayton,2020,2023,0,0,1,8,46,,,,0,,,,,,,0,,,,0,,BartBe00
7,Justin Herbert,QB,Eugene,2020,2023,0,1,3,52,62,1613.0,2422.0,17223.0,114,72.0,42.0,130.0,871.0,224.0,911.0,11,36.0,3.0,0.0,0,10.0,HerbJu00
8,Talanoa Hufanga,S,Corvallis,2021,2023,1,1,1,18,42,,,,0,,,,,,,0,,,,0,,HufaTa00
9,Marlon Tuipulotu,DT,Independence,2021,2023,0,0,0,2,28,,,,0,,,,,,,0,,,,0,,TuipMa00
10,John Bates,TE,Lebanon,2021,2023,0,0,0,4,50,,,,0,,,,,,,0,,53.0,508.0,2,35.0,BateJo00
11,Elijah Molden,CB,West Linn,2021,2023,0,0,0,7,33,,,,0,,,,,,,0,,,,0,,MoldEl00
12,Samori Toure,WR,Portland,2022,2023,0,0,0,2,22,,,,0,,,,,,,0,,13.0,160.0,1,37.0,TourSa00
13,Ndamukong Suh,DT,Portland,2010,2022,3,5,12,100,199,,,,0,,,,,,,0,,,,0,,SuhxNd99
14,Mike Remmers,T,Portland,2013,2022,0,0,6,38,104,,,,0,,,,,,,0,,1.0,-2.0,0,0.0,RemmMi00
15,Brennan Scarlett,OLB,Portland,2016,2022,0,0,2,15,70,,,,0,,,,,,,0,,,,0,,ScarBr00
16,Jacob Hollister,TE,Bend,2017,2022,0,0,0,6,62,,,,0,,,,,1.0,5.0,0,5.0,83.0,707.0,7,23.0,HollJa03
17,Cody Hollister,WR,Bend,2019,2022,0,0,0,0,21,,,,0,,,,,,,0,,10.0,112.0,0,27.0,HollCo00
18,Henry Mondeaux,DT,Portland,2020,2022,0,0,0,5,37,,,,0,,,,,,,0,,,,0,,MondHe00
19,Brady Breeze,,Lake Oswego,2021,2022,0,0,0,0,11,,,,0,,,,,,,0,,,,0,,BreeBr00
20,Daniel Hardy,LB,Portland,2022,2022,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,HardDa01
21,Tyrell Williams,WR,Salem,2015,2021,0,0,4,25,70,,,,0,,,,,2.0,15.0,0,14.0,199.0,3195.0,23,80.0,WillTy00
22,Ryan Nall,RB,Clackamas,2019,2021,0,0,0,1,33,,,,0,,,,,6.0,12.0,0,7.0,9.0,71.0,1,18.0,NallRy00
23,Marcus Henry,C,Portland,2020,2021,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,HenrMa02
24,Ryan Allen,P,Salem,2013,2020,0,0,0,13,107,,,,0,,,,,,,0,,,,0,,AlleRy01
25,Kameron Canaday,LS,Eugene,2016,2020,0,0,0,4,67,,,,0,,,,,,,0,,,,0,,CanaKa00
26,Derek Anderson,QB,Portland,2006,2018,0,1,3,23,78,909.0,1674.0,10878.0,60,78.0,64.0,81.0,563.0,102.0,226.0,5,33.0,,,0,,AndeDe00
27,Matt Slauson,G,Sweet Home,2009,2018,0,0,6,43,116,,,,0,,,,,,,0,,1.0,1.0,0,1.0,SlauMa20
28,Kellen Clemens,QB,Burns,2006,2017,0,0,2,10,64,350.0,638.0,4053.0,16,81.0,21.0,66.0,401.0,85.0,227.0,3,18.0,0.0,0.0,0,0.0,ClemKe00
29,Robert Blanton,CB,Clackamas,2012,2017,0,0,1,9,72,,,,0,,,,,,,0,,,,0,,BlanRo00
30,Kenneth Acker,CB,Portland,2015,2017,0,0,1,8,40,,,,0,,,,,,,0,,,,0,,AckeKe00
31,Tyrone Holmes,OLB,Eagle Point,2016,2017,0,0,0,1,15,,,,0,,,,,,,0,,,,0,,HolmTy01
32,Adam Bighill,LB,Astoria,2017,2017,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,BighAd00
33,Xavier Coleman,CB,West Linn,2017,2017,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,ColeXa00
34,Taylor Hart,DE,Tualatin,2015,2016,0,0,0,1,15,,,,0,,,,,,,0,,,,0,,HartTa00
35,Alex Balducci,OL,Portland,2016,2016,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,BaldAl01
36,Paul McQuistan,T,Lebanon,2006,2014,0,0,2,24,97,,,,0,,,,,,,0,,,,0,,McQuPa21
37,Dante Rosario,TE,Beaverton,2007,2014,0,0,1,9,122,,,,0,,,,,1.0,-2.0,0,0.0,116.0,1235.0,8,54.0,RosaDa00
38,Jordan Senn,MLB,Beaverton,2008,2013,0,0,1,7,83,,,,0,,,,,1.0,5.0,0,5.0,,,0,,SennJo00
39,Jeron Mastrud,TE,Beaverton,2010,2013,0,0,1,1,52,,,,0,,,,,,,0,,7.0,96.0,0,41.0,MastJe20
40,Alex Green,RB,Portland,2011,2013,0,0,0,5,29,,,,0,,,,,149.0,510.0,0,41.0,21.0,139.0,0,19.0,GreeAl00
41,Jeff Faine,C,Milwaukie,2003,2012,0,0,8,45,125,,,,0,,,,,1.0,0.0,0,0.0,1.0,-1.0,0,0.0,FainJe20
