Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Cameron Heyward,DT,Pittsburgh,2011,2023,3,6,10,98,194,,,,0,,,,,,,0,,,,0,,HeywCa01
2,Justin Pugh,G,Holland,2013,2023,0,0,9,47,132,,,,0,,,,,,,0,,,,0,,PughJu00
3,Brandon McManus,K,Philadelphia,2014,2023,0,0,1,26,161,,,,0,,,,,1.0,6.0,0,6.0,,,0,,McMaBr01
4,Aaron Donald,DT,Pittsburgh,2014,2023,8,10,9,124,154,,,,0,,,,,,,0,,,,0,,DonaAa00
5,Tyler Kroft,TE,Downingtown,2015,2023,0,0,2,9,100,,,,0,,,,,,,0,,105.0,1081.0,13,59.0,KrofTy00
6,Mark Glowinski,G,Wilkes-Barre,2015,2023,0,0,6,40,124,,,,0,,,,,,,0,,,,0,,GlowMa00
7,Kevin Byard,S,Philadelphia,2016,2023,2,2,6,54,130,1.0,1.0,66.0,1,66.0,0.0,0.0,0.0,,,0,,1.0,11.0,0,11.0,ByarKe01
8,Eli Apple,CB,Philadelphia,2016,2023,0,0,5,28,98,,,,0,,,,,,,0,,,,0,,ApplEl00
9,Quinton Jefferson,DT,Pittsburgh,2016,2023,0,0,3,28,103,,,,0,,,,,,,0,,,,0,,JeffQu00
10,Jihad Ward,DE,Philadelphia,2016,2023,0,0,2,20,102,,,,0,,,,,,,0,,,,0,,WardJi02
11,Daryl Worley,CB,Philadelphia,2016,2023,0,0,4,20,90,,,,0,,,,,,,0,,,,0,,WorlDa00
12,Tyler Boyd,WR,Clairton,2016,2023,0,0,3,46,120,3.0,6.0,85.0,0,46.0,1.0,1.0,12.0,19.0,166.0,0,39.0,513.0,6000.0,31,72.0,BoydTy00
13,Luke Rhodes,OLB,Hollidaysburg,2016,2023,1,1,0,13,118,,,,0,,,,,,,0,,,,0,,RhodLu00
14,Elijah Wilkinson,T,Downingtown,2017,2023,0,0,1,19,77,,,,0,,,,,,,0,,,,0,,WilkEl00
15,James Conner,RB,Erie,2017,2023,0,2,4,39,91,,,,0,,,,,1125.0,4876.0,51,59.0,234.0,1803.0,10,45.0,ConnJa00
16,Matt Feiler,T,Strasburg,2017,2023,0,0,5,33,91,,,,0,,,,,,,0,,,,0,,FeilMa00
17,Alex Anzalone,OLB,Wyomissing,2017,2023,0,0,2,26,85,,,,0,,,,,,,0,,,,0,,AnzaAl00
18,Jonnu Smith,TE,Philadelphia,2017,2023,0,0,5,20,107,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,17.0,127.0,1,57.0,219.0,2423.0,20,63.0,SmitJo01
19,Malik Hooker,FS,New Castle,2017,2023,0,0,3,21,83,,,,0,,,,,,,0,,,,0,,HookMa00
