Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Josh Norman,CB,Greenwood,2012,2023,1,1,8,43,141,,,,0,,,,,,,0,,,,0,,NormJo01
2,Justin Bethel,CB,Sumter,2012,2023,0,3,0,20,193,,,,0,,,,,,,0,,,,0,,BethJu00
3,Stephon Gilmore,CB,Rock Hill,2012,2023,2,5,10,71,165,,,,0,,,,,,,0,,,,0,,GilmSt00
4,DeAndre Hopkins,WR,Central,2013,2023,3,5,9,80,162,1.0,4.0,6.0,1,6.0,1.0,0.0,0.0,6.0,21.0,0,12.0,928.0,12355.0,78,76.0,HopkDe00
5,Cordarrelle Patterson,WR,Rock Hill,2013,2023,4,4,4,41,170,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,514.0,2511.0,22,67.0,298.0,2795.0,16,79.0,PattCo00
6,DeMarcus Lawrence,DE,Aiken,2014,2023,0,4,6,67,137,,,,0,,,,,,,0,,,,0,,LawrDe00
7,Jadeveon Clowney,DE,Rock Hill,2014,2023,0,3,8,59,126,,,,0,,,,,,,0,,,,0,,ClowJa00
8,Antonio Hamilton,CB,Johnston,2016,2023,0,0,0,9,98,,,,0,,,,,,,0,,,,0,,HamiAn01
9,Shaq Lawson,DE,Central,2016,2023,0,0,1,24,109,,,,0,,,,,,,0,,,,0,,LawsSh00
10,DeShawn Williams,DT,Central,2016,2023,0,0,2,22,66,,,,0,,,,,,,0,,,,0,,WillDe04
11,Mike Williams,WR,Vance,2017,2023,0,0,4,37,88,,,,0,,,,,10.0,34.0,1,19.0,309.0,4806.0,31,72.0,WillMi07
12,D.J. Jones,DT,Greenville,2017,2023,0,0,4,34,92,,,,0,,,,,,,0,,,,0,,JoneD.01
13,Shaquille Leonard,OLB,Nichols,2018,2023,3,3,4,60,75,,,,0,,,,,,,0,,,,0,,LeonDa00
14,Dee Delaney,CB,Beaufort,2018,2023,0,0,0,5,52,,,,0,,,,,,,0,,,,0,,DelaDe00
15,Poona Ford,DT,Hilton Head,2018,2023,0,0,4,28,84,,,,0,,,,,,,0,,,,0,,FordPo00
16,Chandon Sullivan,CB,Grenville,2018,2023,0,0,1,15,88,,,,0,,,,,,,0,,,,0,,SullCh00
17,Hunter Renfrow,WR,Myrtle Beach,2019,2023,0,1,0,21,73,,,,0,,,,,3.0,3.0,0,5.0,269.0,2884.0,17,65.0,RenfHu00
