Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Riley Reiff,T,Parkston,2012,2023,0,0,10,60,164,,,,0,,,,,,,0,,,,0,,ReifRi00
2,Dallas Goedert,TE,Britton,2018,2023,0,0,5,30,83,,,,0,,,,,1.0,1.0,0,1.0,307.0,3589.0,22,49.0,GoedDa00
3,Tucker Kraft,TE,Timber Lake,2023,2023,0,0,0,4,17,,,,0,,,,,,,0,,31.0,355.0,2,43.0,KrafTu00
4,Nathan Gerry,SS,Sioux Falls,2017,2022,0,0,1,18,50,,,,0,,,,,,,0,,,,0,,GerrNa00
5,Derrek Tuszka,DL,Warner,2020,2022,0,0,0,3,39,,,,0,,,,,,,0,,,,0,,TuszDe00
6,Matt Farniok,G,Sioux Falls,2021,2022,0,0,0,2,19,,,,0,,,,,,,0,,,,0,,FarnMa00
7,Adam Vinatieri,K,Yankton,1996,2019,3,3,0,46,365,1.0,1.0,4.0,1,4.0,0.0,0.0,0.0,,,0,,,,0,,vinatada01
8,Chad Greenway,LB,Mount Vernon,2007,2016,0,2,10,66,156,,,,0,,,,,,,0,,,,0,,GreeCh99
9,Brandon Wegher,RB,Dakota Dunes,2015,2015,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,WeghBr00
10,Dallas Clark,TE,Sioux Falls,2003,2013,1,1,9,51,143,,,,0,,,,,4.0,40.0,0,15.0,505.0,5665.0,53,80.0,ClarDa00
11,Taylor Mehlhaff,K,Aberdeen,2008,2008,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,MehlTa99
12,Brady McDonnell,TE,Rapid City,2002,2002,0,0,0,0,6,,,,0,,,,,,,0,,,,0,,McDoBr20
13,Bryan Schwartz,LB,Miller,1995,1999,0,0,3,19,55,,,,0,,,,,,,0,,,,0,,SchwBr20
14,Ryan Christopherson,RB,Sioux Falls,1995,1996,0,0,0,0,19,,,,0,,,,,16.0,16.0,1,10.0,1.0,-1.0,0,0.0,ChriRy20
15,Jay Novacek,TE,Martin,1985,1995,1,5,6,44,158,,,,0,,,,,2.0,12.0,1,10.0,422.0,4630.0,30,49.0,NovaJa00
16,Robb White,DE,Aberdeen,1988,1990,0,0,0,2,23,,,,0,,,,,,,0,,,,0,,WhitRo21
17,John Dutton,DT,Rapid City,1974,1987,1,3,11,72,185,,,,0,,,,,,,0,,,,0,,DuttJo00
