Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Morgan Cox,C,Collierville,2010,2023,1,5,0,14,216,,,,0.0,,,,,,,0.0,,,,0.0,,CoxxMo00
2,Randall Cobb,WR,Maryville,2011,2023,0,1,5,64,166,1.0,4.0,10.0,0.0,10.0,0.0,0.0,0.0,63.0,364.0,0.0,67.0,630.0,7624.0,54.0,75.0,CobbRa00
3,Harrison Smith,FS,Knoxville,2012,2023,1,6,10,65,176,,,,0.0,,,,,,,0.0,,,,0.0,,SmitHa00
4,Shaq Mason,G,Columbia,2015,2023,0,0,8,52,137,,,,0.0,,,,,,,0.0,,,,0.0,,MasoSh01
5,Vonn Bell,SS,Chattanooga,2016,2023,0,0,5,34,122,,,,0.0,,,,,,,0.0,,,,0.0,,BellVo00
6,Jalen Ramsey,CB,Smyrna,2016,2023,3,7,7,73,118,,,,0.0,,,,,,,0.0,,,,0.0,,RamsJa00
7,Lucas Patrick,G,Brentwood,2017,2023,0,0,2,28,96,,,,0.0,,,,,,,0.0,,,,0.0,,PatrLu00
8,Jalen Reeves-Maybin,OLB,Clarksville,2017,2023,0,1,1,16,104,1.0,1.0,31.0,0.0,31.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,,,0.0,,ReevJa00
9,Conor McDermott,T,Nashville,2017,2023,0,0,0,7,55,,,,0.0,,,,,,,0.0,,1.0,1.0,1.0,1.0,McDeCo00
10,Trent Taylor,WR,Cookeville,2017,2023,0,0,0,7,78,,,,0.0,,,,,5.0,13.0,0.0,9.0,87.0,834.0,3.0,34.0,TaylTr02
11,C.J. Beathard,QB,Franklin,2017,2023,0,0,0,9,32,340.0,563.0,3886.0,19.0,83.0,14.0,53.0,400.0,64.0,266.0,4.0,19.0,,,0.0,,BeatC.00
12,Derek Barnett,DE,Nashville,2017,2023,0,0,3,24,79,,,,0.0,,,,,,,0.0,,,,0.0,,BarnDe01
13,George Odum,S,Millington,2018,2023,1,0,0,17,93,,,,0.0,,,,,,,0.0,,,,0.0,,OdumGe00
14,Tanner Hudson,TE,Paris,2019,2023,0,0,0,4,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,,0.0,,54.0,551.0,1.0,27.0,HudsTa00
15,Dawson Knox,TE,Brentwood,2019,2023,0,1,4,18,69,,,,0.0,,,,,1.0,13.0,0.0,9.0,171.0,1966.0,22.0,53.0,KnoxDa00
16,Joejuan Williams,CB,Nashville,2019,2023,0,0,0,3,42,,,,0.0,,,,,,,0.0,,,,0.0,,WillJo13
17,Kyle Phillips,DL,Nashville,2019,2023,0,0,0,7,34,,,,0.0,,,,,,,0.0,,,,0.0,,PhilKy00
18,Tony Pollard,RB,Memphis,2019,2023,0,1,0,34,79,,,,0.0,,,,,762.0,3621.0,23.0,58.0,176.0,1319.0,5.0,68.0,PollTo00
19,Cedrick Wilson Jr.,WR,Memphis,2019,2023,0,0,0,10,68,5.0,5.0,111.0,1.0,35.0,0.0,2.0,13.0,6.0,7.0,0.0,8.0,101.0,1269.0,11.0,73.0,WilsCe01
20,Ugo Amadi,S,Nashville,2019,2023,0,0,1,7,67,,,,0.0,,,,,,,0.0,,,,0.0,,AmadUg00
21,Van Jefferson,WR,Brentwood,2020,2023,0,0,2,14,61,,,,0.0,,,,,4.0,23.0,0.0,10.0,113.0,1600.0,10.0,79.0,JeffVa00
22,Tee Higgins,WR,Oak Ridge,2020,2023,0,0,3,31,58,,,,0.0,,,,,5.0,28.0,0.0,13.0,257.0,3684.0,24.0,80.0,HiggTe00
23,Ke'Shawn Vaughn,RB,Nashville,2020,2023,0,0,0,2,43,,,,0.0,,,,,103.0,384.0,2.0,55.0,14.0,81.0,1.0,13.0,VaugKe00
24,Brycen Hopkins,TE,Nashville,2020,2023,0,0,0,2,39,,,,0.0,,,,,,,0.0,,13.0,196.0,0.0,29.0,HopkBr01
25,Tyrel Dodson,OLB,Franklin,2020,2023,0,0,0,12,59,,,,0.0,,,,,,,0.0,,,,0.0,,DodsTy01
26,Kristian Wilkerson,WR,Memphis,2020,2023,0,0,0,0,6,,,,0.0,,,,,,,0.0,,4.0,42.0,2.0,20.0,WilkKr00
27,Patrick Johnson,LB,Chattanooga,2021,2023,0,0,0,4,48,,,,0.0,,,,,,,0.0,,,,0.0,,JohnPa02
28,Quinton Bohanna,DT,Cordova,2021,2023,0,0,1,8,33,,,,0.0,,,,,,,0.0,,,,0.0,,BohaQu00
29,Eric Banks,DT,Memphis,2021,2023,0,0,0,0,6,,,,0.0,,,,,,,0.0,,,,0.0,,BankEr00
30,Trey Smith,OL,Humboldt,2021,2023,0,0,2,24,50,,,,0.0,,,,,,,0.0,,,,0.0,,SmitTr05
