Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Jason Peters,T,Bowie County,2004,2023,2,9,14,97,248,,,,0,,,,,,,0,,2.0,5.0,1,4.0,PeteJa21
2,Mason Crosby,K,Lubbock,2007,2023,0,0,1,33,261,,,,0,,,,,,,0,,0.0,0.0,0,0.0,CrosMa20
3,Thomas Morstead,P,Pearland,2009,2023,0,1,1,28,238,1.0,1.0,18.0,0,18.0,0.0,1.0,2.0,,,0,,,,0,,MorsTh00
4,Trent Williams,T,Longview,2010,2023,3,11,12,99,178,,,,0,,,,,,,0,,0.0,0.0,0,0.0,WillTr21
5,Jerry Hughes,DE,Sugar Land,2010,2023,0,0,9,68,218,,,,0,,,,,,,0,,,,0,,HughJe99
6,Von Miller,OLB,DeSoto,2011,2023,3,8,10,104,173,,,,0,,,,,,,0,,,,0,,MillVo00
7,Andy Dalton,QB,Katy,2011,2023,0,3,11,91,169,3408.0,5454.0,38511.0,246,86.0,144.0,348.0,2281.0,471.0,1477.0,22,25.0,3.0,11.0,1,18.0,DaltAn00
8,Justin Tucker,K,Houston,2012,2023,5,7,1,46,195,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,,,0,,,,0,,TuckJu00
9,Ryan Tannehill,QB,Lubbock,2012,2023,0,1,10,91,155,3063.0,4764.0,34881.0,216,91.0,115.0,415.0,3065.0,440.0,2103.0,27,48.0,4.0,8.0,1,9.0,TannRy00
10,Kelvin Beachum,T,Mexia,2012,2023,0,0,9,54,163,,,,0,,,,,,,0,,,,0,,BeacKe00
11,Ty Nsekhe,T,Arlington,2012,2023,0,0,0,17,105,,,,0,,,,,,,0,,,,0,,NsekTy00
12,Case Keenum,QB,Abilene,2013,2023,0,0,4,36,80,1392.0,2233.0,15175.0,79,69.0,51.0,131.0,989.0,150.0,451.0,6,22.0,,,0,,KeenCa00
13,Marquise Goodwin,WR,Lubbock,2013,2023,0,0,3,24,114,,,,0,,,,,23.0,126.0,0,20.0,191.0,3090.0,18,84.0,GoodMa00
14,Cody Davis,S,Stephenville,2013,2023,0,0,0,9,144,,,,0,,,,,,,0,,2.0,27.0,0,20.0,DaviCo02
15,Randy Bullock,K,Klein,2013,2023,0,0,1,20,144,,,,0,,,,,,,0,,,,0,,BullRa00
16,Lane Johnson,T,Groveton,2013,2023,2,5,9,79,143,,,,0,,,,,,,0,,1.0,5.0,1,5.0,JohnLa01
17,Cameron Fleming,T,Fort Hood,2014,2023,0,0,2,31,117,,,,0,,,,,,,0,,,,0,,FlemCa00
18,Adrian Phillips,DB,Garland,2014,2023,1,1,2,29,131,,,,0,,,,,,,0,,,,0,,PhilAd00
19,Mike Evans,WR,Galveston,2014,2023,0,5,9,73,154,,,,0,,,,,1.0,10.0,0,10.0,762.0,11680.0,94,75.0,EvanMi00
20,Bradley Roby,CB,Fort Worth,2014,2023,0,0,4,25,135,,,,0,,,,,,,0,,,,0,,RobyBr00
21,Jake Matthews,T,Missouri City,2014,2023,0,1,9,69,162,,,,0,,,,,,,0,,,,0,,MattJa00
22,Chris Boswell,K,Fort Worth,2015,2023,0,1,1,25,133,1.0,2.0,2.0,1,2.0,0.0,0.0,0.0,,,0,,,,0,,BoswCh00
23,Mitch Morse,C,Austin,2015,2023,0,1,7,53,126,,,,0,,,,,,,0,,,,0,,MorsMi00
24,Kerry Hyder,DT,Austin,2015,2023,0,0,1,19,93,,,,0,,,,,,,0,,,,0,,HydeKe01
25,Dustin Hopkins,K,Austin,2015,2023,0,0,0,22,124,,,,0,,,,,,,0,,,,0,,HopkDu00
26,Quandre Diggs,CB,Houston,2015,2023,0,3,4,41,137,,,,0,,,,,,,0,,,,0,,DiggQu00
