Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Linval Joseph,DT,Christiansted,2010,2023,0,2,11,70,186,,,,0,,,,,,,0,,,,0,,JoseLi99
2,Robertson Daniel,DB,St. Thomas,2016,2018,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,DaniRo01
3,Abdul Hodge,MLB,St. Thomas,2006,2010,0,0,0,2,35,,,,0,,,,,,,0,,,,0,,HodgAb20
4,Hanik Milligan,DB,St. Croix,2004,2007,0,1,0,6,53,,,,0,,,,,,,0,,,,0,,MillHa99
5,Andre Wadsworth,DE,St. Croix,1998,2000,0,0,2,12,36,,,,0,,,,,,,0,,,,0,,WadsAn20
6,Quentin Coryatt,LB,St. Croix,1992,1999,0,0,4,31,82,,,,0,,,,,,,0,,,,0,,CoryQu20
7,Renaldo Turnbull,DE,St. Thomas,1990,1997,1,1,3,39,120,,,,0,,,,,,,0,,,,0,,TurnRe00
8,Joe Aska,RB,St. Croix,1995,1997,0,0,0,3,23,,,,0,,,,,74.0,336.0,1,38.0,8.0,63.0,0,22.0,AskaJo00
9,Jeff Faulkner,DE,St. Thomas,1987,1996,0,0,1,10,52,,,,0,,,,,,,0,,,,0,,FaulJe20
10,Mike Evans,DT,St. Croix,1992,1992,0,0,0,1,12,,,,0,,,,,,,0,,,,0,,EvanMi21
11,Ivan Caesar,LB,St. Thomas,1991,1991,0,0,0,2,14,,,,0,,,,,,,0,,,,0,,CaesIv20
