Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Nick Vigil,ILB,Ogden,2016,2023,0,0,4,26,97,,,,0,,,,,,,0,,,,0,,VigiNi00
2,Tyler Larsen,C,Salt Lake City,2016,2023,0,0,1,18,100,,,,0,,,,,,,0,,,,0,,LarsTy00
3,Garett Bolles,T,Lehi,2017,2023,0,0,5,41,99,,,,0,,,,,,,0,,,,0,,BollGa00
4,Dalton Schultz,TE,Sandy,2018,2023,0,0,3,22,90,,,,0,,,,,,,0,,270.0,2757.0,22,32.0,SchuDa00
5,Andre James,OL,Herriman,2019,2023,0,0,2,22,76,,,,0,,,,,,,0,,,,0,,JameAn01
6,Matt Gay,K,Orem,2019,2023,0,1,1,16,74,,,,0,,,,,,,0,,,,0,,GayxMa00
7,Cody Barton,OLB,Salt Lake City,2019,2023,0,0,1,15,78,,,,0,,,,,,,0,,,,0,,BartCo00
8,Kaden Elliss,OLB,Salt Lake City,2019,2023,0,0,1,16,65,,,,0,,,,,,,0,,,,0,,ElliKa00
9,Sua Opeta,G,Bountiful,2020,2023,0,0,0,6,38,,,,0,,,,,,,0,,,,0,,OpetIo00
10,Julian Blackmon,S,Layton,2020,2023,0,0,2,16,50,,,,0,,,,,,,0,,,,0,,BlacJu01
11,Alohi Gilman,S,St. George,2020,2023,0,0,0,10,57,,,,0,,,,,,,0,,,,0,,GilmAl00
12,Noah Togiai,TE,West Valley City,2020,2023,0,0,0,0,8,,,,0,,,,,,,0,,0.0,0.0,0,0.0,TogiNo00
13,Brady Christensen,G,Bountiful,2021,2023,0,0,1,10,34,,,,0,,,,,,,0,,,,0,,ChriBr00
14,Zach Wilson,QB,Draper,2021,2023,0,0,2,13,34,566.0,993.0,6293.0,23,79.0,25.0,113.0,885.0,93.0,498.0,5,52.0,1.0,2.0,1,2.0,WilsZa00
15,Simi Fehoko,WR,Salt Lake City,2021,2023,0,0,0,0,16,,,,0,,,,,,,0,,4.0,33.0,1,12.0,FehoSi00
16,Jay Tufele,DT,Salt Lake City,2021,2023,0,0,0,2,21,,,,0,,,,,,,0,,,,0,,TufeJa00
17,Khyiris Tonga,DT,West Valley,2021,2023,0,0,0,5,40,,,,0,,,,,,,0,,,,0,,TongKh00
18,Britain Covey,WR,Provo,2022,2023,0,0,0,0,33,,,,0,,,,,,,0,,4.0,42.0,0,22.0,CoveBr00
19,Marcus Kemp,WR,Ogden,2017,2022,0,0,0,0,47,,,,0,,,,,,,0,,4.0,42.0,0,16.0,KempMa00
20,Harvey Langi,ILB,South Jordan,2017,2022,0,0,1,8,45,,,,0,,,,,,,0,,,,0,,LangHa00
21,Bryan Mone,DT,Salt Lake City,2019,2022,0,0,0,6,41,,,,0,,,,,,,0,,,,0,,MoneBr00
22,Dax Milne,WR,South Jordan,2021,2022,0,0,0,1,28,,,,0,,,,,1.0,1.0,0,1.0,15.0,120.0,1,22.0,MilnDa00
23,Xavier Su'a-Filo,G,American Fork,2014,2021,0,0,3,24,83,,,,0,,,,,,,0,,,,0,,Sua-Xa00
24,Nate Orchard,OLB,Salt Lake City,2015,2021,0,0,1,8,48,,,,0,,,,,,,0,,,,0,,OrchNa00
25,Porter Gustin,LB,Elk Ridge,2019,2021,0,0,0,4,26,,,,0,,,,,,,0,,,,0,,GustPo01
26,Francis Bernard,LB,Herriman,2020,2021,0,0,0,2,21,,,,0,,,,,,,0,,,,0,,BernFr01
27,Tony Bergstrom,T,Salt Lake City,2012,2020,0,0,0,12,86,,,,0,,,,,,,0,,0.0,0.0,0,0.0,BergTo00
28,Jordan Devey,T,American Fork,2014,2020,0,0,1,11,44,,,,0,,,,,,,0,,,,0,,DeveJo00
29,Tyrell Crosby,T,Bountiful,2018,2020,0,0,1,11,38,,,,0,,,,,,,0,,,,0,,CrosTy00
30,Chandler Cox,RB,Sandy,2019,2020,0,0,0,0,21,,,,0,,,,,,,0,,2.0,9.0,0,6.0,CoxxCh01
31,Luke Falk,QB,Logan,2019,2019,0,0,0,1,3,47.0,73.0,416.0,0,36.0,3.0,16.0,96.0,,,0,,,,0,,FalkLu00
32,Zach Vigil,ILB,Clearfield,2015,2018,0,0,1,6,46,,,,0,,,,,,,0,,,,0,,VigiZa00
33,Isaac Asiata,G,Spanish Fork,2017,2018,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,AsiaIs00
34,Sealver Siliga,DT,West Jordan,2012,2017,0,0,0,9,44,,,,0,,,,,,,0,,,,0,,SiliSe00
35,Tenny Palepoi,DT,Salt Lake City,2014,2017,0,0,0,4,44,,,,0,,,,,,,0,,,,0,,PaleTe00
36,James Cowser,LB,Fruit Heights,2016,2017,0,0,0,3,22,,,,0,,,,,,,0,,,,0,,CowsJa00
37,Will Tukuafu,DT,Salt Lake City,2011,2016,0,0,0,5,50,,,,0,,,,,7.0,5.0,1,4.0,2.0,11.0,1,7.0,TukuWi00
38,Matt Asiata,FB,West Valley,2012,2016,0,0,1,13,74,,,,0,,,,,361.0,1259.0,18,39.0,101.0,722.0,1,41.0,AsiaMa00
39,D.J. Tialavea,TE,West Jordan,2016,2016,0,0,0,0,2,,,,0,,,,,,,0,,1.0,1.0,1,1.0,TialD.00
40,Erik Pears,T,Price,2006,2015,0,0,7,42,117,,,,0,,,,,,,0,,,,0,,PearEr20
41,Dallas Reynolds,G,Provo,2012,2015,0,0,1,9,50,,,,0,,,,,,,0,,,,0,,ReynDa01
42,Bryan Kehl,MLB,Salt Lake City,2008,2013,0,0,0,7,72,,,,0,,,,,,,0,,,,0,,KehlBr99
43,Stanley Havili,RB,Salt Lake City,2012,2013,0,0,1,1,28,,,,0,,,,,13.0,29.0,1,8.0,25.0,171.0,1,20.0,HaviSt00
44,Sione Pouha,DT,Salt Lake City,2005,2012,0,0,4,36,106,,,,0,,,,,,,0,,,,0,,PouhSi20
45,Stewart Bradley,MLB,Salt Lake City,2007,2012,0,0,2,19,76,,,,0,,,,,,,0,,,,0,,BradSt99
46,Kirk Chambers,T,Provo,2004,2011,0,0,1,9,70,,,,0,,,,,,,0,,,,0,,ChamKi20
47,Barry Sims,T,Park City,1999,2010,0,0,8,56,174,,,,0,,,,,,,0,,,,0,,SimsBa20
48,Kevin Curtis,WR,Murray,2003,2010,0,0,3,25,81,,,,0,,,,,9.0,39.0,1,15.0,253.0,3297.0,20,83.0,CurtKe00
49,Daniel Coats,TE,Layton,2007,2010,0,0,1,2,57,,,,0,,,,,,,0,,30.0,291.0,0,25.0,CoatDa00
50,Derek Schouman,TE,Sandy,2007,2010,0,0,1,2,25,,,,0,,,,,,,0,,27.0,275.0,1,27.0,SchoDe00
51,Ray Feinga,G,West Valley City,2010,2010,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,FeinRa20
52,Marques Harris,LOLB,Salt Lake City,2005,2009,0,0,0,8,64,,,,0,,,,,,,0,,,,0,,HarrMa20
53,David Hale,G,Plain City,2008,2009,0,0,0,1,18,,,,0,,,,,,,0,,,,0,,HaleDa22
54,Marcus Mailei,RB,Salt Lake City,2009,2009,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,MailMa00
55,Derek Smith,LB,American Fork,1997,2008,0,0,11,59,174,,,,0,,,,,,,0,,,,0,,SmitDe21
56,Ryon Bingham,DT,Salt Lake City,2005,2008,0,0,0,6,49,,,,0,,,,,,,0,,,,0,,BingRy20
57,Scott Young,G,Salt Lake City,2006,2008,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,YounSc20
58,John Madsen,WR,West Valley City,2006,2008,0,0,0,2,35,,,,0,,,,,,,0,,19.0,248.0,2,57.0,MadsJo00
59,Eric Bassey,DB,Ogden,2007,2008,0,0,0,2,18,,,,0,,,,,,,0,,0.0,0.0,0,0.0,BassEr99
60,Kyle Turley,T,Provo,1998,2007,1,0,6,52,109,,,,0,,,,,,,0,,1.0,16.0,0,16.0,TurlKy20
61,Colby Bockwoldt,LB,Ogden,2004,2007,0,0,1,12,49,,,,0,,,,,,,0,,,,0,,BockCo20
62,Doug Jolley,TE,Sandy,2002,2006,0,0,2,11,74,,,,0,,,,,,,0,,120.0,1303.0,6,60.0,JollDo00
63,Mason Unck,LB,Ogden,2003,2006,0,0,0,4,44,,,,0,,,,,,,0,,,,0,,UnckMa20
64,Justin Ena,LB,Provo,2002,2005,0,0,0,5,47,,,,0,,,,,,,0,,,,0,,EnaxJu20
