Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Duane Brown,LT,Richmond,2008,2023,1,5,15,91,220,,,,0,,,,,,,0,,,,0,,BrowDu20
2,Tyrod Taylor,QB,Hampton,2011,2023,0,1,3,48,92,1068.0,1730.0,12135.0,65,84.0,29.0,177.0,1006.0,404.0,2268.0,19,49.0,2.0,10.0,0,6.0,TaylTy00
3,Logan Thomas,TE,Lynchburg,2014,2023,0,0,2,15,94,3.0,11.0,124.0,1,81.0,0.0,2.0,11.0,4.0,7.0,0,3.0,219.0,2002.0,16,35.0,ThomLo00
4,Morgan Moses,T,Richmond,2014,2023,0,0,8,55,152,,,,0,,,,,,,0,,,,0,,MoseMo00
5,DeAndre Houston-Carson,FS,Woodford,2016,2023,0,0,0,11,107,,,,0,,,,,,,0,,,,0,,HousDe00
6,Justin Simmons,FS,Manassas,2016,2023,0,2,6,56,118,,,,0,,,,,,,0,,,,0,,SimmJu00
7,Andrew Adams,S,Fayetteville,2016,2023,0,0,3,19,103,,,,0,,,,,,,0,,,,0,,AdamAn00
8,Deatrich Wise Jr.,DE,Suffolk,2017,2023,0,0,2,36,111,,,,0,,,,,,,0,,,,0,,WiseDe00
9,Mo Alie-Cox,TE,Alexandria,2018,2023,0,0,1,10,91,,,,0,,,,,,,0,,102.0,1286.0,14,45.0,AlieMo00
10,Oren Burks,ILB,Alexandria,2018,2023,0,0,0,11,91,,,,0,,,,,,,0,,,,0,,BurkOr00
11,Wyatt Teller,G,Manassas,2018,2023,0,3,4,35,83,,,,0,,,,,,,0,,1.0,-5.0,0,0.0,TellWy00
12,M.J. Stewart,CB,Arlington,2018,2023,0,0,0,6,75,,,,0,,,,,1.0,3.0,0,3.0,,,0,,StewM.00
13,Derrick Nnadi,DT,Virginia Beach,2018,2023,0,0,4,33,98,,,,0,,,,,,,0,,,,0,,NnadDe00
14,Greg Stroman,CB,Bristow,2018,2023,0,0,0,3,29,,,,0,,,,,,,0,,,,0,,StroGr00
15,Aaron Stinnie,G,Charlottesville,2018,2023,0,0,0,6,31,,,,0,,,,,,,0,,,,0,,StinAa00
16,Jalyn Holmes,DE,Norfolk,2018,2023,0,0,0,6,39,,,,0,,,,,,,0,,,,0,,HolmJa01
17,Josh Sweat,DE,Chesapeake,2018,2023,0,1,2,26,88,,,,0,,,,,,,0,,,,0,,SweaJo00
18,Terrell Edmunds,S,Danville,2018,2023,0,0,5,27,95,,,,0,,,,,,,0,,,,0,,EdmuTe00
19,Tremaine Edmunds,ILB,Danville,2018,2023,0,2,5,51,89,,,,0,,,,,,,0,,,,0,,EdmuTr01
20,Juan Thornhill,S,Alatvista,2019,2023,0,0,4,20,76,,,,0,,,,,,,0,,,,0,,ThorJu00
21,Clelin Ferrell,EDGE,Richmond,2019,2023,0,0,2,20,75,,,,0,,,,,,,0,,,,0,,FerrCl00
22,Greg Dortch,WR,Richmond,2019,2023,0,0,0,7,39,,,,0,,,,,9.0,73.0,0,24.0,79.0,762.0,4,47.0,DortGr01
23,Justin Skule,T,Clifton,2019,2023,0,0,1,9,49,,,,0,,,,,,,0,,,,0,,SkulJu00
24,Josh Allen,EDGE,Cumberland County,2019,2023,0,2,3,32,74,,,,0,,,,,,,0,,,,0,,AlleJo03
25,Bobby Price,DB,Virginia Beach,2020,2023,0,0,0,1,28,,,,0,,,,,,,0,,1.0,17.0,0,17.0,PricBo00
26,K'Von Wallace,S,Highland Springs,2020,2023,0,0,0,9,62,,,,0,,,,,,,0,,,,0,,WallKV00
27,Mekhi Becton,OL,Highland Springs,2020,2023,0,0,1,10,31,,,,0,,,,,,,0,,,,0,,BectMe00
28,Cole Christiansen,LB,Suffolk,2020,2023,0,0,0,0,13,,,,0,,,,,,,0,,,,0,,ChriCo00
29,Christian Darrisaw,LT,Petersburg,2021,2023,0,0,1,18,41,,,,0,,,,,,,0,,,,0,,DarrCh00
30,Jeremiah Owusu-Koramoah,LB,Hampton,2021,2023,0,1,1,18,41,,,,0,,,,,,,0,,,,0,,OwusJe00
31,Patrick Jones II,DE,Chesapeake,2021,2023,0,0,0,5,42,,,,0,,,,,,,0,,,,0,,JonePa00
32,Boogie Basham,DE,Roanoke,2021,2023,0,0,0,4,36,,,,0,,,,,,,0,,,,0,,BashCa00
33,Jordan Stout,P,Abington,2022,2023,0,0,1,4,34,,,,0,,,,,,,0,,,,0,,StouJo00
34,James Mitchell,TE,Norton,2022,2023,0,0,0,1,29,,,,0,,,,,,,0,,13.0,141.0,1,24.0,MitcJa00
35,Brandon Smith,LB,Henrico,2022,2023,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,SmitBr08
36,Kei'Trel Clark,CB,,2023,2023,0,0,0,2,14,,,,0,,,,,,,0,,,,0,,ClarKe02
37,Mike Greene,DL,Richmond,2023,2023,0,0,0,1,10,,,,0,,,,,,,0,,,,0,,GreeMi01
38,Josh Wells,T,Mechanicsville,2014,2022,0,0,0,14,95,,,,0,,,,,,,0,,,,0,,WellJo02
39,Anthony Harris,DB,Chesterfield,2015,2022,0,0,4,22,98,,,,0,,,,,,,0,,,,0,,HarrAn01
40,Tarell Basham,DE,Rocky Mount,2017,2022,0,0,1,13,82,,,,0,,,,,,,0,,,,0,,BashTa00
41,Trenton Cannon,RB,Hampton,2018,2022,0,0,0,2,48,,,,0,,,,,51.0,150.0,1,21.0,20.0,160.0,0,35.0,CannTr00
42,Trace McSorley,QB,Centreville,2019,2022,0,0,0,1,9,48.0,93.0,502.0,1,70.0,5.0,3.0,27.0,21.0,79.0,0,14.0,,,0,,McSoTr00
43,Andrew Brown,DE,Chesapeake,2019,2022,0,0,0,2,28,,,,0,,,,,,,0,,,,0,,BrowAn05
44,De'Shaan Dixon,DE,Chesapeake,2022,2022,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,DixoDe01
45,Josh Ball,T,Fredericksburg,2022,2022,0,0,0,1,13,,,,0,,,,,,,0,,,,0,,BallJo00
46,Bobby Massie,T,Lynchburg,2012,2021,0,0,9,45,131,,,,0,,,,,,,0,,1.0,4.0,0,4.0,MassBo00
47,Mike Glennon,QB,Centreville,2013,2021,0,0,1,9,40,689.0,1147.0,7025.0,47,85.0,35.0,83.0,612.0,56.0,140.0,1,19.0,,,0,,GlenMi00
48,LaRoy Reynolds,OLB,Norfolk,2013,2021,0,0,0,9,116,,,,0,,,,,,,0,,,,0,,ReynLa00
49,Zach Kerr,NT,Virginia Beach,2014,2021,0,0,0,11,95,,,,0,,,,,,,0,,,,0,,KerrZa00
50,Daniel Brown,TE,Windsor,2015,2021,0,0,0,2,86,,,,0,,,,,,,0,,46.0,449.0,2,31.0,BrowDa04
51,Quinton Spain,G,Petersburg,2015,2021,0,0,6,36,95,,,,0,,,,,,,0,,,,0,,SpaiQu00
52,Kevin Hogan,QB,McLean,2016,2021,0,0,0,2,9,60.0,101.0,621.0,4,49.0,7.0,8.0,45.0,18.0,176.0,1,28.0,,,0,,HogaKe00
53,Maurice Canady,CB,Richmond,2016,2021,0,0,0,3,40,,,,0,,,,,,,0,,,,0,,CanaMa00
54,Trey Edmunds,RB,Danville,2017,2021,0,0,0,1,37,,,,0,,,,,31.0,140.0,1,45.0,6.0,48.0,0,11.0,EdmuTr00
55,Sharif Finch,LB,Henrico,2018,2021,0,0,0,4,28,,,,0,,,,,,,0,,,,0,,FincSh00
56,Travis Fulgham,WR,Alexandria,2019,2021,0,0,1,4,17,,,,0,,,,,,,0,,38.0,539.0,4,42.0,FulgTr00
57,Tim Harris,CB,Richmond,2020,2021,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,HarrTi01
