Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Steve Wisniewski,G,Rutland,1989,2001,2,8,13,102,206,,,,0,,,,,,,0,,,,0,,WisnSt00
2,Ricky Parker,DB,Burlington,1997,1997,0,0,0,1,12,,,,0,,,,,,,0,,,,0,,ParkRi20
3,Scott Curtis,LB,Burlington,1988,1990,0,0,0,3,41,,,,0,,,,,,,0,,,,0,,CurtSc20
4,Joe Shield,QB,Brattleboro,1986,1986,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,ShieJo20
5,Bob Yates,T,Montpelier,1961,1965,0,0,2,18,68,,,,0,,,,,,,0,,,,0,,YateBo20
6,Bob Laraba,RLB,Sheldon,1960,1961,0,0,0,13,28,2.0,7.0,23.0,0,16.0,2.0,1.0,6.0,8.0,18.0,1,16.0,,,0,,LaraBo20
7,Jim Laird,B,Montpelier,1920,1931,0,0,6,0,79,,,,0,,,,,0.0,0.0,11,0.0,0.0,0.0,2,0.0,LairJi20
8,Peter Bove,G,Rutland,1930,1930,0,0,0,0,3,,,,0,,,,,,,0,,,,0,,BovePe20
9,Phil Branon,T,Fairfield,1925,1925,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,BranPh20
10,Gordon Patterson,E,St. Johnsbury,1921,1921,0,0,1,0,3,,,,0,,,,,,,0,,,,0,,PattGo20
