Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Johnny Hekker,P,Bothell,2012,2023,4,4,1,26,195,15.0,24.0,193.0,1,23.0,1.0,0.0,0.0,4.0,-17.0,0,3.0,,,0,,HekkJo00
2,Jesse Davis,T,Asotin,2017,2023,0,0,3,28,95,,,,0,,,,,,,0,,,,0,,DaviJe00
3,Budda Baker,FS,Bellevue,2017,2023,2,6,5,51,105,,,,0,,,,,,,0,,,,0,,BakeBu00
4,Cooper Kupp,WR,Yakima,2017,2023,1,1,5,57,92,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,24.0,129.0,1,20.0,567.0,7066.0,51,75.0,KuppCo00
5,Kaleb McGary,OL,Battle Ground,2019,2023,0,0,4,33,77,,,,0,,,,,,,0,,1.0,-3.0,0,0.0,McGaKa00
6,Drew Sample,TE,Bellevue,2019,2023,0,0,1,5,61,,,,0,,,,,,,0,,80.0,621.0,3,23.0,SampDr00
7,Taylor Rapp,S,Bellingham,2019,2023,0,0,3,20,73,,,,0,,,,,,,0,,,,0,,RappTa00
8,Myles Gaskin,RB,Lynnwood,2019,2023,0,0,1,13,41,,,,0,,,,,361.0,1355.0,7,30.0,101.0,701.0,6,59.0,GaskMy00
9,Andre Dillard,OL,Woodinville,2019,2023,0,0,0,11,59,,,,0,,,,,,,0,,,,0,,DillAn00
10,Benning Potoa'e,DE,DuPont,2020,2023,0,0,0,0,5,,,,0,,,,,,,0,,,,0,,PotoBe00
11,Salvon Ahmed,RB,Kirkland,2020,2023,0,0,0,5,38,,,,0,,,,,163.0,593.0,5,31.0,40.0,274.0,1,20.0,AhmeSa01
12,Ezra Cleveland,OL,Spanaway,2020,2023,0,0,3,21,62,,,,0,,,,,,,0,,,,0,,ClevEz00
13,Brett Rypien,QB,Spokane,2020,2023,0,0,0,3,10,98.0,168.0,950.0,4,48.0,9.0,11.0,65.0,14.0,21.0,0,8.0,,,0,,RypiBr00
14,Shane Lemieux,OL,Yakima,2020,2023,0,0,1,3,18,,,,0,,,,,,,0,,,,0,,LemiSh00
15,Calvin Throckmorton,T,Bellevue,2021,2023,0,0,1,11,46,,,,0,,,,,,,0,,,,0,,ThroCa01
16,Joe Tryon-Shoyinka,OLB,Renton,2021,2023,0,0,1,17,51,,,,0,,,,,,,0,,,,0,,TryoJo00
17,Tanner Conner,TE,Kent,2022,2023,0,0,0,0,16,,,,0,,,,,,,0,,0.0,0.0,0,0.0,ConnTa00
18,Foster Sarell,,Tacoma,2022,2023,0,0,0,3,24,,,,0,,,,,,,0,,,,0,,SareFo00
19,Danny Shelton,DT,Auburn,2015,2022,0,0,5,33,101,,,,0,,,,,,,0,,,,0,,ShelDa01
20,Sebastian Gutierrez,T,Pasco,2022,2022,0,0,0,0,1,,,,0,,,,,,,0,,,,0,,GutiSe00
21,Senio Kelemete,T,Seattle,2012,2021,0,0,1,25,97,,,,0,,,,,,,0,,1.0,10.0,0,10.0,KeleSe00
22,Desmond Trufant,CB,Tacoma,2013,2021,0,1,8,37,113,,,,0,,,,,,,0,,,,0,,TrufDe00
23,KeiVarae Russell,CB,Everett,2016,2021,0,0,0,2,23,,,,0,,,,,,,0,,,,0,,RussKe00
24,Zach Banner,G,Puyallup,2017,2021,0,0,0,2,30,,,,0,,,,,,,0,,,,0,,BannZa00
25,Alex Smith,QB,Seattle,2005,2020,0,3,14,98,174,3250.0,5193.0,35650.0,199,80.0,109.0,432.0,2463.0,580.0,2604.0,15,70.0,3.0,-7.0,0,3.0,SmitAl03
26,David DeCastro,G,Bellevue,2012,2020,2,6,8,69,125,,,,0,,,,,,,0,,,,0,,DeCaDa00
27,Joshua Garnett,G,Auburn,2016,2020,0,0,1,5,25,,,,0,,,,,,,0,,,,0,,GarnJo00
28,Joe Dahl,G,Spokane,2016,2020,0,0,1,11,44,,,,0,,,,,,,0,,,,0,,DahlJo00
29,Devante Downs,LB,Mountlake Terrace,2018,2020,0,0,0,6,36,,,,0,,,,,,,0,,,,0,,DownDe00
30,Ryan Lewis,CB,Seattle,2018,2020,0,0,0,4,25,,,,0,,,,,,,0,,,,0,,LewiRy01
31,Jake Rodgers,T,Spokane,2019,2020,0,0,0,1,19,,,,0,,,,,,,0,,,,0,,RodgJa03
32,Hunter Bryant,TE,Issaquah,2020,2020,0,0,0,0,5,,,,0,,,,,,,0,,1.0,44.0,0,44.0,BryaHu02
