Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Nick Bellore,OLB,Whitefish Bay,2011,2023,0,2,2,19,200,,,,0,,,,,3.0,8.0,0,5.0,10.0,75.0,2,23.0,BellNi01
2,Kevin Zeitler,G,Waukesha,2012,2023,0,1,11,62,182,,,,0,,,,,,,0,,1.0,-4.0,0,0.0,ZeitKe00
3,A.J. Klein,ILB,Appleton,2013,2023,0,0,5,37,146,,,,0,,,,,,,0,,,,0,,KleiAJ00
4,Jimmie Ward,SS,Racine,2014,2023,0,0,5,28,116,,,,0,,,,,,,0,,,,0,,WardJi01
5,Shelby Harris,DE,Milwaukee,2014,2023,0,0,4,35,115,,,,0,,,,,,,0,,,,0,,HarrSh00
6,Melvin Gordon,RB,Kenosha,2015,2023,0,2,7,51,112,,,,0,,,,,1593.0,6543.0,56,87.0,312.0,2513.0,14,66.0,GordMe00
7,Alex Erickson,WR,Darlington,2016,2023,0,0,1,11,107,1.0,2.0,26.0,0,26.0,0.0,0.0,0.0,18.0,78.0,0,17.0,112.0,1373.0,2,52.0,EricAl01
8,Jake Brendel,C,Madison,2016,2023,0,0,1,18,71,,,,0,,,,,,,0,,,,0,,BrenJa01
9,Eric Murray,CB,Milwaukee,2016,2023,0,0,3,17,107,,,,0,,,,,,,0,,,,0,,MurrEr00
10,George Kittle,TE,Madison,2017,2023,2,5,5,50,98,,,,0,,,,,12.0,71.0,0,18.0,460.0,6274.0,37,85.0,KittGe00
11,T.J. Watt,OLB,Pewaukee,2017,2023,4,6,6,80,104,,,,0,,,,,,,0,,,,0,,WattT.00
12,Ryan Ramczyk,T,Stevens Point,2017,2023,1,0,5,65,101,,,,0,,,,,,,0,,,,0,,RamcRy00
13,Dare Ogunbowale,RB,Milwaukee,2017,2023,0,0,0,5,80,,,,0,,,,,136.0,457.0,4,25.0,80.0,576.0,1,28.0,OgunDa00
14,Alec Ingold,FB,Green Bay,2019,2023,0,1,1,4,75,,,,0,,,,,23.0,30.0,1,4.0,56.0,463.0,4,29.0,IngoAl01
15,Max Scharping,T,Green Bay,2019,2023,0,0,3,18,79,,,,0,,,,,,,0,,0.0,7.0,0,7.0,SchaMa01
