Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,C.J. Goodwin,DB,Wheeling,2016,2023,0,0,0,5,102,,,,0,,,,,,,0,,0.0,0.0,0,0.0,GoodC.00
2,Trevon Wesco,TE,Martinsburg,2019,2023,0,0,0,0,69,,,,0,,,,,2.0,2.0,0,2.0,9.0,134.0,0,32.0,WescTr00
3,Derrek Pitts,CB,Dunbar,2023,2023,0,0,0,0,4,,,,0,,,,,,,0,,,,0,,PittDe01
4,Dante Stills,DT,Fairmont,2023,2023,0,0,0,3,15,,,,0,,,,,,,0,,,,0,,StilDa01
5,Tyson Bagent,QB,Martinsburg,2023,2023,0,0,0,3,5,94.0,143.0,859.0,3,41.0,6.0,5.0,35.0,23.0,109.0,2,20.0,,,0,,BageTy00
6,Nazeeh Johnson,S,Martinsburg,2022,2022,0,0,0,1,11,,,,0,,,,,,,0,,,,0,,JohnNa01
7,Dorian Etheridge,LB,Charleston,2021,2021,0,0,0,0,7,,,,0,,,,,,,0,,,,0,,EtheDo00
8,Ryan Switzer,WR,Charleston,2017,2019,0,0,0,3,41,,,,0,,,,,10.0,26.0,0,8.0,50.0,321.0,1,24.0,SwitRy00
9,Dewey McDonald,S,Ranson,2014,2017,0,0,0,3,32,,,,0,,,,,,,0,,0.0,0.0,0,0.0,McDoDe01
10,Demetri Goodson,CB,Charlestown,2014,2016,0,0,0,2,26,,,,0,,,,,,,0,,,,0,,GoodDe00
11,Landon Turner,OL,Morgantown,2016,2016,0,0,0,1,7,,,,0,,,,,,,0,,,,0,,TurnLa00
12,Aaron Dobson,WR,Dunbar,2013,2015,0,0,1,6,24,,,,0,,,,,,,0,,53.0,698.0,4,81.0,DobsAa00
13,Randy Moss,WR,Rand,1998,2012,4,6,12,124,218,4.0,8.0,106.0,2,37.0,1.0,0.0,0.0,25.0,159.0,0,25.0,982.0,15292.0,156,82.0,MossRa00
