Rk,Player,Pos,City,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds.1,Att.1,Yds.2,TD.1,Lng.1,Rec,Yds.3,TD.2,Lng.2,Player-additional
1,Taven Bryan,DT,Casper,2018,2023,0,0,3,19,96,,,,0,,,,,,,0,,,,0,,BryaTa00
2,Logan Wilson,OLB,Casper,2020,2023,0,0,2,25,57,,,,0,,,,,,,0,,,,0,,WilsLo00
3,Jacob Bobenmoyer,LS,Cheyenne,2020,2023,0,0,0,4,63,,,,0,,,,,,,0,,,,0,,BobeJa00
4,Zane Beadles,T,Casper,2010,2018,0,1,7,53,137,,,,0,,,,,,,0,,0.0,0.0,0,0.0,BeadZa20
5,Chris Prosinski,DB,Buffalo,2011,2017,0,0,0,10,88,,,,0,,,,,1.0,2.0,0,2.0,,,0,,ProsCh00
6,Brett Keisel,DE,Greybull,2002,2014,0,1,8,58,156,,,,0,,,,,,,0,,,,0,,KeisBr20
7,John Wendling,DB,Cody,2007,2013,0,0,0,7,110,,,,0,,,,,,,0,,,,0,,WendJo99
8,Chris Cooley,TE,Powell,2004,2012,0,2,6,34,117,,,,0,,,,,2.0,3.0,0,3.0,429.0,4711.0,33,66.0,CoolCh00
9,Brady Poppinga,ROLB,Evanston,2005,2012,0,0,4,25,100,,,,0,,,,,,,0,,,,0,,PoppBr20
10,John Chick,DE,Gillette,2011,2012,0,0,0,2,19,,,,0,,,,,,,0,,,,0,,ChicJo00
11,J.D. Folsom,LB,Worland,2009,2009,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,FolsJ.99
12,Adam Archuleta,DB,Rock Springs,2001,2007,0,0,7,31,103,,,,0,,,,,,,0,,,,0,,ArchAd20
13,Clint Oldenburg,T,Sheridan,2007,2007,0,0,0,0,2,,,,0,,,,,,,0,,,,0,,OldeCl20
14,John Burrough,DE,Laramie,1995,2002,0,0,0,11,89,,,,0,,,,,,,0,,,,0,,BurrJo20
15,Tony Berti,T,Rock Springs,1995,1997,0,0,2,11,33,,,,0,,,,,,,0,,,,0,,BertTo20
16,Brett Collins,LB,Sheridan,1992,1994,0,0,0,2,27,,,,0,,,,,,,0,,,,0,,CollBr21
17,Doug Miller,LB,Cheyenne,1993,1994,0,0,0,2,23,,,,0,,,,,,,0,,,,0,,MillDo23
18,Willie Wright,TE,Riverton,1992,1992,0,0,0,0,9,,,,0,,,,,,,0,,,,0,,WrigWi20
19,Don Westbrook,WR,Cheyenne,1977,1981,0,0,0,4,71,2.0,2.0,52.0,0,28.0,0.0,0.0,0.0,3.0,6.0,0,4.0,23.0,393.0,3,38.0,WestDo00
20,Don Cockroft,K,Cheyenne,1968,1980,0,0,0,54,188,3.0,4.0,27.0,0,27.0,0.0,0.0,0.0,2.0,9.0,0,12.0,,,0,,cockrdon01
21,Nick Bebout,T,Riverton,1973,1980,0,0,4,33,97,,,,0,,,,,,,0,,,,0,,BeboNi20
22,Dennis Havig,G,Powell,1972,1977,0,0,4,26,76,,,,0,,,,,,,0,,,,0,,HaviDe20
23,Jack Snow,WR,Rock Springs,1965,1975,0,1,10,61,150,,,,0,,,,,2.0,3.0,0,13.0,340.0,6012.0,45,84.0,SnowJa00
24,Pat Matson,G,Laramie,1966,1975,0,0,6,43,132,,,,0,,,,,,,0,,,,0,,MatsPa20
25,Marlin McKeever,LB,Cheyenne,1961,1973,0,1,9,48,162,,,,0,,,,,,,0,,133.0,1737.0,6,47.0,McKeMa00
26,Craig Baynham,HB,Casper,1967,1972,0,0,2,10,50,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,152.0,553.0,6,22.0,45.0,446.0,3,40.0,BaynCr00
27,Boyd Dowler,FL,Rock Springs,1959,1971,0,2,12,75,162,,,,0,,,,,2.0,28.0,0,20.0,474.0,7270.0,40,91.0,DowlBo00
28,Gail Cogdill,SE,Worland,1960,1970,0,3,8,53,127,,,,0,,,,,2.0,-2.0,0,2.0,356.0,5696.0,34,84.0,CogdGa00
29,Jerry Hill,RB,Torrington,1961,1970,0,0,5,34,102,,,,0,,,,,706.0,2668.0,22,50.0,117.0,970.0,3,55.0,HillJe00
30,Don Alley,WR,Cheyenne,1967,1969,0,0,0,0,18,,,,0,,,,,,,0,,2.0,27.0,0,16.0,AlleDo00
31,Phil Harris,DB,Jackson Hole,1966,1966,0,0,0,1,14,,,,0,,,,,,,0,,,,0,,HarrPh20
32,Jim Crawford,HB,Greybull,1960,1964,0,0,2,14,54,2.0,2.0,27.0,0,15.0,0.0,1.0,14.0,302.0,1078.0,5,39.0,52.0,501.0,2,44.0,CrawJi00
33,Dewey McConnell,DB,Laramie,1954,1954,0,0,0,0,9,,,,0,,,,,,,0,,1.0,2.0,0,2.0,McCoDe20
