Rk,Player,Ht.,From,To,Age,G,GS,Ht..1,Wt.,BMI,Pos,Team,Player-additional
1,Richard Sligh,7-0,1967,1967,23,8,0.0,7-0,300.0,29.9,DT,OAK,SligRi20
2,Morris Stroud,6-10,1969,1974,23-28,69,49.0,6-10,255.0,26.7,TE,KAN,StroMo00
3,Demar Dotson,6-9,2009,2020,24-35,138,114.0,6-9,315.0,33.8,T,DENTAM,DotsDe00
4,Jared Gaither,6-9,2007,2012,21-26,52,37.0,6-9,350.0,37.5,LT,BALKANSDG,GaitJa20
5,Buddy Hardaway,6-9,1978,1978,24,12,0.0,6-9,309.0,33.1,T,SDG,HardBu20
6,Ben Jefferson,6-9,1990,1990,24,4,4.0,6-9,330.0,35.4,G,CLE,JeffBe20
7,Caleb Jones,6-9,2023,2023,24,1,0.0,6-9,370.0,39.6,T,GNB,JoneCa03
8,Too Tall Jones,6-9,1974,1989,23-38,224,203.0,6-9,271.0,29.0,LDE,DAL,JoneEd00
9,Joe Katchik,6-9,1960,1960,29,2,2.0,6-9,290.0,31.1,DT,NYT,KatcJo20
10,Ernie Ladd,6-9,1961,1968,23-30,112,76.0,6-9,290.0,31.1,DT,HOUKANSDG,LaddEr00
11,Brian Mihalik,6-9,2017,2018,25-26,20,2.0,6-9,315.0,33.8,DE,DETNYG,MihaBr00
12,Jim Mills,6-9,1983,1984,22-23,21,20.0,6-9,276.0,29.6,RT,BALIND,MillJi23
13,Jim Newton,6-9,2003,2003,25,3,0.0,6-9,297.0,31.8,T,IND,NewtJi20
14,Jonathan Ogden,6-9,1996,2007,22-33,177,176.0,6-9,345.0,37.0,LT,BAL,OgdeJo00
15,Charles Philyaw,6-9,1976,1979,22-25,44,9.0,6-9,276.0,29.6,DE,OAK,PhilCh21
16,Phil Pozderac,6-9,1982,1987,23-28,70,37.0,6-9,277.0,29.7,T,DAL,PozdPh20
17,Dennis Roland,6-9,2008,2013,25-30,71,30.0,6-9,322.0,34.5,T,CIN,RolaDe20
18,Dan Skipper,6-9,2017,2023,23-29,40,6.0,6-9,330.0,35.4,T,DETHOU,SkipDa00
19,Nate Solder,6-9,2011,2021,23-33,146,143.0,6-9,316.0,33.9,LT,NWENYG,SoldNa00
20,Bob St. Clair,6-9,1953,1963,22-32,119,117.0,6-9,263.0,28.2,RT,SFO,St.CBo00
21,Zach Sterup,6-9,2017,2018,25-26,12,2.0,6-9,323.0,34.6,G,MIA,SterZa00
22,Alejandro Villanueva,6-9,2015,2021,27-33,113,107.0,6-9,277.0,29.7,LT,BALPIT,VillAl00
23,Jerry Wilkinson,6-9,1979,1980,23-24,29,0.0,6-9,248.0,26.6,DE,CLERAMSFO,WilkJe20
24,John Alt,6-8,1984,1996,22-34,179,149.0,6-8,298.0,32.7,T,KAN,AltxJo00
25,Richard Angulo,6-8,2003,2008,23-28,27,6.0,6-8,260.0,28.6,TE,JAXMINSTL,AnguRi00
26,Doug Atkins,6-8,1953,1969,23-39,205,176.0,6-8,257.0,28.2,RDE,CHICLENOR,AtkiDo00
27,Daniel Baldridge,6-8,2010,2012,25-27,2,0.0,6-8,311.0,34.2,T,JAX,BaldDa20
28,Josh Ball,6-8,2022,2022,24,13,0.0,6-8,304.0,33.4,T,DAL,BallJo00
29,Zach Banner,6-8,2017,2021,24-28,30,2.0,6-8,358.0,39.3,T,CLEPIT,BannZa00
30,Alex Barron,6-8,2005,2010,23-28,87,75.0,6-8,315.0,34.6,RT,DALSTL,BarrAl20
31,Ron Berger,6-8,1969,1972,26-29,41,23.0,6-8,290.0,31.9,DE,BOSNWE,BergRo20
32,Ron Billingsley,6-8,1967,1972,22-27,61,38.0,6-8,290.0,31.9,RDT,HOUSDG,BillRo20
33,Rob Bohlinger,6-8,1998,1998,23,13,1.0,6-8,310.0,34.1,T,CAR,BohlRo20
34,Wesley Britt,6-8,2006,2008,25-27,16,2.0,6-8,320.0,35.2,T,NWE,BritWe20
35,Colin Brown,6-8,2011,2013,26-28,18,7.0,6-8,325.0,35.7,LG,BUF,BrowCo23
36,Jamie Brown,6-8,1995,1999,23-27,38,9.0,6-8,320.0,35.2,T,DENSFOWAS,BrowJa22
37,Orlando Brown Jr.,6-8,2018,2023,22-27,98,92.0,6-8,345.0,37.9,RT,BALCINKAN,BrowOr00
38,Spencer Brown,6-8,2021,2023,23-25,44,41.0,6-8,311.0,34.2,RT,BUF,BrowSp00
39,Trent Brown,6-8,2015,2023,22-30,100,93.0,6-8,370.0,40.6,RT,LVRNWEOAKSFO,BrowTr02
40,Scott Brumfield,6-8,1993,1997,23-27,56,29.0,6-8,321.0,35.3,T,CIN,BrumSc20
41,Brad Butler,6-8,2006,2009,23-26,33,31.0,6-8,292.0,32.1,RG,BUF,ButlBr20
42,Kelly Butler,6-8,2005,2006,23-24,22,21.0,6-8,330.0,36.2,RT,CLEDET,ButlKe21
43,Calais Campbell,6-8,2008,2023,22-37,244,225.0,6-8,282.0,31.0,LDE,ARIATLBALJAX,CampCa99
44,Harold Carmichael,6-8,1971,1984,22-35,182,160.0,6-8,225.0,24.7,WR,DALPHI,CarmHa00
45,Anthony Clement,6-8,1998,2007,22-31,128,107.0,6-8,320.0,35.2,T,ARINYJSFO,ClemAn20
46,Marc Colombo,6-8,2002,2011,24-33,111,95.0,6-8,320.0,35.2,T,CHIDALMIA,ColoMa20
47,Brad Cottam,6-8,2008,2009,24-25,24,8.0,6-8,271.0,29.8,TE,KAN,CottBr00
48,Ben Davidson,6-8,1961,1971,21-31,152,110.0,6-8,275.0,30.2,RDE,GNBOAKWAS,DaviBe00
49,Connor Davis,6-8,2021,2021,27,1,0.0,6-8,271.0,29.8,,CLE,DaviCo04
50,Tommy Doyle,6-8,2021,2022,23-24,12,0.0,6-8,320.0,35.2,T,BUF,DoylTo00
51,King Dunlap,6-8,2009,2016,24-31,98,65.0,6-8,310.0,34.1,T,PHISDG,DunlKi20
52,Greg Estandia,6-8,2007,2009,25-27,32,2.0,6-8,265.0,29.1,TE,CLEJAX,EstaGr01
53,Daniel Faalele,6-8,2022,2023,23-24,32,1.0,6-8,380.0,41.7,T,BAL,FaalDa00
54,Kris Farris,6-8,2001,2001,24,3,1.0,6-8,318.0,34.9,T,BUF,FarrKr20
55,Gene Ferguson,6-8,1969,1972,22-25,41,21.0,6-8,300.0,33.0,RT,HOUSDG,FergGe20
56,James FitzPatrick,6-8,1986,1991,22-27,65,19.0,6-8,305.0,33.5,T,RAISDG,FitzJa21
57,Stone Forsythe,6-8,2021,2023,24-26,44,9.0,6-8,307.0,33.7,T,SEA,ForsSt00
58,David Foucault,6-8,2014,2014,25,5,1.0,6-8,320.0,35.2,T,CAR,FoucDa00
59,Mike Fox,6-8,1990,1998,23-31,133,84.0,6-8,285.0,31.3,RDE,CARNYG,FoxxMi20
60,Reid Fragel,6-8,2015,2015,24,1,0.0,6-8,308.0,33.8,T,TAM,FragRe00
61,Jim Fritzsche,6-8,1983,1983,23,15,0.0,6-8,265.0,29.1,T,PHI,FritJi20
62,Clifton Geathers,6-8,2010,2014,23-27,37,0.0,6-8,281.0,30.9,DE,DALINDMIAPHIWAS,GeatCl99
63,Zach Gentry,6-8,2019,2023,23-27,41,26.0,6-8,265.0,29.1,TE,LVRPIT,GentZa00
64,Scott Gragg,6-8,1995,2005,23-33,172,149.0,6-8,315.0,34.6,T,NYGNYJSFO,GragSc20
65,Gregg Guenther,6-8,2005,2005,23,5,0.0,6-8,255.0,28.0,TE,TEN,GuenGr00
66,Dave Hale,6-8,1969,1973,22-26,30,3.0,6-8,225.0,24.7,DT,CHI,HaleDa20
67,Dennis Harrison,6-8,1978,1987,22-31,136,79.0,6-8,275.0,30.2,LDE,ATLPHIRAMSFO,HarrDe02
68,Rob Havenstein,6-8,2015,2023,23-31,130,130.0,6-8,330.0,36.2,RT,LARSTL,HaveRo00
69,Bill Hayhoe,6-8,1969,1973,23-27,61,21.0,6-8,258.0,28.3,LT,GNB,HayhBi20
70,Joey Haynos,6-8,2008,2009,24-25,23,8.0,6-8,264.0,29.0,TE,MIA,HaynJo00
71,Charlie Heck,6-8,2020,2023,24-27,41,21.0,6-8,311.0,34.2,T,HOU,HeckCh00
72,Bob Hendren,6-8,1949,1951,26-28,36,15.0,6-8,244.0,26.8,,WAS,HendBo20
73,Jimmy Herndon,6-8,1997,2002,24-29,54,11.0,6-8,318.0,34.9,T,CHIHOU,HernJi20
74,Craig Hertwig,6-8,1975,1977,23-25,37,23.0,6-8,270.0,29.7,RT,DET,HertCr20
75,Zachary Hilton,6-8,2003,2005,23-25,18,6.0,6-8,265.0,29.1,TE,NOR,HiltZa00
76,Clark Hoss,6-8,1972,1972,23,4,0.0,6-8,235.0,25.8,TE,PHI,HossCl20
77,John Hunter,6-8,1989,1992,24-27,26,6.0,6-8,294.0,32.3,T,ATLSEA,HuntJo21
78,Margus Hunt,6-8,2013,2021,26-34,114,26.0,6-8,295.0,32.4,DE,CHICININDNOR,HuntMa00
